collocate	f.in	N.in	f.out	N.out
that	57	9117	1120691	96832994
the	1049	9117	6053187	96832994
their	20	9117	254567	96832994
them	21	9117	168882	96832994
then	17	9117	154791	96832994
there	6	9117	319815	96832994
these	7	9117	123595	96832994
they	15	9117	420414	96832994
this	34	9117	454406	96832994
those	31	9117	87157	96832994
three	5	9117	72438	96832994
time	8	9117	184107	96832994
to	113	9117	2566767	96832994
training	8	9117	20349	96832994
two	6	9117	140421	96832994
unit	10	9117	17881	96832994
university	7	9117	18939	96832994
until	6	9117	40136	96832994
up	8	9117	208136	96832994
us	5	9117	76350	96832994
vehicle	6	9117	7205	96832994
vice	6	9117	1907	96832994
vice-president	5	9117	1114	96832994
ward	10	9117	4179	96832994
we	8	9117	351028	96832994
west	5	9117	21010	96832994
what	11	9117	240676	96832994
when	20	9117	209905	96832994
where	8	9117	105933	96832994
which	15	9117	366156	96832994
while	12	9117	54791	96832994
who	133	9117	200865	96832994
whole	6	9117	30087	96832994
will	37	9117	320753	96832994
with	31	9117	659891	96832994
without	7	9117	44800	96832994
woman	13	9117	60229	96832994
work	14	9117	115938	96832994
world	5	9117	58463	96832994
would	14	9117	302748	96832994
year	14	9117	161891	96832994
you	56	9117	668295	96832994
young	6	9117	38748	96832994
your	8	9117	134374	96832994
