PP	verb	is.colloc	is.SVC	is.figur	freq	MI	Dice	z.score	t.score	chisq	chisq.corr	log.like	Fisher
seit:Jahr	anbieten	FALSE	FALSE	FALSE	46	0.30812	0.004275	4.913	3.446	24	23	18.63	5
um:Uhr	anbieten	FALSE	FALSE	FALSE	140	0.4393	0.007762	12.485	7.5292	157	155	106.17	24.33
von:Jahr	anbieten	FALSE	FALSE	FALSE	38	0.67463	0.005424	10.568	4.8604	112	108	58.44	13.78
von:Uhr	anbieten	FALSE	FALSE	FALSE	159	0.9256	0.016235	32.257	11.1129	1045	1037	401.53	88.63
zu+:Thema	anbieten	FALSE	FALSE	FALSE	44	0.83768	0.006683	14.872	5.6693	222	216	95.1	21.8
zu+:Verkauf	anbieten	FALSE	FALSE	FALSE	46	1.72974	0.008916	48.762	6.656	2383	2330	281.14	62.25
zwischen:Uhr	anbieten	FALSE	FALSE	FALSE	35	0.88038	0.005715	14.154	5.1369	201	194	81.61	18.83
in:Fragen	anbitten	FALSE	FALSE	FALSE	159	3.45828	0.275325	675.6	12.6051	456538	453671	2334.88	508.33
zu+:Zeitungszustellung	anbitten	FALSE	FALSE	FALSE	159	3.86219	0.476762	1075.808	12.6078	1157515	1150246	2694.51	586.32
bei:Redaktionsschluß	andauern	FALSE	FALSE	FALSE	32	3.35009	0.094675	267.564	5.6543	71600	69379	439.97	96.62
an+:Main	anerbitten	FALSE	FALSE	FALSE	40	3.20117	0.047647	251.965	6.3206	63508	61929	535.26	117.28
mit:Vermerk	anerbitten	FALSE	FALSE	FALSE	40	4.18753	0.326531	784.817	6.3241	615968	600664	726.51	158.75
um:Uhr	anfahren	FALSE	FALSE	FALSE	56	0.97566	0.004096	20.577	6.6919	426	417	153.78	34.61
von:Auto	anfahren	FALSE	FALSE	FALSE	47	2.48788	0.051507	119.832	6.8334	14365	14060	450.05	98.94
um:Uhr	anfangen	FALSE	FALSE	FALSE	50	0.55204	0.003458	9.606	5.0875	93	90	55.69	13.2
vor:Jahr	anfangen	FALSE	FALSE	FALSE	42	0.85906	0.006189	15.014	5.5842	226	220	94.38	21.64
als:Beispiel	anführen	FALSE	FALSE	FALSE	42	2.05971	0.02862	68.814	6.4243	4738	4625	317.89	70.22
als:Grund	anführen	FALSE	FALSE	FALSE	35	2.10703	0.025916	66.396	5.8698	4411	4285	272.54	60.33
mit:Punkten	anführen	FALSE	FALSE	FALSE	46	1.76177	0.022869	50.662	6.6649	2569	2512	284.85	63.07
als:Grund	angeben	FALSE	FALSE	FALSE	51	2.25337	0.036664	95.069	7.1016	9043	8866	432.86	95.22
mit:Mark	angeben	FALSE	FALSE	FALSE	93	1.7176	0.028958	68.334	9.4589	4675	4624	559.16	122.78
ab:Uhr	angebieten	FALSE	FALSE	FALSE	43	0.66294	0.006085	11.01	5.1325	122	118	64.3	15.08
an+:Samstag	angebieten	FALSE	FALSE	FALSE	56	0.5205	0.005306	9.515	5.226	91	89	56.39	13.37
für:Kind	angebieten	FALSE	FALSE	FALSE	41	0.8131	0.00724	13.817	5.4184	191	186	84.56	19.5
für:Mark	angebieten	FALSE	FALSE	FALSE	41	0.96494	0.008535	17.339	5.709	301	293	109.65	24.97
um:Uhr	angebieten	FALSE	FALSE	FALSE	57	0.30331	0.003597	5.381	3.7947	29	28	22.5	5.88
von:Mark	angebieten	FALSE	FALSE	FALSE	34	0.32406	0.003334	4.453	3.0661	20	19	15.06	4.18
von:Uhr	angebieten	FALSE	FALSE	FALSE	102	0.98707	0.013412	28.224	9.059	799	790	283.07	62.82
zu+:Kauf	angebieten	FALSE	FALSE	FALSE	42	2.19273	0.014611	80.389	6.4392	6470	6316	348.4	76.82
zu+:Verkauf	angebieten	FALSE	FALSE	FALSE	34	1.85272	0.011446	48.525	5.7491	2357	2288	225.87	50.19
seit:Jahr	angehören	FALSE	FALSE	FALSE	100	1.22168	0.014022	38.367	9.3998	1476	1461	378.79	83.62
in:Nacht	angreifen	FALSE	FALSE	FALSE	48	1.318	0.012872	30.076	6.5951	906	886	201.29	44.92
auf:Mark	anheben	FALSE	FALSE	FALSE	41	1.58144	0.014706	38.51	6.2353	1485	1448	220.39	49.04
um:Prozent	anheben	FALSE	FALSE	FALSE	38	1.45794	0.011561	31.876	5.9497	1017	990	183.11	40.93
von:Mark	anheben	FALSE	FALSE	FALSE	36	0.98613	0.004454	16.745	5.3805	281	273	99.82	22.8
von:Prozent	anheben	FALSE	FALSE	FALSE	37	1.49307	0.012266	32.844	5.8873	1080	1050	184.08	41.13
an:Leistung	anknüpfen	FALSE	FALSE	FALSE	36	3.10799	0.069632	214.687	5.9953	46100	44827	453.37	99.56
an:Tradition	anknüpfen	FALSE	FALSE	FALSE	30	3.0132	0.057692	175.687	5.4719	30872	29851	363.02	79.92
an+:Dienstag	ankündigen	FALSE	FALSE	FALSE	78	0.47505	0.006598	10.15	5.8738	103	102	67.37	15.8
an+:Donnerstag	ankündigen	FALSE	FALSE	FALSE	85	0.5068	0.007134	11.38	6.3493	130	128	81.91	18.99
an+:Freitag	ankündigen	FALSE	FALSE	FALSE	82	0.47234	0.0067	10.341	6.0035	107	105	70.16	16.41
an+:Mittwoch	ankündigen	FALSE	FALSE	FALSE	81	0.4869	0.006808	10.627	6.0668	113	111	72.95	17.03
an+:Montag	ankündigen	FALSE	FALSE	FALSE	84	0.49644	0.006998	11.056	6.243	123	121	78.18	18.17
an+:Samstag	ankündigen	FALSE	FALSE	FALSE	38	0.12957	0.003066	1.846	1.5901	3	3	3.09	1.35
an+:Sonntag	ankündigen	FALSE	FALSE	FALSE	51	0.29014	0.004312	4.86	3.48	24	23	18.55	4.99
für:Fall	ankündigen	FALSE	FALSE	FALSE	38	1.27372	0.007378	25.292	5.8362	641	623	152.26	34.22
für:Jahr	ankündigen	FALSE	FALSE	FALSE	32	0.63722	0.004825	9.065	4.3526	82	79	44.88	10.79
für:Samstag	ankündigen	FALSE	FALSE	FALSE	30	1.26219	0.005947	22.143	5.1777	491	474	118.64	26.87
in:Bonn	ankündigen	FALSE	FALSE	FALSE	32	0.49818	0.004323	6.851	3.8605	47	45	29.88	7.48
in:Jahr	ankündigen	FALSE	FALSE	FALSE	57	0.17779	0.003783	3.112	2.5362	10	9	8.43	2.67
in:Woche	ankündigen	FALSE	FALSE	FALSE	45	0.52884	0.005437	8.683	4.7232	76	73	46.47	11.17
um:Uhr	ankündigen	FALSE	FALSE	FALSE	73	0.18823	0.004127	3.732	3.005	14	13	12.03	3.52
für:Allergiker	anmelden	FALSE	FALSE	FALSE	137	2.67395	0.066895	253.753	11.6799	64443	63972	1472.12	321.03
in+:Rathaus	anmelden	FALSE	FALSE	FALSE	50	1.17983	0.012136	25.686	6.6037	661	647	179.35	40.16
unter:Rufnummer	anmelden	FALSE	FALSE	FALSE	52	1.7973	0.021501	56.191	7.0961	3160	3099	331.1	73.14
unter:Telefonnummer	anmelden	FALSE	FALSE	FALSE	112	2.03513	0.043776	109.181	10.4854	11933	11825	840.02	183.8
von:Uhr	anmelden	FALSE	FALSE	FALSE	58	0.91441	0.008652	19.165	6.6883	368	361	143.34	32.35
mit:Stimme	annehmen	FALSE	FALSE	FALSE	53	1.49218	0.015976	39.266	7.0457	1544	1514	263.65	58.49
von:Uhr	annehmen	FALSE	FALSE	FALSE	42	0.65678	0.005771	10.762	5.0524	116	113	61.88	14.54
zu+:Nachdenken	anregen	FALSE	FALSE	FALSE	55	2.79852	0.054726	185.673	7.4044	34488	33863	613.62	134.46
von:Mark	anrichten	FALSE	FALSE	FALSE	89	1.38892	0.011031	44.776	9.0487	2011	1988	405.06	89.3
ab:Uhr	ansagen	FALSE	FALSE	FALSE	40	1.13185	0.007713	21.56	5.8577	466	453	135.36	30.56
um:Uhr	anschließen	FALSE	FALSE	FALSE	46	0.53809	0.003196	8.951	4.8177	81	78	49.1	11.75
um:Prozent	ansteigen	FALSE	FALSE	FALSE	33	1.45369	0.010284	29.549	5.5425	874	847	158.35	35.52
um:Uhr	ansteuern	FALSE	FALSE	FALSE	64	1.22299	0.004751	30.746	7.5213	950	935	245.29	54.52
an+:Freitag	antreten	FALSE	FALSE	FALSE	35	0.26394	0.003236	3.651	2.6943	13	13	10.72	3.19
an+:Samstag	antreten	FALSE	FALSE	FALSE	61	0.49646	0.00556	9.422	5.3202	89	87	56.74	13.45
an+:Sonntag	antreten	FALSE	FALSE	FALSE	56	0.49211	0.005383	8.94	5.0735	80	78	51.3	12.25
bei:Kommunalwahl	antreten	FALSE	FALSE	FALSE	34	1.43599	0.009274	29.344	5.6173	862	836	160.59	36.01
um:Uhr	antreten	FALSE	FALSE	FALSE	47	0.15835	0.00289	2.514	2.0947	6	6	5.59	1.99
vor:Jahr	antreten	FALSE	FALSE	FALSE	39	0.46006	0.004539	6.929	4.0799	48	46	31.83	7.93
zu+:Kommunalwahl	antreten	FALSE	FALSE	FALSE	64	1.9204	0.01842	72.118	7.9039	5208	5126	446.9	98.31
zu+:Wahl	antreten	TRUE	TRUE	FALSE	34	1.61316	0.009718	36.442	5.6889	1330	1290	188.1	41.99
auf:Anfrage	antworten	FALSE	FALSE	FALSE	40	1.60655	0.017746	39.212	6.1681	1539	1500	219.29	48.8
auf:Frage	antworten	FALSE	FALSE	FALSE	209	2.47886	0.110964	250.069	14.4088	62581	62281	2017.46	439.59
auf:Fragen	antworten	FALSE	FALSE	FALSE	52	2.36042	0.040046	108.721	7.1797	11826	11599	467.91	102.83
auf:Hilfe	anweisen	FALSE	FALSE	FALSE	70	2.58109	0.050578	162.912	8.3446	26555	26176	707.7	154.95
auf:Sozialhilfe	anweisen	FALSE	FALSE	FALSE	32	2.65944	0.025347	120.599	5.6445	14551	14099	335.82	74.02
auf:Spende	anweisen	FALSE	FALSE	FALSE	35	2.88768	0.028317	164.177	5.9084	26967	26201	410.51	90.21
auf:Unterstützung	anweisen	FALSE	FALSE	FALSE	38	2.37109	0.027931	94.099	6.1382	8859	8627	344.16	75.89
an:Bürger	appellieren	FALSE	FALSE	FALSE	31	2.37689	0.023265	85.566	5.5444	7325	7090	281.56	62.26
in+:Jahr	arbeiten	FALSE	FALSE	FALSE	32	-0.19486	0.002001	-2.559	-3.2031	-7	-6	-7.57	0
in:Beruf	arbeiten	FALSE	FALSE	FALSE	30	1.34745	0.003876	24.678	5.2311	611	590	130.75	29.5
in:Deutschland	arbeiten	FALSE	FALSE	FALSE	68	0.3677	0.005464	7.192	4.7099	52	51	37.72	9.27
in:Frankfurt	arbeiten	FALSE	FALSE	FALSE	124	0.52775	0.009029	14.38	7.8321	208	206	128.06	29.1
in:Hand	arbeiten	FALSE	FALSE	FALSE	34	0.49967	0.003644	7.085	3.9856	50	48	31.94	7.94
in:Jahr	arbeiten	FALSE	FALSE	FALSE	58	-0.02853	0.003224	-0.5	-0.5171	0	0	-0.26	0.15
in:Stadt	arbeiten	FALSE	FALSE	FALSE	45	0.33989	0.004094	5.385	3.6412	29	28	21.71	5.69
in:Woche	arbeiten	FALSE	FALSE	FALSE	39	0.25283	0.003483	3.687	2.756	14	13	11.05	3.27
mit:Kind	arbeiten	FALSE	FALSE	FALSE	30	0.60657	0.003422	8.287	4.1221	69	66	38.88	9.46
nach:Angabe	arbeiten	FALSE	FALSE	FALSE	38	0.0701	0.002927	0.996	0.9188	1	1	0.94	0.75
seit:Jahr	arbeiten	FALSE	FALSE	FALSE	206	0.77709	0.01545	29.247	11.9547	860	855	398.56	88.02
zu+:Zeit	arbeiten	FALSE	FALSE	FALSE	78	0.7058	0.007716	15.986	7.093	257	252	129.26	29.32
während:Abend-Vorstellung	atmen	FALSE	FALSE	FALSE	36	4.29781	0.246575	845.343	5.9997	714646	694932	717.83	155.84
in:Jahr	aufbauen	FALSE	FALSE	FALSE	32	0.27442	0.002552	3.634	2.6497	13	12	10.53	3.14
von:Uhr	aufbauen	FALSE	FALSE	FALSE	34	0.63478	0.004915	9.302	4.479	87	83	47.39	11.35
in:Nacht	aufbrechen	FALSE	FALSE	FALSE	34	1.30082	0.009905	24.766	5.5393	614	595	139.91	31.52
von:Mark	aufbringen	FALSE	FALSE	FALSE	46	0.93326	0.0055	17.545	5.9914	309	301	117.45	26.68
an+:Dienstag	auffordern	FALSE	FALSE	FALSE	30	0.22806	0.002899	2.909	2.2376	8	8	7.03	2.32
an+:Donnerstag	auffordern	FALSE	FALSE	FALSE	38	0.32515	0.003639	4.724	3.2487	22	21	16.94	4.61
an+:Mittwoch	auffordern	FALSE	FALSE	FALSE	36	0.3027	0.003453	4.267	3.0115	18	17	14.12	3.97
an+:Montag	auffordern	FALSE	FALSE	FALSE	43	0.37361	0.004083	5.817	3.7834	34	33	24.51	6.31
in:Antrag	auffordern	FALSE	FALSE	FALSE	40	1.55607	0.011201	36.883	6.1488	1362	1327	210.8	46.95
in:Brief	auffordern	FALSE	FALSE	FALSE	57	1.27856	0.013131	31.169	7.1523	973	955	229.29	51.04
zu+:Rücktritt	auffordern	FALSE	FALSE	FALSE	63	2.3339	0.019462	116.039	7.9005	13482	13268	570.57	125.13
an+:Freitag	aufführen	FALSE	FALSE	FALSE	35	0.62269	0.003874	9.228	4.5057	85	82	47.36	11.34
an+:Samstag	aufführen	FALSE	FALSE	FALSE	55	0.81024	0.005984	15.932	6.2682	255	249	113.17	25.77
an+:Sonntag	aufführen	FALSE	FALSE	FALSE	52	0.81867	0.00603	15.697	6.1163	247	242	108.68	24.78
in+:Bürgerhaus	aufführen	FALSE	FALSE	FALSE	32	1.15956	0.009364	20.007	5.2651	401	387	111.85	25.41
um:Uhr	aufführen	FALSE	FALSE	FALSE	170	1.07545	0.011737	41.193	11.9425	1707	1696	540.42	118.81
in:Flammen	aufgehen	TRUE	FALSE	TRUE	129	3.07168	0.162264	389.732	11.3482	151939	150762	1618.24	352.76
in:Deutschland	aufhalten	FALSE	FALSE	FALSE	42	0.91163	0.006711	16.242	5.6864	264	257	103.27	23.58
für:Kosten	aufkommen	FALSE	FALSE	FALSE	33	2.80643	0.031807	145.141	5.7356	21075	20440	369.95	81.43
an+:Montag	aufnehmen	FALSE	FALSE	FALSE	54	0.2708	0.004364	4.657	3.4094	22	21	17.34	4.72
in+:Jahr	aufnehmen	FALSE	FALSE	FALSE	64	0.28629	0.004762	5.37	3.8619	29	28	22.74	5.94
in+:Programm	aufnehmen	FALSE	FALSE	FALSE	33	1.3646	0.006195	26.447	5.4964	701	679	145.72	32.77
in:Chor	aufnehmen	FALSE	FALSE	FALSE	51	2.21832	0.010118	91.266	7.0982	8346	8182	438.27	96.34
in:Deutschland	aufnehmen	FALSE	FALSE	FALSE	30	0.19243	0.003032	2.447	1.9606	6	5	5.13	1.86
in:Gemeinschaft	aufnehmen	FALSE	FALSE	FALSE	75	1.79842	0.01424	67.574	8.5225	4576	4514	483.41	106.27
in:Jahr	aufnehmen	FALSE	FALSE	FALSE	65	0.20107	0.00421	3.766	2.9879	14	14	12.1	3.53
in:Liste	aufnehmen	FALSE	FALSE	FALSE	32	1.7674	0.006273	42.539	5.5602	1813	1756	201.33	44.84
in:Programm	aufnehmen	FALSE	FALSE	FALSE	42	1.62085	0.008048	40.881	6.3256	1675	1634	235.04	52.22
nach:Angabe	aufnehmen	FALSE	FALSE	FALSE	35	0.21449	0.003355	2.952	2.3058	9	8	7.33	2.39
von:Mark	aufnehmen	FALSE	FALSE	FALSE	41	0.14909	0.003304	2.209	1.8605	5	5	4.35	1.68
vor:Jahr	aufnehmen	FALSE	FALSE	FALSE	32	0.17904	0.003081	2.349	1.9112	6	5	4.79	1.78
an+:Dienstag	aufrufen	FALSE	FALSE	FALSE	34	0.389	0.003516	5.399	3.45	29	28	20.78	5.46
an+:Montag	aufrufen	FALSE	FALSE	FALSE	30	0.32384	0.003045	4.18	2.8788	18	16	13.27	3.76
an+:Samstag	aufrufen	FALSE	FALSE	FALSE	36	0.38064	0.003514	5.429	3.5025	30	28	21.19	5.56
an+:Sonntag	aufrufen	FALSE	FALSE	FALSE	40	0.45919	0.004134	7.003	4.1275	49	47	32.56	8.09
gegen:Ausländerfeindlichkeit	aufrufen	FALSE	FALSE	FALSE	32	1.59704	0.011185	34.671	5.5138	1203	1165	174.34	38.99
zu+:Teilnahme	aufrufen	FALSE	FALSE	FALSE	59	2.24949	0.022584	101.794	7.6379	10373	10197	505.15	110.93
zu:Aktion	aufrufen	FALSE	FALSE	FALSE	37	2.26995	0.01455	82.554	6.0501	6822	6638	320.43	70.72
zu:Demonstration	aufrufen	FALSE	FALSE	FALSE	72	2.49484	0.02813	149.518	8.4581	22378	22067	708.76	155.15
zu:Kundgebung	aufrufen	FALSE	FALSE	FALSE	41	2.63927	0.016476	133.362	6.3884	17803	17370	437	95.98
zu:Spende	aufrufen	FALSE	FALSE	FALSE	45	2.59175	0.018004	132.241	6.691	17505	17117	467.15	102.56
ab:Uhr	aufspielen	FALSE	FALSE	FALSE	41	1.5369	0.008784	36.479	6.2171	1333	1300	213.06	47.45
zu+:Tanz	aufspielen	FALSE	FALSE	FALSE	78	3.23921	0.151899	367.621	8.8267	135172	133444	1036.97	226.44
für:Kommunalwahl	aufstellen	FALSE	FALSE	FALSE	46	1.8201	0.017587	54.301	6.6797	2952	2887	298.05	65.93
um:Uhr	aufstellen	FALSE	FALSE	FALSE	43	0.27457	0.002808	4.215	3.0727	18	17	14.18	3.99
auf:Mark	aufstocken	FALSE	FALSE	FALSE	30	1.56617	0.011387	32.336	5.3285	1047	1011	159.1	35.67
um:Mark	aufstocken	FALSE	FALSE	FALSE	39	2.01206	0.026289	62.707	6.1843	3934	3833	286.45	63.38
von:Mark	aufstocken	FALSE	FALSE	FALSE	36	1.10653	0.00454	19.771	5.5305	392	380	118.32	26.83
ab:Uhr	auftreten	FALSE	FALSE	FALSE	45	0.71821	0.006568	12.402	5.4247	154	150	76.47	17.74
an+:Dienstag	auftreten	FALSE	FALSE	FALSE	30	0.31813	0.003072	4.103	2.8444	17	16	12.86	3.67
an+:Freitag	auftreten	FALSE	FALSE	FALSE	57	0.57245	0.005598	10.688	5.5292	115	112	67.24	15.74
an+:Samstag	auftreten	FALSE	FALSE	FALSE	51	0.51541	0.004933	8.981	4.9618	81	79	50.51	12.07
an+:Sonntag	auftreten	FALSE	FALSE	FALSE	50	0.53959	0.005117	9.362	5.0298	88	86	53.45	12.71
um:Uhr	auftreten	FALSE	FALSE	FALSE	138	0.72284	0.008828	21.889	9.5235	482	478	238.6	53.19
auf:Punkt	ausbauen	FALSE	FALSE	FALSE	33	1.82584	0.018676	46.307	5.6588	2146	2080	213.97	47.61
gegen:Uhr	ausbrechen	FALSE	FALSE	FALSE	40	1.44287	0.013065	32.101	6.0964	1032	1005	189.92	42.42
mit:Thema	auseinandersetzen	FALSE	FALSE	FALSE	52	2.12585	0.036174	82.73	7.1571	6848	6716	409.78	90.22
in+:Jahr	ausfallen	FALSE	FALSE	FALSE	30	0.4673	0.002997	6.182	3.6097	38	36	25.17	6.43
in:Jahr	ausfallen	FALSE	FALSE	FALSE	48	0.57947	0.003997	9.945	5.1037	99	97	57.84	13.67
in+:Jahr	ausgeben	FALSE	FALSE	FALSE	60	0.68893	0.005815	13.617	6.1606	186	182	95.68	21.97
in:Jahr	ausgeben	FALSE	FALSE	FALSE	82	0.73265	0.006657	17.153	7.3794	296	291	144.46	32.63
in:Jahr	ausgehen	FALSE	FALSE	FALSE	46	0.29382	0.003455	4.677	3.3344	22	21	17.13	4.66
von:Mark	ausgehen	FALSE	FALSE	FALSE	60	0.55736	0.005834	10.637	5.5996	114	111	67.72	15.85
in:Minute	ausgleichen	FALSE	FALSE	FALSE	34	1.52138	0.012847	32.595	5.6554	1064	1032	173.37	38.79
zu+:Mal	ausrichten	FALSE	FALSE	FALSE	34	1.30247	0.010278	24.818	5.5404	617	598	140.13	31.57
auf:Lorbeer	ausruhen	TRUE	FALSE	TRUE	36	4.12106	0.258993	689.679	5.9995	475683	462560	642.86	140.56
als:Zeug	aussagen	FALSE	FALSE	FALSE	34	2.96358	0.064947	176.626	5.8246	31203	30291	402.81	88.59
in:Runde	ausscheiden	FALSE	FALSE	FALSE	48	1.74891	0.023016	50.964	6.8047	2599	2545	294.45	65.16
aus:Partei	ausschließen	FALSE	FALSE	FALSE	34	2.24655	0.017167	77.01	5.7979	5935	5761	288.96	63.88
