id	split.inf.S	adv.inf.S	superlative.S	past.S	wh.question.S	stop.to	time	click	noun	nominalization	downtoner
A1G	0	2	12	205	1	0	14	0	444	172	19
A1H	0	0	4	101	0	0	3	0	133	50	4
A1J	2	2	13	252	1	0	13	0	628	265	32
A1K	0	0	6	26	0	0	4	0	85	17	4
A1L	0	0	0	19	1	0	2	0	85	21	2
A1M	0	0	4	69	2	0	7	0	226	100	6
A1N	0	6	23	429	4	0	24	0	641	127	42
A1P	0	0	3	55	0	0	2	0	96	49	4
A1R	0	0	2	35	0	0	4	0	58	23	11
A1S	0	1	14	186	0	0	15	0	527	226	23
A1T	0	3	14	114	1	0	6	0	389	172	25
A1U	0	1	9	66	0	0	3	0	193	77	9
A1V	0	4	38	497	2	0	18	0	970	431	33
A1W	0	1	2	131	0	0	13	0	163	65	8
A1X	0	0	3	79	0	0	10	0	174	39	6
A1Y	0	1	21	381	3	0	11	0	706	299	19
A20	0	0	3	13	0	0	4	0	78	29	2
A21	0	0	0	20	0	0	1	0	66	35	2
A22	0	0	9	174	0	0	15	0	365	92	15
A23	0	2	1	44	0	0	4	0	109	48	6
A24	0	0	13	22	0	0	2	0	149	49	10
A25	0	1	4	45	0	0	3	0	133	57	8
A26	0	2	10	220	0	0	15	0	527	215	16
A27	0	4	6	136	3	0	19	0	369	166	18
A28	0	0	6	240	3	0	20	0	499	223	20
A29	0	0	2	91	0	0	8	0	126	52	9
A2A	0	2	18	386	1	0	14	0	701	295	19
A2B	0	1	1	20	1	0	4	0	83	27	3
A2C	0	0	2	62	3	0	1	0	153	43	8
A2D	0	2	6	44	3	0	14	0	121	39	7
A2E	0	4	18	309	0	0	24	0	550	127	30
A2F	0	0	4	85	0	0	3	0	131	53	7
A2G	0	1	3	73	1	0	10	0	253	85	12
A2H	0	2	14	270	0	0	20	0	596	220	20
A2J	0	1	9	124	6	0	14	0	395	138	16
A2K	0	0	3	43	0	0	6	0	141	60	8
A2L	0	0	6	45	0	0	10	0	236	89	11
A2M	0	3	6	239	0	0	17	0	420	187	15
A2N	0	0	3	87	0	0	2	0	118	33	5
A2P	1	2	17	390	0	1	27	0	725	345	13
A2R	0	0	3	45	0	0	2	0	101	33	6
A2S	0	3	21	352	0	0	26	0	628	158	35
A2T	0	0	0	88	0	0	3	0	129	63	4
A2U	0	1	8	86	0	0	7	0	193	73	14
A2V	0	0	17	241	0	0	27	0	529	171	22
A2W	0	2	9	122	2	0	9	0	376	167	16
A2X	0	2	18	254	0	0	15	0	472	193	19
A2Y	0	1	5	98	0	0	7	0	136	49	4
A30	1	3	11	361	2	0	15	0	710	285	21
A31	0	1	3	45	0	0	2	0	144	70	3
A32	0	0	3	7	0	0	5	0	118	34	2
A33	0	4	14	275	0	0	22	0	555	169	19
A34	0	2	4	47	0	0	0	0	80	37	5
A35	0	1	19	104	0	0	13	0	292	87	17
A36	0	0	6	72	0	0	9	0	257	92	14
A37	0	1	17	224	0	0	22	0	474	168	19
A38	0	0	11	24	0	0	3	0	145	33	9
A39	0	0	3	18	0	0	2	0	106	33	4
A3A	0	1	11	140	1	0	23	0	391	131	14
A3B	0	0	3	14	1	0	1	0	81	32	3
A3C	0	1	16	95	1	0	19	0	395	93	17
A3D	0	0	10	217	1	0	4	0	398	192	23
A3E	0	1	4	15	1	0	2	0	85	28	0
A3F	0	0	5	68	0	0	1	0	117	49	5
A3G	0	3	16	276	0	0	21	0	615	240	20
A3H	0	0	2	13	0	0	4	0	86	16	1
A3J	0	2	6	43	0	0	11	0	244	85	15
A3K	0	0	3	13	0	0	7	0	159	82	13
A3L	0	1	19	283	1	0	31	0	623	158	35
A3M	0	0	4	29	0	0	10	0	153	38	5
A3N	0	1	5	178	0	0	8	0	281	77	4
A3P	0	0	13	138	0	0	17	0	360	50	18
A3R	0	0	1	77	0	0	8	0	158	55	7
A3S	0	3	13	140	1	0	15	0	438	216	20
A3T	0	3	10	114	2	0	9	0	432	165	21
A3U	3	2	11	206	0	0	14	0	408	193	19
A3V	0	0	5	118	0	0	6	0	162	52	13
A3W	0	5	17	236	0	0	12	0	554	277	24
A3X	0	0	1	96	2	0	10	0	181	21	7
A3Y	0	0	6	67	0	0	4	0	194	71	8
A40	0	3	18	350	0	0	30	0	594	140	24
A41	0	2	4	63	0	0	3	0	98	52	4
A42	0	0	3	43	0	0	5	0	125	61	12
A43	0	1	17	226	0	0	17	0	574	229	28
A44	1	1	9	98	2	0	14	0	360	170	20
A45	0	1	5	52	1	0	1	0	158	62	2
A46	0	4	8	231	0	0	7	0	533	249	39
A47	0	1	5	109	0	0	6	0	138	47	4
A48	0	0	3	78	0	0	5	0	151	35	8
A49	1	2	15	326	0	0	22	0	625	279	21
A4A	0	0	5	54	0	0	5	0	227	68	5
A4B	0	2	12	230	0	0	14	0	435	118	22
A4C	0	1	5	94	0	0	2	0	145	46	5
A4D	0	0	7	34	0	1	4	0	132	65	4
A4E	0	2	5	39	0	0	4	0	151	58	9
A4F	0	2	17	230	0	0	24	0	586	208	16
A4G	0	3	12	113	1	0	18	0	391	161	19
A4H	0	3	11	223	0	0	16	0	451	207	18
A4J	0	0	4	121	0	0	6	0	148	72	11
A4K	0	4	12	394	1	0	24	0	751	344	19
A4L	1	0	4	25	2	0	1	0	128	33	5
A4M	0	0	3	44	2	0	7	0	157	49	11
A4N	1	0	5	46	0	0	3	0	133	45	5
A4P	0	1	12	263	0	0	27	0	487	108	26
A4R	0	0	2	55	0	0	3	0	78	31	2
A4S	0	1	8	75	0	0	6	0	229	82	21
A4U	0	1	9	122	1	0	7	0	382	158	22
A4V	1	0	3	39	0	0	8	0	182	102	9
A4W	0	1	4	44	0	0	5	0	173	81	14
A4X	0	0	6	310	1	0	17	0	505	232	21
A4Y	0	0	7	112	0	0	7	0	138	32	6
A50	0	1	19	385	0	0	22	0	757	322	22
A51	0	0	1	23	0	0	5	0	89	21	2
A52	1	2	12	305	0	0	25	0	525	132	23
A53	0	0	4	72	0	0	3	0	146	80	4
A54	0	1	4	105	3	0	8	0	235	59	15
A55	0	5	13	208	0	0	12	0	514	223	19
A56	0	3	6	117	3	0	11	0	398	159	13
A57	0	2	6	256	2	0	19	0	506	210	23
A58	0	2	2	90	0	0	3	0	118	60	0
A59	0	2	19	415	1	0	28	0	793	326	24
A5A	0	3	1	68	0	0	10	0	196	108	10
A5B	0	0	6	30	0	0	6	0	161	54	6
A5C	0	2	19	244	0	0	24	0	518	120	26
A5D	0	0	1	71	0	0	5	0	103	67	0
A5E	0	2	12	66	1	0	8	0	230	71	18
A5F	0	2	4	69	0	0	4	0	212	73	10
A5G	0	2	14	213	0	0	20	0	508	216	19
A5H	0	0	8	19	0	0	6	0	164	29	10
A5J	0	0	8	55	0	0	5	0	108	47	7
A5K	0	2	8	160	0	0	18	0	382	122	25
A5L	0	0	2	25	1	0	3	0	131	28	5
A5M	0	2	13	237	0	1	16	0	421	182	18
A5N	0	0	10	16	0	0	7	0	110	13	7
A5P	0	0	5	93	0	0	8	0	136	59	2
A5R	0	1	17	356	0	0	21	0	684	289	29
A5S	0	1	12	43	0	0	8	0	304	108	18
A5T	0	0	5	24	0	0	2	0	156	54	12
A5U	0	5	14	323	2	0	33	1	713	148	32
A5V	0	0	6	53	0	0	4	0	113	26	5
A5W	0	1	9	176	0	0	9	0	253	94	10
A5X	0	2	11	78	0	0	10	1	341	88	17
A5Y	1	8	20	490	7	0	63	0	1636	757	84
A60	0	1	9	80	5	0	18	0	908	482	21
A61	0	3	11	1700	11	0	119	0	2234	369	58
A62	0	2	16	652	2	0	56	0	1070	533	102
A63	0	0	4	37	20	0	7	0	531	204	6
A64	0	7	57	1455	3	0	61	0	1786	796	147
A65	4	1	68	390	3	2	33	1	2024	454	44
A66	0	16	27	1656	0	0	95	0	1809	978	162
A67	0	3	29	629	5	0	51	0	1627	628	40
A68	0	10	75	2258	8	0	121	0	2408	729	93
A69	0	13	34	501	5	0	60	0	1471	868	98
A6A	0	6	73	223	7	0	89	0	2355	735	89
A6B	0	15	62	833	4	0	65	0	2049	932	118
A6C	1	2	20	1191	7	2	71	0	1766	248	43
A6D	0	20	34	441	4	0	53	0	1695	1011	148
A6E	0	0	17	1334	10	0	105	0	1337	100	47
A6F	0	3	21	720	2	0	57	0	1559	1000	82
A6G	0	11	43	1064	2	0	54	0	1554	966	90
A6J	0	8	18	1582	17	1	76	0	1642	318	91
A6L	3	7	57	906	9	0	116	1	1998	702	65
A6M	2	3	21	513	0	0	51	0	1151	750	105
A6N	0	3	26	1733	5	2	76	0	1929	179	62
A6R	1	2	37	525	0	0	29	0	1680	204	56
A6S	3	3	41	660	3	1	85	0	1385	771	85
A6T	1	9	44	1089	15	2	138	0	2235	298	103
A6U	0	5	17	310	6	0	26	0	1042	542	68
A6V	1	8	47	1065	7	0	84	0	2103	575	125
A6W	0	5	50	539	1	0	52	1	1439	357	110
A6X	0	5	65	700	2	0	55	0	1736	458	80
A6Y	0	2	39	864	3	0	53	0	1273	507	84
A70	0	3	48	507	5	0	56	0	2501	311	63
A73	0	4	27	2204	19	0	67	0	2534	216	91
A74	1	0	9	639	14	2	47	0	2302	78	40
A75	0	1	16	82	16	0	218	0	1486	558	68
A77	0	7	34	576	3	0	84	0	1854	583	85
A79	0	7	39	694	0	0	28	0	1300	648	107
A7A	0	8	12	1750	10	0	51	1	1949	237	87
A7C	0	7	46	1070	5	0	63	0	1503	481	116
A7D	0	5	66	593	3	0	67	0	2232	435	86
A7F	2	5	42	346	1	0	36	0	1456	496	38
A7G	1	2	29	114	8	0	37	0	1333	355	37
A7H	0	5	40	1320	0	0	123	1	1694	451	60
A7J	0	2	15	1487	14	0	62	0	1655	204	36
A7K	1	3	9	321	4	0	54	0	1485	373	35
A7L	1	3	37	992	1	0	66	0	1319	687	97
A7N	1	2	29	282	6	0	45	0	1383	241	50
A7P	0	1	24	289	2	0	33	0	1146	178	30
A7S	0	4	6	86	0	0	6	0	229	73	13
A7T	0	1	5	164	0	0	10	0	372	164	23
A7U	0	0	0	9	0	0	0	0	13	5	1
A7V	1	2	7	231	3	0	7	0	409	179	21
A7W	1	6	18	667	1	0	25	0	1139	508	34
A7X	0	1	0	23	0	0	1	0	41	9	1
A7Y	0	1	13	248	0	0	13	0	516	191	22
A80	1	3	10	206	1	0	16	0	453	92	24
A81	0	0	0	8	0	0	3	0	47	16	2
A82	0	0	0	0	0	0	0	0	11	2	1
A83	0	1	9	95	1	0	9	0	351	100	12
A84	0	0	2	3	0	0	0	0	23	7	0
A85	0	3	9	132	0	0	9	0	437	174	14
A86	0	0	0	2	0	0	0	0	40	8	1
A87	0	1	11	242	3	0	23	0	476	229	25
A88	0	0	15	362	2	0	14	0	603	243	28
A89	0	1	23	270	4	0	18	0	720	174	34
A8A	0	0	0	4	0	0	0	0	20	5	0
A8B	0	2	2	44	0	0	5	0	142	37	2
A8C	0	1	10	256	2	0	24	0	560	114	38
A8D	0	0	10	136	0	0	16	0	317	129	10
A8E	0	0	6	32	0	0	4	0	288	110	17
A8F	0	3	21	352	2	0	37	0	820	233	45
A8G	0	0	7	57	0	0	5	0	160	58	11
A8H	0	0	15	180	0	0	14	0	385	161	22
A8J	0	0	9	208	0	0	4	0	362	167	7
A8K	0	0	34	534	1	1	22	0	1122	508	65
A8L	0	0	1	16	0	0	0	0	63	15	3
A8M	0	2	3	78	0	0	4	0	160	53	6
A8N	0	5	11	326	1	0	23	0	544	113	31
A8P	0	0	5	45	0	0	5	0	101	43	6
A8R	0	1	13	49	0	0	7	1	348	105	18
A8S	0	0	3	15	0	0	4	0	73	21	3
A8T	0	0	0	5	1	0	0	0	31	15	0
A8U	0	1	12	138	0	0	7	0	405	144	21
A8V	0	0	0	5	0	0	0	0	13	4	0
A8W	0	3	13	196	1	0	12	0	474	217	16
A8X	1	4	22	580	2	0	28	0	1051	498	38
A8Y	0	2	2	156	0	0	26	0	289	81	10
A90	0	1	16	324	0	0	20	0	608	148	17
A91	0	0	1	116	2	0	4	0	140	31	2
A92	1	1	9	65	0	0	11	0	329	105	13
A93	0	0	1	56	1	0	7	0	125	27	1
A94	0	1	18	121	0	0	10	0	458	175	38
A95	1	2	11	229	0	0	9	0	474	206	19
A96	0	4	42	477	0	0	31	0	1016	469	44
A97	0	1	2	11	0	0	2	0	38	12	2
A98	1	2	3	135	2	0	8	0	298	134	17
A99	0	0	12	193	1	0	25	0	449	103	26
A9A	0	0	7	36	2	0	3	0	124	56	5
A9B	0	0	0	2	0	0	0	0	1	1	0
A9C	0	1	5	73	0	0	4	0	115	38	4
A9D	0	3	41	273	0	0	23	0	1013	396	68
A9E	1	4	25	401	0	0	19	0	803	366	37
A9F	2	1	14	475	1	0	26	0	882	336	34
A9G	0	0	0	2	0	0	0	0	9	1	0
A9H	0	2	30	484	2	0	58	0	1068	239	62
A9J	0	1	3	35	1	0	7	0	149	79	10
A9K	0	0	4	10	0	0	2	0	46	19	0
A9L	0	1	6	35	0	0	1	0	151	65	3
A9M	1	3	8	256	0	0	6	0	475	232	23
A9N	0	1	11	239	0	0	15	0	572	288	16
A9P	0	0	2	18	0	0	1	0	24	5	3
A9R	0	1	12	378	0	0	25	0	597	116	32
A9S	0	0	2	14	0	0	1	0	34	13	0
A9T	0	2	8	153	4	0	15	0	433	83	21
A9U	0	1	14	144	0	0	8	0	337	146	24
A9V	1	2	4	146	1	0	13	0	306	185	9
A9W	3	4	15	487	1	1	26	0	895	420	36
A9X	0	0	1	13	0	0	4	0	25	4	2
A9Y	0	0	0	16	0	0	1	0	17	6	0
AA0	0	1	15	230	0	0	18	0	440	93	24
AA1	0	3	13	343	4	0	18	0	703	255	27
AA2	0	0	4	119	0	0	6	0	229	60	12
AA3	0	2	6	217	0	0	14	0	381	180	20
AA4	1	0	5	191	0	0	5	0	358	175	25
AA5	0	8	11	501	3	0	26	0	825	370	22
AA6	0	0	0	17	1	0	0	0	57	5	4
AA7	0	1	4	239	2	0	21	0	392	97	16
AA8	0	1	25	398	2	0	53	0	852	306	36
AA9	2	4	22	344	2	0	41	0	855	232	40
AAA	0	0	4	146	0	0	5	0	312	136	14
AAB	1	1	12	279	0	0	13	0	437	220	14
AAC	1	0	23	393	0	0	19	0	801	365	28
AAD	0	0	4	14	0	0	2	0	63	8	4
AAE	0	2	16	208	0	0	22	0	511	113	27
AAF	0	5	14	347	5	1	15	0	839	261	38
AAG	0	1	4	71	2	0	11	0	258	98	12
AAH	0	0	6	113	0	0	13	0	260	65	15
AAJ	1	1	12	91	0	0	14	0	305	144	18
AAK	1	1	11	218	1	0	11	0	422	213	15
AAL	1	3	16	590	1	1	16	0	980	414	31
AAM	0	0	4	19	0	0	2	0	95	10	1
AAN	0	2	11	166	0	0	14	0	413	81	26
AAP	1	2	9	126	1	0	10	0	349	163	12
AAR	0	0	5	29	0	0	1	0	105	33	1
AAS	1	3	21	197	0	0	24	0	425	171	24
AAT	0	0	8	141	1	0	5	0	300	150	16
AAU	0	0	12	204	1	0	6	0	474	188	15
AAV	0	3	26	250	7	0	35	0	1041	231	38
AAW	0	0	21	293	1	0	26	0	555	116	25
AAX	0	1	9	123	0	0	7	0	331	124	10
AAY	0	1	25	48	0	0	14	0	570	207	17
AB3	2	5	35	442	9	0	53	1	1657	567	65
AB4	0	3	76	1018	1	0	69	0	1503	253	74
AB5	4	5	20	1506	1	0	174	1	1516	213	60
AB6	0	4	50	544	3	0	57	0	1513	825	82
AB9	0	11	21	1637	9	3	60	0	1989	333	84
ABA	1	5	48	964	0	0	67	0	1307	787	67
ABB	3	9	98	169	1	0	37	0	2201	232	93
ABC	5	10	64	544	0	0	59	0	1698	626	127
ABD	0	6	102	808	5	0	71	0	2802	908	144
ABE	0	5	86	873	8	0	98	0	3146	1044	151
ABF	0	10	93	945	15	0	84	0	3133	1152	171
ABG	0	8	82	1023	3	0	82	0	3133	1072	142
ABH	0	11	105	898	9	0	81	0	3183	1028	166
ABJ	0	18	126	1317	6	0	135	0	4159	1392	188
ABK	0	7	71	880	5	0	75	0	3025	1094	157
ABL	0	7	33	901	5	0	76	0	1250	357	92
ABM	0	12	18	468	7	0	34	0	1584	838	102
ABP	0	4	25	368	0	0	80	0	1340	771	113
ABR	0	14	71	1186	2	0	120	0	1343	269	179
ABS	0	12	72	1228	13	0	109	0	3045	498	121
ABU	0	5	62	1407	1	0	58	0	1749	823	80
ABV	0	2	20	662	27	0	69	0	2020	696	71
ABW	0	2	44	1763	8	0	66	0	2000	295	85
ABX	0	0	7	3310	17	1	68	0	2812	40	54
AC0	0	0	4	107	1	0	14	0	334	148	18
AC2	0	7	27	1519	13	0	65	0	1976	561	49
AC3	0	6	23	2241	7	0	96	0	2364	188	113
AC4	0	4	15	1925	24	3	70	2	2263	146	105
AC5	0	2	16	1970	20	1	72	0	2371	118	67
AC6	0	10	27	1523	21	1	101	0	2127	371	103
AC7	0	6	20	1313	13	0	106	0	1496	170	92
AC9	0	1	40	441	0	0	63	0	1695	826	81
ACA	0	5	29	913	2	0	48	0	1253	453	69
ACB	0	5	5	2391	14	2	64	4	2328	173	108
ACE	0	6	25	1354	19	0	94	1	2647	327	102
ACG	0	7	31	387	5	0	70	0	1817	419	103
ACH	6	4	39	1142	5	0	47	0	1425	871	87
ACJ	0	11	39	274	11	0	29	0	1234	799	89
ACK	0	3	9	1682	25	1	86	2	2317	124	38
ACL	0	10	31	506	5	1	76	0	1446	721	68
ACM	2	2	22	558	7	1	69	0	1380	245	35
ACN	2	6	64	724	8	0	82	0	2251	494	68
ACP	3	6	58	680	9	0	82	0	2113	470	68
ACR	2	5	90	754	9	0	96	2	3236	968	113
ACS	0	6	45	1518	4	0	78	0	1731	606	111
ACV	0	1	18	2073	23	1	47	4	2057	235	61
ACW	0	9	38	1468	4	3	70	1	1585	151	77
ACX	2	5	76	266	2	0	48	0	2453	336	60
ACY	1	1	32	131	1	0	32	0	1325	205	39
AD0	3	7	22	83	10	0	96	0	1832	293	78
AD1	0	11	17	1784	18	1	66	2	2325	250	91
AD2	1	6	13	954	1	0	46	0	1373	691	85
AD7	0	7	61	786	1	0	56	0	887	175	61
AD9	2	6	20	2060	26	0	90	1	2527	430	89
ADA	0	2	51	1325	23	0	76	1	1988	365	106
ADB	0	5	58	833	2	0	69	0	1433	583	115
ADC	0	7	36	1097	1	0	71	0	1400	790	71
ADD	0	7	46	989	1	0	72	0	1192	733	182
ADE	0	6	20	333	9	1	126	0	1089	333	35
ADF	11	4	60	442	4	1	81	0	1568	468	89
ADG	1	3	17	623	14	2	80	1	1473	193	66
ADH	0	4	32	311	2	0	41	0	802	415	61
ADK	0	8	51	563	5	1	111	1	1850	587	71
ADL	1	11	36	1418	1	0	58	1	1529	464	86
ADM	1	4	21	1777	6	1	59	0	2238	249	70
ADP	0	3	58	1119	13	0	125	0	1723	411	70
ADR	3	6	37	1201	5	0	118	0	1832	299	60
ADS	0	10	32	1191	15	0	66	0	1413	235	118
ADW	0	8	15	1149	5	0	46	0	1469	826	75
ADX	1	5	31	210	3	0	41	0	2174	826	43
ADY	0	7	20	2091	6	1	85	1	2198	234	83
AE0	0	4	10	2124	18	1	87	1	2602	324	114
AE4	0	7	55	1097	0	1	50	0	1257	567	113
AE6	0	4	59	1318	0	0	43	0	1482	680	102
AE7	0	6	44	268	28	1	43	0	1630	756	113
AE8	0	11	39	1291	2	3	68	0	1893	588	84
AE9	0	7	15	1081	1	0	84	0	1296	565	52
AEA	0	5	13	1122	19	4	42	0	1431	255	56
AEB	0	5	28	1956	9	0	69	1	2159	170	71
AH9	0	0	0	9	0	0	0	0	16	5	3
AHA	0	1	45	516	3	2	40	0	1178	312	45
AHB	0	1	23	262	1	0	18	0	743	337	41
AHC	0	3	73	654	2	0	60	0	1750	372	108
AHD	0	0	8	75	0	0	10	0	208	59	14
AHE	0	0	1	22	0	0	2	0	46	16	0
AHF	0	3	39	655	1	0	41	0	1257	459	56
AHG	0	5	43	560	10	0	44	0	1288	377	83
AHH	0	0	0	0	0	0	0	0	5	2	1
AHJ	0	2	33	284	0	0	43	0	1051	362	55
AHK	0	3	60	900	0	0	93	0	1787	338	122
AHL	0	0	6	39	1	0	6	1	116	52	8
AHM	0	0	2	75	0	0	5	0	125	45	3
AHN	0	5	63	819	4	0	69	0	2077	813	88
AHP	0	0	6	61	0	0	4	0	145	62	8
AHR	0	1	13	145	4	0	7	0	341	101	8
AHS	0	0	1	4	0	0	0	0	16	9	1
AHT	0	0	18	221	0	0	18	1	787	338	43
AHU	1	6	46	952	2	0	70	0	1634	383	76
AHV	0	1	3	19	0	0	1	0	85	30	1
AHW	0	0	1	16	1	0	0	0	46	24	2
AHX	0	2	55	709	1	0	43	0	1454	589	56
AHY	0	0	10	48	0	0	9	0	310	101	14
AJ0	0	1	6	135	0	0	9	0	275	84	5
AJ1	0	0	0	6	0	0	1	0	21	12	0
AJ2	0	2	20	254	1	0	26	0	643	289	34
AJ3	1	5	20	378	0	0	34	0	781	226	32
AJ4	0	0	2	23	0	0	1	0	42	16	0
AJ5	0	0	5	46	3	0	9	0	149	57	2
AJ6	0	4	33	589	1	0	27	0	1064	487	40
AJ7	0	1	2	13	0	0	1	0	31	11	4
AJ8	0	2	15	320	0	0	20	0	492	143	28
AJ9	1	3	17	265	0	0	15	0	660	259	32
AJA	0	2	35	489	0	0	46	0	1245	342	53
AJB	0	0	6	52	0	0	4	0	109	35	5
AJC	0	0	0	16	0	0	1	0	22	7	1
AJD	0	6	35	784	3	1	46	0	1322	468	57
AJE	0	1	0	18	0	0	1	0	19	7	0
AJF	0	1	6	96	2	0	6	0	283	86	14
AJG	0	0	1	5	0	0	0	0	29	14	2
AJH	1	2	18	214	1	0	14	0	511	237	23
AJJ	1	2	20	405	0	0	40	0	790	185	39
AJK	0	0	2	37	0	0	4	0	90	37	2
AJL	0	1	1	58	1	0	4	0	123	45	1
AJM	0	10	26	597	14	0	48	0	1212	433	66
AJN	0	0	15	162	0	0	12	0	466	104	18
AJP	0	0	8	214	0	0	11	0	445	205	19
AJR	0	2	14	302	0	0	21	0	593	121	19
AJS	0	0	0	23	0	0	1	0	52	11	5
AJT	0	1	2	81	0	0	8	0	131	32	7
AJU	1	3	36	802	0	0	43	0	1334	500	61
AJV	0	0	30	282	3	0	30	0	903	289	44
AJW	0	1	2	11	0	0	1	0	30	20	2
AJX	0	3	23	297	1	0	18	0	682	287	45
AJY	1	6	65	704	3	1	64	0	2065	391	76
AK0	0	0	0	12	0	0	0	0	29	10	2
AK1	0	0	0	17	0	0	1	0	36	14	2
AK2	0	7	30	811	3	0	46	0	1280	526	65
AK3	0	0	0	9	0	0	0	0	25	7	2
AK4	0	1	45	606	4	0	58	0	1204	338	68
AK6	0	8	57	833	5	2	77	0	1780	401	94
AK7	0	0	0	7	0	0	0	0	22	10	0
AK8	0	1	7	67	1	0	1	0	136	54	2
AK9	1	9	58	1006	8	0	82	0	1873	689	83
AKA	0	0	1	5	0	0	0	0	35	10	1
AKB	0	0	11	132	1	0	10	0	333	99	12
AKC	0	0	0	10	0	0	0	0	23	3	0
AKD	1	5	35	276	0	0	32	0	939	367	31
AKE	0	6	41	850	5	0	81	0	1548	317	81
AKF	0	0	6	37	0	0	0	0	103	46	4
AKG	0	0	0	11	0	0	0	0	33	13	2
AKH	0	4	25	488	1	0	30	0	923	358	42
AKJ	0	1	13	222	0	0	22	0	502	135	25
AKK	0	0	0	11	0	0	4	0	23	7	1
AKL	0	1	17	298	0	0	25	0	634	289	42
AKM	0	8	40	515	0	0	60	0	1344	297	70
AKN	0	0	0	25	0	0	0	0	55	26	1
AKP	0	0	1	49	0	0	0	0	114	64	3
AKR	0	5	23	529	1	0	17	0	937	374	27
AKS	0	0	15	100	2	0	10	0	336	89	16
AKT	0	0	0	23	0	0	0	0	42	8	1
AKU	0	1	25	281	0	0	19	0	680	255	24
AKV	0	2	33	422	0	0	26	0	834	168	29
AKW	0	0	0	17	0	0	1	0	31	9	0
AKX	0	0	6	56	0	0	4	0	151	63	10
AKY	0	4	19	558	0	0	31	0	1005	380	25
AL0	0	1	8	87	0	0	9	0	223	56	8
AL1	0	0	1	1	0	0	0	0	10	2	1
AL2	0	1	14	184	0	0	20	0	409	205	18
AL3	1	7	67	622	3	1	76	0	1678	414	89
AL4	0	0	0	4	0	0	0	0	11	5	3
AL5	0	0	3	44	0	0	6	0	128	35	7
AL6	0	5	29	590	1	0	25	0	985	378	29
AL7	0	0	11	17	0	0	1	0	375	170	5
AL8	0	6	34	1033	0	0	49	0	1271	919	97
AL9	0	1	9	97	0	0	6	0	280	174	31
ALA	0	0	11	160	0	0	19	0	336	153	17
ALB	2	3	7	145	2	0	19	0	344	232	20
ALC	0	1	53	1060	0	0	110	0	1406	536	94
ALE	0	2	3	67	0	0	9	0	264	180	7
ALF	0	1	7	24	0	0	10	0	486	341	22
ALG	0	0	4	8	0	0	3	0	177	123	12
ALH	0	1	33	1193	13	1	77	1	2277	229	58
ALJ	0	2	12	1943	8	0	43	1	1982	176	70
ALK	1	3	16	715	3	0	80	0	818	268	47
ALL	0	1	29	1800	11	0	39	3	2159	332	66
ALM	3	3	24	483	1	0	53	0	1326	820	54
ALN	0	4	16	352	0	0	32	0	871	533	42
ALP	4	4	9	469	4	0	33	0	1031	566	65
