CONCEPT	CLASS6	CLASS3	CLASS2	FEATURE	TYPE
banana	fruit	vegetable	natural	grows_in_tropical_climates	context
banana	fruit	vegetable	natural	grows_in_tropical_climates	context
banana	fruit	vegetable	natural	grows_in_tropical_climates	context
banana	fruit	vegetable	natural	grows_in_tropical_climates	context
banana	fruit	vegetable	natural	grows_in_tropical_climates	context
banana	fruit	vegetable	natural	grows_in_tropical_climates	context
banana	fruit	vegetable	natural	grows_in_tropical_climates	context
banana	fruit	vegetable	natural	grows_on_trees	context
banana	fruit	vegetable	natural	grows_on_trees	context
banana	fruit	vegetable	natural	grows_on_trees	context
banana	fruit	vegetable	natural	grows_on_trees	context
banana	fruit	vegetable	natural	grows_on_trees	context
banana	fruit	vegetable	natural	grows_on_trees	context
banana	fruit	vegetable	natural	grows_on_trees	context
banana	fruit	vegetable	natural	grows_on_trees	context
banana	fruit	vegetable	natural	grows_on_trees	context
banana	fruit	vegetable	natural	grows_on_trees	context
banana	fruit	vegetable	natural	grows_on_trees	context
banana	fruit	vegetable	natural	has_a_skin	part
banana	fruit	vegetable	natural	has_a_skin	part
banana	fruit	vegetable	natural	has_a_skin	part
banana	fruit	vegetable	natural	has_a_skin	part
banana	fruit	vegetable	natural	has_a_skin	part
banana	fruit	vegetable	natural	has_peel	part
banana	fruit	vegetable	natural	has_peel	part
banana	fruit	vegetable	natural	has_peel	part
banana	fruit	vegetable	natural	has_peel	part
banana	fruit	vegetable	natural	has_peel	part
banana	fruit	vegetable	natural	has_peel	part
banana	fruit	vegetable	natural	has_peel	part
banana	fruit	vegetable	natural	is_edible	function
banana	fruit	vegetable	natural	is_edible	function
banana	fruit	vegetable	natural	is_edible	function
banana	fruit	vegetable	natural	is_edible	function
banana	fruit	vegetable	natural	is_edible	function
banana	fruit	vegetable	natural	is_edible	function
banana	fruit	vegetable	natural	is_edible	function
banana	fruit	vegetable	natural	is_edible	function
banana	fruit	vegetable	natural	is_edible	function
banana	fruit	vegetable	natural	is_edible	function
banana	fruit	vegetable	natural	is_edible	function
banana	fruit	vegetable	natural	is_edible	function
banana	fruit	vegetable	natural	is_edible	function
banana	fruit	vegetable	natural	is_green	quality
banana	fruit	vegetable	natural	is_green	quality
banana	fruit	vegetable	natural	is_green	quality
banana	fruit	vegetable	natural	is_green	quality
banana	fruit	vegetable	natural	is_green	quality
banana	fruit	vegetable	natural	is_green	quality
banana	fruit	vegetable	natural	is_green	quality
banana	fruit	vegetable	natural	is_long	quality
banana	fruit	vegetable	natural	is_long	quality
banana	fruit	vegetable	natural	is_long	quality
banana	fruit	vegetable	natural	is_long	quality
banana	fruit	vegetable	natural	is_long	quality
banana	fruit	vegetable	natural	is_long	quality
banana	fruit	vegetable	natural	is_long	quality
banana	fruit	vegetable	natural	is_long	quality
banana	fruit	vegetable	natural	is_long	quality
banana	fruit	vegetable	natural	is_round	quality
banana	fruit	vegetable	natural	is_round	quality
banana	fruit	vegetable	natural	is_round	quality
banana	fruit	vegetable	natural	is_round	quality
banana	fruit	vegetable	natural	is_round	quality
banana	fruit	vegetable	natural	is_soft	quality
banana	fruit	vegetable	natural	is_soft	quality
banana	fruit	vegetable	natural	is_soft	quality
banana	fruit	vegetable	natural	is_soft	quality
banana	fruit	vegetable	natural	is_soft	quality
banana	fruit	vegetable	natural	is_soft	quality
banana	fruit	vegetable	natural	is_soft	quality
banana	fruit	vegetable	natural	is_soft	quality
banana	fruit	vegetable	natural	is_soft	quality
banana	fruit	vegetable	natural	is_soft	quality
banana	fruit	vegetable	natural	is_soft	quality
banana	fruit	vegetable	natural	is_soft	quality
banana	fruit	vegetable	natural	is_yellow	quality
banana	fruit	vegetable	natural	is_yellow	quality
banana	fruit	vegetable	natural	is_yellow	quality
banana	fruit	vegetable	natural	is_yellow	quality
banana	fruit	vegetable	natural	is_yellow	quality
banana	fruit	vegetable	natural	is_yellow	quality
banana	fruit	vegetable	natural	is_yellow	quality
banana	fruit	vegetable	natural	is_yellow	quality
banana	fruit	vegetable	natural	is_yellow	quality
banana	fruit	vegetable	natural	is_yellow	quality
banana	fruit	vegetable	natural	is_yellow	quality
banana	fruit	vegetable	natural	is_yellow	quality
banana	fruit	vegetable	natural	is_yellow	quality
banana	fruit	vegetable	natural	is_yellow	quality
banana	fruit	vegetable	natural	is_yellow	quality
banana	fruit	vegetable	natural	is_yellow	quality
banana	fruit	vegetable	natural	is_yellow	quality
banana	fruit	vegetable	natural	is_yellow	quality
banana	fruit	vegetable	natural	is_yellow	quality
banana	fruit	vegetable	natural	is_yellow	quality
banana	fruit	vegetable	natural	is_yellow	quality
banana	fruit	vegetable	natural	is_yellow	quality
banana	fruit	vegetable	natural	is_yellow	quality
banana	fruit	vegetable	natural	is_yellow	quality
banana	fruit	vegetable	natural	is_yellow	quality
banana	fruit	vegetable	natural	is_yellow	quality
banana	fruit	vegetable	natural	is_yellow	quality
banana	fruit	vegetable	natural	is_yellow	quality
banana	fruit	vegetable	natural	is_yellow	quality
banana	fruit	vegetable	natural	tastes_good	quality
banana	fruit	vegetable	natural	tastes_good	quality
banana	fruit	vegetable	natural	tastes_good	quality
banana	fruit	vegetable	natural	tastes_good	quality
banana	fruit	vegetable	natural	tastes_good	quality
banana	fruit	vegetable	natural	tastes_good	quality
banana	fruit	vegetable	natural	tastes_good	quality
banana	fruit	vegetable	natural	tastes_good	quality
banana	fruit	vegetable	natural	tastes_good	quality
boat	vehicle	artifact	manMade	found_on_water	context
boat	vehicle	artifact	manMade	found_on_water	context
boat	vehicle	artifact	manMade	found_on_water	context
boat	vehicle	artifact	manMade	found_on_water	context
boat	vehicle	artifact	manMade	found_on_water	context
boat	vehicle	artifact	manMade	found_on_water	context
boat	vehicle	artifact	manMade	found_on_water	context
boat	vehicle	artifact	manMade	found_on_water	context
boat	vehicle	artifact	manMade	found_on_water	context
boat	vehicle	artifact	manMade	found_on_water	context
boat	vehicle	artifact	manMade	found_on_water	context
boat	vehicle	artifact	manMade	found_on_water	context
boat	vehicle	artifact	manMade	found_on_water	context
boat	vehicle	artifact	manMade	found_on_water	context
boat	vehicle	artifact	manMade	found_on_water	context
boat	vehicle	artifact	manMade	found_on_water	context
boat	vehicle	artifact	manMade	found_on_water	context
boat	vehicle	artifact	manMade	found_on_water	context
boat	vehicle	artifact	manMade	found_on_water	context
boat	vehicle	artifact	manMade	found_on_water	context
boat	vehicle	artifact	manMade	found_on_water	context
boat	vehicle	artifact	manMade	has_a_motor	part
boat	vehicle	artifact	manMade	has_a_motor	part
boat	vehicle	artifact	manMade	has_a_motor	part
boat	vehicle	artifact	manMade	has_a_motor	part
boat	vehicle	artifact	manMade	has_a_motor	part
boat	vehicle	artifact	manMade	has_a_motor	part
boat	vehicle	artifact	manMade	has_a_motor	part
boat	vehicle	artifact	manMade	has_a_motor	part
boat	vehicle	artifact	manMade	has_a_motor	part
boat	vehicle	artifact	manMade	has_a_motor	part
boat	vehicle	artifact	manMade	has_a_motor	part
boat	vehicle	artifact	manMade	has_a_motor	part
boat	vehicle	artifact	manMade	has_a_motor	part
boat	vehicle	artifact	manMade	has_a_motor	part
boat	vehicle	artifact	manMade	has_a_motor	part
boat	vehicle	artifact	manMade	has_sails	part
boat	vehicle	artifact	manMade	has_sails	part
boat	vehicle	artifact	manMade	has_sails	part
boat	vehicle	artifact	manMade	has_sails	part
boat	vehicle	artifact	manMade	has_sails	part
boat	vehicle	artifact	manMade	has_sails	part
boat	vehicle	artifact	manMade	has_sails	part
boat	vehicle	artifact	manMade	floats	behaviour
boat	vehicle	artifact	manMade	floats	behaviour
boat	vehicle	artifact	manMade	floats	behaviour
boat	vehicle	artifact	manMade	floats	behaviour
boat	vehicle	artifact	manMade	floats	behaviour
boat	vehicle	artifact	manMade	floats	behaviour
boat	vehicle	artifact	manMade	floats	behaviour
boat	vehicle	artifact	manMade	floats	behaviour
boat	vehicle	artifact	manMade	floats	behaviour
boat	vehicle	artifact	manMade	floats	behaviour
boat	vehicle	artifact	manMade	floats	behaviour
boat	vehicle	artifact	manMade	floats	behaviour
boat	vehicle	artifact	manMade	is_small	quality
boat	vehicle	artifact	manMade	is_small	quality
boat	vehicle	artifact	manMade	is_small	quality
boat	vehicle	artifact	manMade	is_small	quality
boat	vehicle	artifact	manMade	is_small	quality
boat	vehicle	artifact	manMade	is_small	quality
boat	vehicle	artifact	manMade	made_of_wood	part
boat	vehicle	artifact	manMade	made_of_wood	part
boat	vehicle	artifact	manMade	made_of_wood	part
boat	vehicle	artifact	manMade	made_of_wood	part
boat	vehicle	artifact	manMade	made_of_wood	part
boat	vehicle	artifact	manMade	made_of_wood	part
boat	vehicle	artifact	manMade	made_of_wood	part
boat	vehicle	artifact	manMade	made_of_wood	part
boat	vehicle	artifact	manMade	made_of_wood	part
boat	vehicle	artifact	manMade	made_of_wood	part
boat	vehicle	artifact	manMade	made_of_wood	part
boat	vehicle	artifact	manMade	made_of_wood	part
boat	vehicle	artifact	manMade	made_of_wood	part
boat	vehicle	artifact	manMade	used_by_people	related
boat	vehicle	artifact	manMade	used_by_people	related
boat	vehicle	artifact	manMade	used_by_people	related
boat	vehicle	artifact	manMade	used_by_people	related
boat	vehicle	artifact	manMade	used_by_people	related
boat	vehicle	artifact	manMade	used_by_people	related
boat	vehicle	artifact	manMade	used_by_people	related
boat	vehicle	artifact	manMade	used_for_fishing	function
boat	vehicle	artifact	manMade	used_for_fishing	function
boat	vehicle	artifact	manMade	used_for_fishing	function
boat	vehicle	artifact	manMade	used_for_fishing	function
boat	vehicle	artifact	manMade	used_for_fishing	function
boat	vehicle	artifact	manMade	used_for_fishing	function
boat	vehicle	artifact	manMade	used_for_fishing	function
boat	vehicle	artifact	manMade	used_for_fishing	function
boat	vehicle	artifact	manMade	used_for_fishing	function
boat	vehicle	artifact	manMade	used_for_transportation	function
boat	vehicle	artifact	manMade	used_for_transportation	function
boat	vehicle	artifact	manMade	used_for_transportation	function
boat	vehicle	artifact	manMade	used_for_transportation	function
boat	vehicle	artifact	manMade	used_for_transportation	function
boat	vehicle	artifact	manMade	used_for_transportation	function
boat	vehicle	artifact	manMade	used_for_transportation	function
boat	vehicle	artifact	manMade	used_for_transportation	function
boat	vehicle	artifact	manMade	used_for_transportation	function
boat	vehicle	artifact	manMade	used_for_transportation	function
boat	vehicle	artifact	manMade	used_for_transportation	function
boat	vehicle	artifact	manMade	used_for_transportation	function
boat	vehicle	artifact	manMade	used_for_transportation	function
boat	vehicle	artifact	manMade	used_for_transportation	function
boat	vehicle	artifact	manMade	used_for_transportation	function
boat	vehicle	artifact	manMade	used_for_transportation	function
boat	vehicle	artifact	manMade	used_on_oceans	context
boat	vehicle	artifact	manMade	used_on_oceans	context
boat	vehicle	artifact	manMade	used_on_oceans	context
boat	vehicle	artifact	manMade	used_on_oceans	context
boat	vehicle	artifact	manMade	used_on_oceans	context
boat	vehicle	artifact	manMade	used_on_oceans	context
boat	vehicle	artifact	manMade	used_on_oceans	context
bottle	tool	artifact	manMade	a_container	category
bottle	tool	artifact	manMade	a_container	category
bottle	tool	artifact	manMade	a_container	category
bottle	tool	artifact	manMade	a_container	category
bottle	tool	artifact	manMade	a_container	category
bottle	tool	artifact	manMade	a_container	category
bottle	tool	artifact	manMade	a_container	category
bottle	tool	artifact	manMade	has_a_cork	part
bottle	tool	artifact	manMade	has_a_cork	part
bottle	tool	artifact	manMade	has_a_cork	part
bottle	tool	artifact	manMade	has_a_cork	part
bottle	tool	artifact	manMade	has_a_cork	part
bottle	tool	artifact	manMade	has_a_cork	part
bottle	tool	artifact	manMade	has_a_lid	part
bottle	tool	artifact	manMade	has_a_lid	part
bottle	tool	artifact	manMade	has_a_lid	part
bottle	tool	artifact	manMade	has_a_lid	part
bottle	tool	artifact	manMade	has_a_lid	part
bottle	tool	artifact	manMade	has_a_lid	part
bottle	tool	artifact	manMade	has_a_lid	part
bottle	tool	artifact	manMade	has_a_lid	part
bottle	tool	artifact	manMade	has_a_lid	part
bottle	tool	artifact	manMade	has_a_lid	part
bottle	tool	artifact	manMade	has_a_lid	part
bottle	tool	artifact	manMade	has_a_lid	part
bottle	tool	artifact	manMade	has_a_lid	part
bottle	tool	artifact	manMade	has_a_lid	part
bottle	tool	artifact	manMade	has_a_lid	part
bottle	tool	artifact	manMade	has_a_lid	part
bottle	tool	artifact	manMade	has_a_neck	part
bottle	tool	artifact	manMade	has_a_neck	part
bottle	tool	artifact	manMade	has_a_neck	part
bottle	tool	artifact	manMade	has_a_neck	part
bottle	tool	artifact	manMade	has_a_neck	part
bottle	tool	artifact	manMade	has_a_neck	part
bottle	tool	artifact	manMade	has_a_neck	part
bottle	tool	artifact	manMade	has_a_neck	part
bottle	tool	artifact	manMade	has_a_neck	part
bottle	tool	artifact	manMade	is_green	quality
bottle	tool	artifact	manMade	is_green	quality
bottle	tool	artifact	manMade	is_green	quality
bottle	tool	artifact	manMade	is_green	quality
bottle	tool	artifact	manMade	is_green	quality
bottle	tool	artifact	manMade	is_green	quality
bottle	tool	artifact	manMade	is_green	quality
bottle	tool	artifact	manMade	is_transparent	quality
bottle	tool	artifact	manMade	is_transparent	quality
bottle	tool	artifact	manMade	is_transparent	quality
bottle	tool	artifact	manMade	is_transparent	quality
bottle	tool	artifact	manMade	is_transparent	quality
bottle	tool	artifact	manMade	is_transparent	quality
bottle	tool	artifact	manMade	is_transparent	quality
bottle	tool	artifact	manMade	is_transparent	quality
bottle	tool	artifact	manMade	is_transparent	quality
bottle	tool	artifact	manMade	is_transparent	quality
bottle	tool	artifact	manMade	is_transparent	quality
bottle	tool	artifact	manMade	is_transparent	quality
bottle	tool	artifact	manMade	is_transparent	quality
bottle	tool	artifact	manMade	made_of_glass	part
bottle	tool	artifact	manMade	made_of_glass	part
bottle	tool	artifact	manMade	made_of_glass	part
bottle	tool	artifact	manMade	made_of_glass	part
bottle	tool	artifact	manMade	made_of_glass	part
bottle	tool	artifact	manMade	made_of_glass	part
bottle	tool	artifact	manMade	made_of_glass	part
bottle	tool	artifact	manMade	made_of_glass	part
bottle	tool	artifact	manMade	made_of_glass	part
bottle	tool	artifact	manMade	made_of_glass	part
bottle	tool	artifact	manMade	made_of_glass	part
bottle	tool	artifact	manMade	made_of_glass	part
bottle	tool	artifact	manMade	made_of_glass	part
bottle	tool	artifact	manMade	made_of_glass	part
bottle	tool	artifact	manMade	made_of_glass	part
bottle	tool	artifact	manMade	made_of_glass	part
bottle	tool	artifact	manMade	made_of_glass	part
bottle	tool	artifact	manMade	made_of_glass	part
bottle	tool	artifact	manMade	made_of_glass	part
bottle	tool	artifact	manMade	made_of_glass	part
bottle	tool	artifact	manMade	made_of_glass	part
bottle	tool	artifact	manMade	made_of_glass	part
bottle	tool	artifact	manMade	made_of_glass	part
bottle	tool	artifact	manMade	made_of_glass	part
bottle	tool	artifact	manMade	made_of_glass	part
bottle	tool	artifact	manMade	made_of_glass	part
bottle	tool	artifact	manMade	made_of_plastic	part
bottle	tool	artifact	manMade	made_of_plastic	part
bottle	tool	artifact	manMade	made_of_plastic	part
bottle	tool	artifact	manMade	made_of_plastic	part
bottle	tool	artifact	manMade	made_of_plastic	part
bottle	tool	artifact	manMade	made_of_plastic	part
bottle	tool	artifact	manMade	made_of_plastic	part
bottle	tool	artifact	manMade	made_of_plastic	part
bottle	tool	artifact	manMade	made_of_plastic	part
bottle	tool	artifact	manMade	made_of_plastic	part
bottle	tool	artifact	manMade	made_of_plastic	part
bottle	tool	artifact	manMade	made_of_plastic	part
bottle	tool	artifact	manMade	made_of_plastic	part
bottle	tool	artifact	manMade	made_of_plastic	part
bottle	tool	artifact	manMade	made_of_plastic	part
bottle	tool	artifact	manMade	made_of_plastic	part
bottle	tool	artifact	manMade	made_of_plastic	part
bottle	tool	artifact	manMade	made_of_plastic	part
bottle	tool	artifact	manMade	used_for_drinking	function
bottle	tool	artifact	manMade	used_for_drinking	function
bottle	tool	artifact	manMade	used_for_drinking	function
bottle	tool	artifact	manMade	used_for_drinking	function
bottle	tool	artifact	manMade	used_for_drinking	function
bottle	tool	artifact	manMade	used_for_holding_beer	function
bottle	tool	artifact	manMade	used_for_holding_beer	function
bottle	tool	artifact	manMade	used_for_holding_beer	function
bottle	tool	artifact	manMade	used_for_holding_beer	function
bottle	tool	artifact	manMade	used_for_holding_beer	function
bottle	tool	artifact	manMade	used_for_holding_liquids	function
bottle	tool	artifact	manMade	used_for_holding_liquids	function
bottle	tool	artifact	manMade	used_for_holding_liquids	function
bottle	tool	artifact	manMade	used_for_holding_liquids	function
bottle	tool	artifact	manMade	used_for_holding_liquids	function
bottle	tool	artifact	manMade	used_for_holding_liquids	function
bottle	tool	artifact	manMade	used_for_holding_liquids	function
bottle	tool	artifact	manMade	used_for_holding_liquids	function
bottle	tool	artifact	manMade	used_for_holding_liquids	function
bottle	tool	artifact	manMade	used_for_holding_liquids	function
bottle	tool	artifact	manMade	used_for_holding_liquids	function
bottle	tool	artifact	manMade	used_for_holding_liquids	function
bottle	tool	artifact	manMade	used_for_holding_liquids	function
bottle	tool	artifact	manMade	used_for_holding_liquids	function
bottle	tool	artifact	manMade	used_for_holding_liquids	function
bottle	tool	artifact	manMade	used_for_holding_liquids	function
bottle	tool	artifact	manMade	used_for_holding_liquids	function
bottle	tool	artifact	manMade	used_for_holding_liquids	function
bottle	tool	artifact	manMade	used_for_holding_liquids	function
bottle	tool	artifact	manMade	used_for_holding_liquids	function
bottle	tool	artifact	manMade	used_for_holding_liquids	function
bottle	tool	artifact	manMade	used_for_holding_liquids	function
bottle	tool	artifact	manMade	used_for_holding_liquids	function
bottle	tool	artifact	manMade	used_for_holding_liquids	function
bottle	tool	artifact	manMade	used_for_holding_liquids	function
bottle	tool	artifact	manMade	used_for_holding_things	function
bottle	tool	artifact	manMade	used_for_holding_things	function
bottle	tool	artifact	manMade	used_for_holding_things	function
bottle	tool	artifact	manMade	used_for_holding_things	function
bottle	tool	artifact	manMade	used_for_holding_things	function
bottle	tool	artifact	manMade	used_for_holding_things	function
bottle	tool	artifact	manMade	used_for_holding_things	function
bottle	tool	artifact	manMade	used_for_holding_things	function
bottle	tool	artifact	manMade	used_for_holding_things	function
bottle	tool	artifact	manMade	used_for_holding_things	function
bottle	tool	artifact	manMade	used_for_holding_things	function
bottle	tool	artifact	manMade	used_for_holding_things	function
bottle	tool	artifact	manMade	used_for_holding_things	function
bottle	tool	artifact	manMade	used_for_holding_things	function
bottle	tool	artifact	manMade	used_for_holding_things	function
bottle	tool	artifact	manMade	used_for_holding_things	function
bottle	tool	artifact	manMade	used_for_holding_things	function
bottle	tool	artifact	manMade	used_for_holding_things	function
bottle	tool	artifact	manMade	used_for_holding_things	function
bottle	tool	artifact	manMade	used_for_holding_things	function
bottle	tool	artifact	manMade	used_for_holding_things	function
bottle	tool	artifact	manMade	used_for_holding_things	function
bottle	tool	artifact	manMade	used_for_holding_things	function
bottle	tool	artifact	manMade	used_for_holding_things	function
bottle	tool	artifact	manMade	used_for_holding_things	function
bottle	tool	artifact	manMade	used_for_holding_things	function
bottle	tool	artifact	manMade	used_for_holding_things	function
bottle	tool	artifact	manMade	used_for_holding_things	function
bottle	tool	artifact	manMade	used_for_holding_things	function
bottle	tool	artifact	manMade	used_for_holding_wine	function
bottle	tool	artifact	manMade	used_for_holding_wine	function
bottle	tool	artifact	manMade	used_for_holding_wine	function
bottle	tool	artifact	manMade	used_for_holding_wine	function
bottle	tool	artifact	manMade	used_for_holding_wine	function
bowl	tool	artifact	manMade	different_colours	quality
bowl	tool	artifact	manMade	different_colours	quality
bowl	tool	artifact	manMade	different_colours	quality
bowl	tool	artifact	manMade	different_colours	quality
bowl	tool	artifact	manMade	different_colours	quality
bowl	tool	artifact	manMade	found_in_kitchens	context
bowl	tool	artifact	manMade	found_in_kitchens	context
bowl	tool	artifact	manMade	found_in_kitchens	context
bowl	tool	artifact	manMade	found_in_kitchens	context
bowl	tool	artifact	manMade	found_in_kitchens	context
bowl	tool	artifact	manMade	found_in_kitchens	context
bowl	tool	artifact	manMade	found_in_kitchens	context
bowl	tool	artifact	manMade	is_curved	quality
bowl	tool	artifact	manMade	is_curved	quality
bowl	tool	artifact	manMade	is_curved	quality
bowl	tool	artifact	manMade	is_curved	quality
bowl	tool	artifact	manMade	is_curved	quality
bowl	tool	artifact	manMade	is_curved	quality
bowl	tool	artifact	manMade	is_curved	quality
bowl	tool	artifact	manMade	is_round	quality
bowl	tool	artifact	manMade	is_round	quality
bowl	tool	artifact	manMade	is_round	quality
bowl	tool	artifact	manMade	is_round	quality
bowl	tool	artifact	manMade	is_round	quality
bowl	tool	artifact	manMade	is_round	quality
bowl	tool	artifact	manMade	is_round	quality
bowl	tool	artifact	manMade	is_round	quality
bowl	tool	artifact	manMade	is_round	quality
bowl	tool	artifact	manMade	is_round	quality
bowl	tool	artifact	manMade	is_round	quality
bowl	tool	artifact	manMade	is_round	quality
bowl	tool	artifact	manMade	is_round	quality
bowl	tool	artifact	manMade	is_round	quality
bowl	tool	artifact	manMade	is_round	quality
bowl	tool	artifact	manMade	is_round	quality
bowl	tool	artifact	manMade	is_round	quality
bowl	tool	artifact	manMade	is_round	quality
bowl	tool	artifact	manMade	is_round	quality
bowl	tool	artifact	manMade	made_of_ceramic	part
bowl	tool	artifact	manMade	made_of_ceramic	part
bowl	tool	artifact	manMade	made_of_ceramic	part
bowl	tool	artifact	manMade	made_of_ceramic	part
bowl	tool	artifact	manMade	made_of_ceramic	part
bowl	tool	artifact	manMade	made_of_plastic	part
bowl	tool	artifact	manMade	made_of_plastic	part
bowl	tool	artifact	manMade	made_of_plastic	part
bowl	tool	artifact	manMade	made_of_plastic	part
bowl	tool	artifact	manMade	made_of_plastic	part
bowl	tool	artifact	manMade	made_of_plastic	part
bowl	tool	artifact	manMade	made_of_plastic	part
bowl	tool	artifact	manMade	made_of_plastic	part
bowl	tool	artifact	manMade	requires_a_spoon	related
bowl	tool	artifact	manMade	requires_a_spoon	related
bowl	tool	artifact	manMade	requires_a_spoon	related
bowl	tool	artifact	manMade	requires_a_spoon	related
bowl	tool	artifact	manMade	requires_a_spoon	related
bowl	tool	artifact	manMade	used_for_eating	function
bowl	tool	artifact	manMade	used_for_eating	function
bowl	tool	artifact	manMade	used_for_eating	function
bowl	tool	artifact	manMade	used_for_eating	function
bowl	tool	artifact	manMade	used_for_eating	function
bowl	tool	artifact	manMade	used_for_eating	function
bowl	tool	artifact	manMade	used_for_eating	function
bowl	tool	artifact	manMade	used_for_eating	function
bowl	tool	artifact	manMade	used_for_eating	function
bowl	tool	artifact	manMade	used_for_eating	function
bowl	tool	artifact	manMade	used_for_eating	function
bowl	tool	artifact	manMade	used_for_eating	function
bowl	tool	artifact	manMade	used_for_eating_cereal	function
bowl	tool	artifact	manMade	used_for_eating_cereal	function
bowl	tool	artifact	manMade	used_for_eating_cereal	function
bowl	tool	artifact	manMade	used_for_eating_cereal	function
bowl	tool	artifact	manMade	used_for_eating_cereal	function
bowl	tool	artifact	manMade	used_for_eating_cereal	function
bowl	tool	artifact	manMade	used_for_eating_cereal	function
bowl	tool	artifact	manMade	used_for_eating_cereal	function
bowl	tool	artifact	manMade	used_for_eating_cereal	function
bowl	tool	artifact	manMade	used_for_eating_cereal	function
bowl	tool	artifact	manMade	used_for_food	function
bowl	tool	artifact	manMade	used_for_food	function
bowl	tool	artifact	manMade	used_for_food	function
bowl	tool	artifact	manMade	used_for_food	function
bowl	tool	artifact	manMade	used_for_food	function
bowl	tool	artifact	manMade	used_for_food	function
bowl	tool	artifact	manMade	used_for_food	function
bowl	tool	artifact	manMade	used_for_food	function
bowl	tool	artifact	manMade	used_for_food	function
bowl	tool	artifact	manMade	used_for_food	function
bowl	tool	artifact	manMade	used_for_food	function
bowl	tool	artifact	manMade	used_for_holding_things	function
bowl	tool	artifact	manMade	used_for_holding_things	function
bowl	tool	artifact	manMade	used_for_holding_things	function
bowl	tool	artifact	manMade	used_for_holding_things	function
bowl	tool	artifact	manMade	used_for_holding_things	function
bowl	tool	artifact	manMade	used_for_holding_things	function
bowl	tool	artifact	manMade	used_for_holding_things	function
bowl	tool	artifact	manMade	used_for_liquids	function
bowl	tool	artifact	manMade	used_for_liquids	function
bowl	tool	artifact	manMade	used_for_liquids	function
bowl	tool	artifact	manMade	used_for_liquids	function
bowl	tool	artifact	manMade	used_for_liquids	function
bowl	tool	artifact	manMade	used_for_liquids	function
bowl	tool	artifact	manMade	used_for_liquids	function
bowl	tool	artifact	manMade	used_for_liquids	function
bowl	tool	artifact	manMade	used_for_liquids	function
bowl	tool	artifact	manMade	used_for_liquids	function
bowl	tool	artifact	manMade	used_for_mixing	function
bowl	tool	artifact	manMade	used_for_mixing	function
bowl	tool	artifact	manMade	used_for_mixing	function
bowl	tool	artifact	manMade	used_for_mixing	function
bowl	tool	artifact	manMade	used_for_mixing	function
bowl	tool	artifact	manMade	used_for_mixing	function
bowl	tool	artifact	manMade	used_for_soup	function
bowl	tool	artifact	manMade	used_for_soup	function
bowl	tool	artifact	manMade	used_for_soup	function
bowl	tool	artifact	manMade	used_for_soup	function
bowl	tool	artifact	manMade	used_for_soup	function
bowl	tool	artifact	manMade	used_for_soup	function
bowl	tool	artifact	manMade	used_for_soup	function
bowl	tool	artifact	manMade	used_for_soup	function
bowl	tool	artifact	manMade	used_for_soup	function
bowl	tool	artifact	manMade	used_for_soup	function
bowl	tool	artifact	manMade	used_for_soup	function
car	vehicle	artifact	manMade	a_vehicle	category
car	vehicle	artifact	manMade	a_vehicle	category
