id	word1	pos1	word2	pos2	O11	O12	O21	O22
54	1958	C	alpha	Y	5	37	1	909725
55	1959	C	.	.	26	30	45447	864265
56	1959	C	and	C	7	49	20574	889138
57	1960	C	.	.	33	72	45440	864223
58	1960	C	and	C	5	100	20576	889087
59	1960	C	the	D	5	100	58339	851324
60	1961	C	.	.	24	62	45449	864233
61	1961	C	and	C	5	81	20576	889106
62	1961	C	will	M	6	80	1953	907729
63	1962	C	.	.	12	10	45461	864285
64	2	C	%	N	8	172	79	909509
65	2	C	.	.	56	124	45417	864171
66	2	C	and	C	6	174	20575	889013
67	2	C	hours	N	5	175	168	909420
68	2	C	of	I	10	170	35489	874099
69	2	C	was	V	6	174	9333	900255
70	2	L	.	.	40	3	45433	864292
71	20	C	.	.	5	76	45468	864219
72	20	C	to	T	7	74	24792	884895
73	20	C	years	N	9	72	930	908757
74	23	C	.	.	5	18	45468	864277
75	25	C	years	N	9	46	930	908783
76	3	C	.	.	31	91	45442	864204
77	3	C	and	C	11	111	20570	889076
78	3	C	to	T	9	113	24790	884856
79	3	L	.	.	37	2	45436	864293
80	30	C	.	.	7	89	45466	864206
81	30	C	fiscal	J	5	91	82	909590
82	30	C	minutes	N	19	77	173	909499
83	30	C	per	I	6	90	355	909317
84	30	C	to	T	6	90	24793	884879
85	31	C	.	.	6	12	45467	864283
86	353	C	u.s.	Y	5	0	176	909587
87	4	C	.	.	36	75	45437	864220
88	4	C	of	I	5	106	35494	874163
89	4	C	per	I	8	103	353	909304
90	4	L	.	.	26	1	45447	864294
91	40	C	%	S	6	40	54	909668
92	5	C	%	N	5	88	82	909593
93	5	C	.	.	14	79	45459	864216
94	5	C	and	C	6	87	20575	889100
95	5	L	.	.	19	0	45454	864295
96	50	C	%	N	9	74	78	909607
97	50	C	%	S	9	74	51	909634
98	50	C	per	I	6	77	355	909330
99	6	C	.	.	15	60	45458	864235
100	6	C	and	C	8	67	20573	889120
101	6	L	.	.	11	0	45462	864295
102	60	C	days	N	6	42	368	909352
103	60	C	million	C	6	42	198	909522
104	7	C	.	.	16	44	45457	864251
105	7	C	and	C	8	52	20573	889135
106	7	L	.	.	8	0	45465	864295
107	7th	Y	cavalry	N	5	4	14	909745
108	8	C	.	.	15	62	45458	864233
109	8	C	to	T	5	72	24794	884897
110	800	C	.	.	5	15	45468	864280
111	9	C	.	.	12	20	45461	864275
112	\*\*	S	ya	N	6	75	0	909687
113	\*\*	S	yc	N	8	73	0	909687
114	\*\*	S	yf	N	8	73	0	909687
115	\*\*	S	yl	N	6	75	0	909687
116	\*\*	S	zg	N	32	49	0	909687
117	a.	N	notte	Y	15	21	5	909727
118	a	D	20	C	5	22766	83	886914
119	a	D	a[fj]	S	18	22753	949	886048
120	a	D	baby	N	12	22759	43	886954
121	a	D	bad	J	29	22742	100	886897
122	a	D	ball	N	9	22762	87	886910
123	a	D	band	N	8	22763	35	886962
124	a	D	barrel	N	6	22765	14	886983
125	a	D	base	N	8	22763	72	886925
126	a	D	baseball	N	5	22766	49	886948
127	a	D	basic	J	8	22763	117	886880
128	a	D	basis	N	12	22759	171	886826
129	a	D	bath	N	7	22764	16	886981
130	a	D	battery	N	5	22766	10	886987
131	a	D	battle	N	7	22764	65	886932
132	a	D	beautiful	J	24	22747	85	886912
133	a	D	bed	N	6	22765	105	886892
134	a	D	beer	N	6	22765	23	886974
135	a	D	beginning	N	5	22766	70	886927
136	a	D	belief	N	5	22766	50	886947
137	a	D	better	J	41	22730	175	886822
138	a	D	big	J	80	22691	207	886790
139	a	D	bill	N	10	22761	69	886928
140	a	D	binomial	N	9	22762	24	886973
141	a	D	bird	N	7	22764	18	886979
142	a	D	bit	N	51	22720	30	886967
143	a	D	bitter	J	14	22757	33	886964
144	a	D	black	J	23	22748	100	886897
145	a	D	blanket	N	6	22765	21	886976
146	a	D	blind	J	8	22763	27	886970
147	a	D	block	N	11	22760	50	886947
148	a	D	blow	N	6	22765	17	886980
149	a	D	board	N	12	22759	165	886832
150	a	D	boat	N	12	22759	56	886941
151	a	D	body	N	19	22752	208	886789
152	a	D	bomb	N	5	22766	28	886969
153	a	D	book	N	28	22743	139	886858
154	a	D	bottle	N	15	22756	58	886939
155	a	D	box	N	5	22766	58	886939
156	a	D	boy	N	38	22733	196	886801
157	a	D	brave	J	5	22766	11	886986
158	a	D	break	N	11	22760	11	886986
159	a	D	bridge	N	6	22765	76	886921
160	a	D	brief	J	29	22742	29	886968
161	a	D	bright	J	9	22762	57	886940
162	a	D	brilliant	J	8	22763	32	886965
163	a	D	british	Y	6	22765	73	886924
164	a	D	broad	J	20	22751	50	886947
165	a	D	broader	J	8	22763	10	886987
166	a	D	brown	J	8	22763	43	886954
167	a	D	bubble	N	6	22765	3	886994
168	a	D	building	N	9	22762	97	886900
169	a	D	bull	N	5	22766	7	886990
170	a	D	bullet	N	10	22761	16	886981
171	a	D	bunch	N	6	22765	10	886987
172	a	D	bundle	N	7	22764	10	886987
173	a	D	burden	N	8	22763	33	886964
174	a	D	business	N	14	22757	312	886685
175	a	D	cafe	N	5	22766	11	886986
176	a	D	call	N	12	22759	34	886963
177	a	D	candidate	N	13	22758	20	886977
178	a	D	candle	N	6	22765	11	886986
179	a	D	cane	N	5	22766	6	886991
180	a	D	captain	N	5	22766	42	886955
181	a	D	car	N	39	22732	206	886791
182	a	D	careful	J	7	22764	50	886947
183	a	D	carefully	R	5	22766	73	886924
184	a	D	case	N	16	22755	317	886680
185	a	D	cat	N	6	22765	15	886982
186	a	D	catholic	Y	10	22761	47	886950
187	a	D	cent	N	7	22764	147	886850
188	a	D	center	N	7	22764	168	886829
189	a	D	central	J	19	22752	69	886928
190	a	D	century	N	20	22751	174	886823
191	a	D	certain	J	77	22694	220	886777
192	a	D	chain	N	9	22762	36	886961
193	a	D	chair	N	14	22757	43	886954
194	a	D	chance	N	41	22730	83	886914
195	a	D	change	N	29	22742	132	886865
196	a	D	character	N	6	22765	99	886898
197	a	D	charge	N	7	22764	96	886901
198	a	D	check	N	12	22759	22	886975
199	a	D	chicken	N	6	22765	25	886972
200	a	D	child	N	73	22698	149	886848
201	a	D	chill	N	5	22766	8	886989
202	a	D	choice	N	12	22759	87	886910
203	a	D	christian	Y	15	22756	101	886896
204	a	D	church	N	15	22756	204	886793
205	a	D	cigar	N	6	22765	3	886994
206	a	D	cigarette	N	16	22755	6	886991
207	a	D	circle	N	6	22765	47	886950
208	a	D	circus	N	5	22766	1	886996
209	a	D	city	N	13	22758	259	886738
210	a	D	claim	N	11	22760	50	886947
211	a	D	class	N	8	22763	176	886821
212	a	D	clean	J	9	22762	33	886964
213	a	D	clear	J	13	22758	177	886820
214	a	D	clearer	J	8	22763	5	886992
215	a	D	close	J	17	22754	62	886935
216	a	D	cloud	N	9	22762	16	886981
217	a	D	clue	N	7	22764	8	886989
218	a	D	coalition	N	6	22765	9	886988
219	a	D	cocktail	N	7	22764	16	886981
220	a	D	coin	N	5	22766	4	886993
221	a	D	cold	J	19	22752	108	886889
222	a	D	collection	N	20	22751	60	886937
223	a	D	college	N	19	22752	153	886844
224	a	D	color	N	6	22765	110	886887
225	a	D	combination	N	17	22754	38	886959
226	a	D	comfortable	J	5	22766	30	886967
227	a	D	committee	N	8	22763	75	886922
228	a	D	common	J	41	22730	149	886848
229	a	D	community	N	17	22754	195	886802
230	a	D	company	N	8	22763	200	886797
231	a	D	comparable	J	8	22763	29	886968
232	a	D	comparison	N	5	22766	43	886954
233	a	D	complement	N	6	22765	12	886985
234	a	D	complete	J	36	22735	112	886885
235	a	D	completely	R	9	22762	97	886900
236	a	D	complex	N	8	22763	22	886975
237	a	D	comprehensive	J	5	22766	12	886985
238	a	D	compromise	N	6	22765	10	886987
239	a	D	concentration	N	7	22764	36	886961
240	a	D	concept	N	10	22761	71	886926
241	a	D	concern	N	5	22766	70	886927
242	a	D	concert	N	7	22764	24	886973
243	a	D	conclusion	N	6	22765	50	886947
244	a	D	conference	N	7	22764	56	886941
245	a	D	conflict	N	6	22765	41	886956
246	a	D	congregation	N	8	22763	33	886964
247	a	D	consequence	N	7	22764	23	886974
248	a	D	considerable	J	29	22742	64	886933
249	a	D	consistent	J	5	22766	23	886974
250	a	D	conspiracy	N	8	22763	13	886984
251	a	D	constant	J	11	22760	43	886954
252	a	D	constant	N	6	22765	5	886992
253	a	D	continuation	N	6	22765	8	886989
254	a	D	continuing	G	7	22764	39	886958
255	a	D	continuous	J	8	22763	30	886967
256	a	D	controversy	N	5	22766	20	886977
257	a	D	conventional	J	5	22766	42	886955
258	a	D	conversation	N	11	22760	35	886962
259	a	D	conviction	N	9	22762	31	886966
260	a	D	cooperative	J	5	22766	10	886987
261	a	D	cop	N	9	22762	4	886993
262	a	D	copy	N	9	22762	26	886971
263	a	D	corner	N	20	22751	94	886903
264	a	D	corporation	N	11	22760	65	886932
265	a	D	corps	N	5	22766	14	886983
266	a	D	corresponding	J	5	22766	23	886974
267	a	D	cost	N	5	22766	165	886832
268	a	D	country	N	14	22757	275	886722
269	a	D	couple	N	84	22687	37	886960
270	a	D	course	N	16	22755	436	886561
271	a	D	court	N	9	22762	134	886863
272	a	D	cow	N	13	22758	14	886983
273	a	D	crisis	N	5	22766	70	886927
274	a	D	critical	J	7	22764	43	886954
275	a	D	crowd	N	8	22763	42	886955
276	a	D	crucial	J	9	22762	21	886976
277	a	D	cry	N	6	22765	24	886973
278	a	D	cup	N	15	22756	26	886971
279	a	D	curious	J	8	22763	35	886962
280	a	D	curve	N	7	22764	37	886960
281	a	D	cut	N	6	22765	12	886985
282	a	D	cylinder	N	5	22766	13	886984
283	a	D	damn	N	5	22766	0	886997
284	a	D	dancer	N	6	22765	25	886972
285	a	D	dangerous	J	5	22766	36	886961
286	a	D	dark	J	17	22754	107	886890
287	a	D	dash	N	5	22766	5	886992
288	a	D	date	N	6	22765	81	886916
289	a	D	daughter	N	7	22764	27	886970
290	a	D	day	N	79	22692	536	886461
291	a	D	dead	J	14	22757	132	886865
292	a	D	dealer	N	6	22765	19	886978
293	a	D	decade	N	12	22759	34	886963
294	a	D	decent	J	6	22765	14	886983
295	a	D	decision	N	12	22759	89	886908
296	a	D	deep	J	22	22749	58	886939
297	a	D	deeper	J	6	22765	27	886970
298	a	D	definite	J	11	22760	24	886973
299	a	D	degree	N	14	22757	106	886891
300	a	D	delicate	J	5	22766	18	886979
301	a	D	delightful	J	7	22764	16	886981
302	a	D	demonstration	N	9	22762	14	886983
303	a	D	department	N	6	22765	63	886934
304	a	D	depth	N	7	22764	40	886957
305	a	D	description	N	9	22762	42	886955
306	a	D	desire	N	8	22763	47	886950
307	a	D	desk	N	7	22764	39	886958
308	a	D	desperate	J	5	22766	17	886980
309	a	D	detailed	J	10	22761	14	886983
310	a	D	devil	N	5	22766	21	886976
311	a	D	difference	N	19	22752	129	886868
312	a	D	different	J	41	22730	252	886745
313	a	D	difficult	J	15	22756	142	886855
314	a	D	dilemma	N	5	22766	20	886977
315	a	D	dinner	N	9	22762	76	886921
316	a	D	direct	J	20	22751	81	886916
317	a	D	director	N	5	22766	60	886937
318	a	D	discussion	N	8	22763	74	886923
319	a	D	distance	N	13	22758	90	886907
320	a	D	distinct	J	6	22765	35	886962
321	a	D	distribution	N	5	22766	73	886924
322	a	D	district	N	5	22766	67	886930
323	a	D	division	N	5	22766	61	886936
324	a	D	divorce	N	6	22765	15	886982
325	a	D	doctor	N	10	22761	84	886913
326	a	D	dog	N	15	22756	50	886947
327	a	D	door	N	9	22762	291	886706
328	a	D	double	J	5	22766	25	886972
329	a	D	dozen	N	38	22733	13	886984
330	a	D	dramatic	J	9	22762	45	886952
331	a	D	drastic	J	5	22766	6	886991
332	a	D	dream	N	13	22758	33	886964
333	a	D	drink	N	27	22744	18	886979
334	a	D	drop	N	8	22763	15	886982
335	a	D	drunk	N	5	22766	2	886995
336	a	D	dry	J	6	22765	39	886958
337	a	D	dull	J	6	22765	19	886978
338	a	D	face	N	6	22765	178	886819
339	a	D	fact	N	9	22762	438	886559
340	a	D	factor	N	11	22760	59	886938
341	a	D	faculty	N	7	22764	59	886938
342	a	D	failure	N	8	22763	61	886936
343	a	D	faint	J	12	22759	10	886987
344	a	D	fair	J	20	22751	34	886963
345	a	D	fairly	R	18	22753	38	886959
346	a	D	familiar	J	6	22765	62	886935
347	a	D	family	N	30	22741	232	886765
348	a	D	far	R	7	22764	353	886644
349	a	D	farm	N	15	22756	84	886913
350	a	D	fascinating	J	6	22765	14	886983
351	a	D	fashion	N	6	22765	55	886942
352	a	D	fast	J	6	22765	14	886983
353	a	D	fat	J	6	22765	40	886957
354	a	D	father	N	6	22765	50	886947
355	a	D	favor	N	7	22764	42	886955
356	a	D	favorite	J	5	22766	15	886982
357	a	D	federal	J	10	22761	168	886829
358	a	D	feeling	N	20	22751	112	886885
359	a	D	fellow	N	10	22761	25	886972
360	a	D	few	J	372	22399	189	886808
361	a	D	field	N	8	22763	221	886776
362	a	D	fight	N	10	22761	42	886955
363	a	D	figure	N	10	22761	161	886836
364	a	D	file	N	5	22766	38	886959
365	a	D	final	J	16	22755	112	886885
366	a	D	fine	J	41	22730	92	886905
367	a	D	finger	N	9	22762	20	886977
368	a	D	finite	J	5	22766	4	886993
369	a	D	fire	N	20	22751	128	886869
370	a	D	firm	J	12	22759	29	886968
371	a	D	firm	N	5	22766	54	886943
372	a	D	first	J	9	22762	848	886149
373	a	D	fit	N	6	22765	12	886985
374	a	D	fixed	G	10	22761	38	886959
375	a	D	fixed	J	5	22766	7	886990
376	a	D	flat	J	11	22760	32	886965
377	a	D	flight	N	5	22766	33	886964
378	a	D	flood	N	6	22765	10	886987
379	a	D	flow	N	5	22766	51	886946
380	a	D	fool	N	21	22750	9	886988
381	a	D	football	N	6	22765	24	886973
382	a	D	force	N	8	22763	161	886836
383	a	D	foreign	J	13	22758	113	886884
384	a	D	form	N	28	22743	270	886727
385	a	D	formal	J	8	22763	37	886960
386	a	D	former	J	21	22750	81	886916
387	a	D	foundation	N	5	22766	31	886966
388	a	D	fraction	N	8	22763	13	886984
389	a	D	free	J	12	22759	183	886814
390	a	D	fresh	J	25	22746	45	886952
391	a	D	friend	N	34	22737	63	886934
392	a	D	friendly	J	10	22761	46	886951
393	a	D	full-time	J	13	22758	10	886987
394	a	D	full	J	22	22749	176	886821
395	a	D	function	N	17	22754	85	886912
396	a	D	funny	J	8	22763	29	886968
397	a	D	further	J	17	22754	77	886920
398	a	D	future	J	5	22766	71	886926
399	a	D	future	N	7	22764	123	886874
400	a	D	game	N	12	22759	112	886885
401	a	D	gas	N	6	22765	84	886913
402	a	D	general	J	39	22732	233	886764
403	a	D	generation	N	9	22762	43	886954
404	a	D	generous	J	5	22766	15	886982
405	a	D	gentle	J	6	22765	15	886982
406	a	D	gentleman	N	7	22764	20	886977
407	a	D	genuine	J	10	22761	22	886975
408	a	D	gesture	N	6	22765	24	886973
409	a	D	gigantic	J	5	22766	3	886994
410	a	D	girl	N	34	22737	184	886813
411	a	D	given	G	37	22734	318	886679
412	a	D	glance	N	9	22762	17	886980
413	a	D	glass	N	17	22754	64	886933
414	a	D	glimpse	N	9	22762	7	886990
415	a	D	good	J	230	22541	449	886548
416	a	D	government	N	7	22764	294	886703
417	a	D	graduate	N	9	22762	10	886987
418	a	D	grave	J	5	22766	12	886985
419	a	D	gray	J	5	22766	48	886949
420	a	D	great	J	154	22617	423	886574
421	a	D	greater	J	16	22755	158	886839
422	a	D	green	J	5	22766	61	886936
423	a	D	group	N	79	22692	287	886710
424	a	D	growing	G	15	22756	73	886924
425	a	D	guest	N	5	22766	27	886970
426	a	D	guide	N	5	22766	13	886984
427	a	D	gun	N	17	22754	63	886934
428	a	D	guy	N	9	22762	36	886961
429	a	D	half	D	13	22758	72	886925
430	a	D	half	N	22	22749	87	886910
431	a	D	hand	N	20	22751	289	886708
432	a	D	handful	N	9	22762	4	886993
433	a	D	handsome	J	6	22765	26	886971
434	a	D	hard	J	21	22750	104	886893
435	a	D	head	N	7	22764	194	886803
436	a	D	heap	N	5	22766	9	886988
437	a	D	hearing	N	7	22764	39	886958
438	a	D	heavy	J	15	22756	65	886932
439	a	D	hell	N	6	22765	63	886934
440	a	D	high	J	52	22719	355	886642
441	a	D	higher	J	15	22756	124	886873
442	a	D	highly	R	8	22763	77	886920
443	a	D	hill	N	5	22766	33	886964
444	a	D	historian	N	5	22766	28	886969
445	a	D	hole	N	6	22765	42	886955
446	a	D	home	N	16	22755	433	886564
447	a	D	horse	N	16	22755	68	886929
448	a	D	hospital	N	9	22762	65	886932
449	a	D	host	N	8	22763	21	886976
450	a	D	hot	J	11	22760	94	886903
451	a	D	hotel	N	5	22766	63	886934
452	a	D	house	N	18	22753	330	886667
453	a	D	huge	J	16	22755	32	886965
454	a	D	human	N	11	22760	148	886849
455	a	D	hundred	C	54	22717	117	886880
456	a	D	hurry	N	11	22760	7	886990
457	a	D	husband	N	6	22765	57	886940
458	a	D	jew	Y	5	22766	20	886977
459	a	D	job	N	39	22732	166	886831
460	a	D	joint	J	7	22764	12	886985
461	a	D	junior	N	7	22764	8	886989
462	a	D	jury	N	10	22761	52	886945
463	a	D	kick	N	5	22766	6	886991
464	a	D	kid	N	8	22763	55	886942
465	a	D	killer	N	5	22766	15	886982
466	a	D	kind	N	58	22713	237	886760
467	a	D	knee	N	7	22764	15	886982
468	a	D	knife	N	11	22760	62	886935
469	a	D	knowledge	N	7	22764	114	886883
470	a	D	labor	N	12	22759	86	886911
471	a	D	lack	N	9	22762	69	886928
472	a	D	lady	N	17	22754	35	886962
473	a	D	language	N	10	22761	84	886913
474	a	D	large	J	115	22656	224	886773
475	a	D	larger	J	26	22745	91	886906
476	a	D	last	J	6	22765	553	886444
477	a	D	law	N	11	22760	260	886737
478	a	D	lawyer	N	18	22753	20	886977
479	a	D	lead	N	7	22764	39	886958
480	a	D	leader	N	9	22762	62	886935
481	a	D	leading	G	7	22764	44	886953
482	a	D	learned	J	6	22765	6	886991
483	a	D	legal	J	9	22762	55	886942
484	a	D	length	N	5	22766	103	886894
485	a	D	less	R	5	22766	230	886767
486	a	D	lesser	J	5	22766	13	886984
487	a	D	lesson	N	6	22765	23	886974
488	a	D	letter	N	45	22726	79	886918
489	a	D	level	N	12	22759	191	886806
490	a	D	liberal	J	8	22763	31	886966
491	a	D	liberal	N	5	22766	9	886988
492	a	D	license	N	8	22763	23	886974
493	a	D	life	N	22	22749	545	886452
494	a	D	light	J	8	22763	38	886959
495	a	D	light	N	6	22765	234	886763
496	a	D	limit	N	5	22766	26	886971
497	a	D	limited	G	8	22763	55	886942
498	a	D	limited	J	7	22764	21	886976
499	a	D	line	N	30	22741	238	886759
500	a	D	linear	J	11	22760	9	886988
501	a	D	linguist	N	5	22766	8	886989
502	a	D	lion	N	5	22766	10	886987
503	a	D	list	N	21	22750	100	886897
504	a	D	literary	J	13	22758	58	886939
505	a	D	little	J	185	22586	397	886600
506	a	D	little	R	116	22655	51	886946
507	a	D	living	G	9	22762	96	886901
508	a	D	living	N	5	22766	54	886943
509	a	D	local	J	20	22751	231	886766
510	a	D	logical	J	7	22764	25	886972
511	a	D	lone	J	5	22766	3	886994
512	a	D	lonely	J	6	22765	17	886980
513	a	D	long-term	J	9	22762	20	886977
514	a	D	long	J	141	22630	292	886705
515	a	D	look	N	23	22748	73	886924
516	a	D	loose	J	7	22764	23	886974
517	a	D	loss	N	7	22764	73	886924
518	a	D	lot	N	86	22685	28	886969
519	a	D	low	J	21	22750	118	886879
520	a	D	lower	J	8	22763	101	886896
521	a	D	lump	N	6	22765	1	886996
522	a	D	luncheon	N	8	22763	13	886984
523	a	D	luxury	N	6	22765	13	886984
524	a	D	machine	N	5	22766	83	886914
525	a	D	magnificent	J	8	22763	17	886980
526	a	D	mail	N	5	22766	30	886967
527	a	D	major	J	49	22722	157	886840
528	a	D	majority	N	9	22762	47	886950
529	a	D	man	N	289	22482	954	886043
530	a	D	manner	N	18	22753	99	886898
531	a	D	marked	J	5	22766	9	886988
532	a	D	market	N	12	22759	128	886869
533	a	D	marriage	N	11	22760	62	886935
534	a	D	martyr	N	7	22764	1	886996
535	a	D	mass	N	9	22762	67	886930
536	a	D	massive	J	9	22762	20	886977
537	a	D	master	N	9	22762	41	886956
538	a	D	match	N	11	22760	3	886994
539	a	D	material	N	8	22763	149	886848
540	a	D	mathematical	J	5	22766	16	886981
541	a	D	matter	N	79	22692	210	886787
542	a	D	maximum	J	5	22766	48	886949
543	a	D	maximum	N	10	22761	8	886989
544	a	D	meal	N	9	22762	20	886977
545	a	D	meaningful	J	5	22766	18	886979
546	a	D	means	N	30	22741	154	886843
547	a	D	measure	N	12	22759	48	886949
548	a	D	mechanical	J	5	22766	27	886970
549	a	D	medical	J	8	22763	99	886898
550	a	D	medieval	J	5	22766	9	886988
551	a	D	meeting	N	17	22754	101	886896
552	a	D	member	N	57	22714	78	886919
553	a	D	mental	J	8	22763	27	886970
554	a	D	mere	J	14	22757	32	886965
555	a	D	mess	N	5	22766	15	886982
556	a	D	message	N	9	22762	47	886950
557	a	D	messenger	N	6	22765	3	886994
558	a	D	metal	N	8	22763	49	886948
559	a	D	method	N	12	22759	121	886876
560	a	D	mexican	Y	5	22766	15	886982
561	a	D	mile	N	24	22747	18	886979
562	a	D	military	J	10	22761	157	886840
563	a	D	million	C	14	22757	190	886807
564	a	D	minimal	J	5	22766	21	886976
565	a	D	minimum	J	9	22762	23	886974
566	a	D	minimum	N	23	22748	8	886989
567	a	D	minister	N	7	22764	37	886960
568	a	D	minor	J	10	22761	32	886965
569	a	D	minority	N	5	22766	13	886984
570	a	D	minute	N	23	22748	21	886976
571	a	D	miracle	N	8	22763	7	886990
572	a	D	missile	N	5	22766	41	886956
573	a	D	mistake	N	14	22757	16	886981
574	a	D	mixture	N	8	22763	21	886976
575	a	D	mobile	J	5	22766	16	886981
576	a	D	model	N	7	22764	60	886937
577	a	D	moderate	J	5	22766	12	886985
578	a	D	modern	J	13	22758	136	886861
579	a	D	modest	J	8	22763	18	886979
580	a	D	moment	N	93	22678	156	886841
581	a	D	monopoly	N	7	22764	7	886990
582	a	D	month	N	49	22722	81	886916
583	a	D	monument	N	6	22765	12	886985
584	a	D	mood	N	7	22764	24	886973
585	a	D	moral	J	18	22753	96	886901
586	a	D	more	R	86	22685	1169	885828
587	a	D	most	R	23	22748	622	886375
588	a	D	mother	N	9	22762	79	886918
589	a	D	movie	N	8	22763	19	886978
590	a	D	much	J	11	22760	323	886674
591	a	D	much	R	15	22756	500	886497
592	a	D	museum	N	7	22764	9	886988
593	a	D	musical	J	5	22766	63	886934
594	a	D	myth	N	5	22766	28	886969
595	a	D	name	N	11	22760	176	886821
596	a	D	narrow	J	11	22760	44	886953
597	a	D	nation	N	24	22747	132	886865
598	a	D	national	J	31	22740	154	886843
599	a	D	native	N	6	22765	0	886997
600	a	D	natural	J	17	22754	92	886905
601	a	D	nearby	J	5	22766	19	886978
602	a	D	neat	J	6	22765	10	886987
603	a	D	necessary	J	6	22765	213	886784
604	a	D	need	N	6	22765	142	886855
605	a	D	negative	J	8	22763	38	886959
606	a	D	negro	Y	6	22765	88	886909
607	a	D	neighbor	N	5	22766	10	886987
608	a	D	neighborhood	N	10	22761	46	886951
609	a	D	nervous	J	5	22766	14	886983
610	a	D	new	J	257	22514	726	886271
611	a	D	new	Y	18	22753	451	886546
612	a	D	news	N	6	22765	79	886918
613	a	D	newspaper	N	12	22759	45	886952
614	a	D	nice	J	26	22745	40	886957
615	a	D	night	N	19	22752	388	886609
616	a	D	noble	J	6	22765	14	886983
617	a	D	nominal	J	6	22765	4	886993
618	a	D	normal	J	14	22757	103	886894
619	a	D	note	N	18	22753	52	886945
620	a	D	novel	N	7	22764	40	886957
621	a	D	nuclear	J	14	22757	92	886905
622	a	D	number	N	130	22641	332	886665
623	a	D	painful	J	5	22766	14	886983
624	a	D	painter	N	6	22765	15	886982
625	a	D	painting	N	5	22766	34	886963
626	a	D	pair	N	24	22747	25	886972
627	a	D	pale	J	7	22764	36	886961
628	a	D	paper	N	7	22764	132	886865
629	a	D	parallel	N	5	22766	4	886993
630	a	D	park	N	8	22763	37	886960
631	a	D	part-time	J	12	22759	8	886989
632	a	D	part	N	50	22721	385	886612
633	a	D	particular	J	30	22741	127	886870
634	a	D	particularly	R	7	22764	74	886923
635	a	D	partnership	N	6	22765	12	886985
636	a	D	party	N	19	22752	175	886822
637	a	D	passing	G	5	22766	39	886958
638	a	D	patch	N	6	22765	7	886990
639	a	D	path	N	6	22765	37	886960
640	a	D	patient	N	7	22764	89	886908
641	a	D	pattern	N	5	22766	103	886894
642	a	D	peace	N	6	22765	118	886879
643	a	D	peace	Y	5	22766	52	886945
644	a	D	peculiar	J	6	22765	17	886980
645	a	D	pencil	N	6	22765	26	886971
646	a	D	people	N	6	22765	769	886228
647	a	D	percentage	N	5	22766	39	886958
648	a	D	perfect	J	19	22752	34	886963
649	a	D	performance	N	6	22765	96	886901
650	a	D	period	N	29	22742	226	886771
651	a	D	permanent	J	13	22758	25	886972
652	a	D	permit	N	5	22766	4	886993
653	a	D	person	N	42	22729	128	886869
654	a	D	personal	J	23	22748	126	886871
655	a	D	phenomenon	N	8	22763	26	886971
656	a	D	physical	J	5	22766	88	886909
657	a	D	picture	N	19	22752	131	886866
658	a	D	piece	N	37	22734	84	886913
659	a	D	pile	N	7	22764	11	886986
660	a	D	pink	J	6	22765	31	886966
661	a	D	pistol	N	5	22766	17	886980
662	a	D	place	N	36	22735	405	886592
663	a	D	plan	N	20	22751	133	886864
664	a	D	plane	N	5	22766	97	886900
