author_sex	past_tense	perfect_aspect	present_tense	place_adv	time_adv	pron_1st	pron_2nd	pron_3d	it	nominal	gerund	passives	there	that_compl	wh	inf	that_subj	that_obj	wh_subj	wh_obj	because	prep	adv	downtoners	hedges	discourse_part	modal	contract	phrase_coord	type_token	word_length
A12	female	17.912	3.891	51.82	2.092	3.031	0.411	0.078	26.594	6.512	21.138	9.758	2.19	1.76	2.327	1.115	15.233	1.017	1.056	2.914	0.684	2.249	107.061	53.364	3.07	0.215	0.059	11.145	0.059	16.934	0.085	4.808
A18	male	17.987	6.658	62.334	4.174	4.82	13.863	2.161	32.769	8.994	18.732	10.708	0.547	1.665	3.23	0.348	12.67	0.497	1.118	3.155	0.969	1.292	96.296	55.055	2.211	0.497	0.522	8.82	7.677	11.13	0.114	4.662
A1A	male	15.12	7.837	55.731	1.704	3.578	8.05	0.319	13.693	9.583	29.345	10.307	1.683	3.237	4.792	0.383	13.885	1.81	1.853	1.959	0.596	0.554	112.59	48.618	1.618	0.192	0.043	11.478	0.511	11.776	0.102	5.11
A1B	male	27.328	8.098	47.846	2.106	4.667	13.019	0.962	22.153	9.824	17.922	8.117	0.999	1.907	5.139	0.454	12.511	1.507	2.56	1.689	1.053	0.69	109.475	59.994	2.342	0.436	0.236	10.277	2.252	8.879	0.119	4.593
A61	male	61.611	9.41	26.929	8.601	6.747	43.382	6.431	21.247	6.491	8.996	19.038	0.868	2.229	2.426	0.493	10.693	0.888	0.631	1.006	0.178	0.039	107.459	66.661	1.164	0.868	0.73	7.18	4.478	4.695	0.06	4.254
A62	male	45.093	3.261	22.547	1.249	2.359	6.313	0	16.06	6.625	30.143	8.152	1.005	2.047	4.44	0.763	10.129	0.867	0.937	2.081	0.139	0.312	114.433	58.934	3.885	0.486	0.104	6.694	0.139	9.123	0.082	5.198
A64	male	52.845	8.454	11.622	3.342	4.151	2.731	0.175	14.047	5.134	25.647	7.406	1.268	2.272	3.517	0.393	12.277	1.092	1.158	1.354	0.393	0.393	140.011	51.622	3.408	0.437	0.109	6.205	0.306	7.865	0.11	4.956
A66	male	51.797	6.427	3.244	3.043	4.545	0.36	0.12	11.873	6.147	31.935	7.048	1.541	2.783	2.422	0.06	11.352	0.461	0.881	1.241	0.36	0.561	130.744	51.757	3.544	0.721	0.32	3.203	0.18	8.75	0.12	5.122
A68	male	76.751	3.05	11.923	2.569	4.289	3.42	1.054	47.064	8.134	19.299	7.339	0.702	1.183	7.043	0.481	16.97	0.129	1.719	3.032	1.627	1.479	114.054	41.684	1.83	0.222	0.129	9.205	0.444	6.045	0.092	4.572
A69	male	20.875	6.804	49.324	2.224	3.831	15.039	3.633	10.812	12.727	35.716	8.632	1.035	2.929	4.889	0.44	16.537	0.573	1.828	3.325	1.85	1.629	111.618	51.768	2.532	0.396	0.44	15.701	1.189	11.12	0.104	4.796
A6B	male	25.532	5.972	41.212	2.634	4.998	6.207	0.92	19.144	5.702	27.697	12.396	0.938	1.028	3.302	0.487	9.563	0.307	1.119	3.338	2.075	0.523	120.153	46.084	2.418	0.235	0.217	6.622	1.209	8.769	0.106	4.809
A6D	male	13.932	4.608	55.729	1.664	4.717	10.056	0.896	14.664	9.526	38.414	9.069	1.938	1.463	3.51	0.567	9.599	0.658	1.298	3.383	1.408	1.572	107.454	61.233	2.925	0.585	0.256	7.259	0.878	10.934	0.105	5.08
A6F	male	28.254	12.939	33.994	1.858	2.352	1.459	0.047	14.797	4.352	43.521	10.163	1.435	2.376	4.728	0.141	12.115	0.282	1.035	1.858	0.47	0.917	125.576	37.193	2.188	0.165	0.047	4.917	0.565	8.728	0.095	5.084
A6J	female	74.33	16.375	19.031	4.309	6.336	8.875	6.615	71.092	11.181	11.461	12.136	0.466	1.933	4.845	0.582	14.885	0.629	1.537	1.491	0.466	1.095	81.318	70.743	2.399	0.862	1.002	13.487	5.8	10.808	0.102	4.359
A6M	male	25.174	10.651	29.959	2.449	3.702	0.427	0	10.651	5.069	38.701	8.857	1.879	1.481	2.705	0.057	13.84	0.114	0.484	4.3	0.854	0.484	141.82	48.185	3.19	0.627	0.085	9.312	0.028	8.458	0.113	5.086
A6N	male	78.542	8.899	22.868	5.78	6.642	15.668	9.456	57.677	10.394	7.504	11.333	0.685	2.408	2.687	0.761	18.355	0.963	1.192	0.608	0.203	0.33	90.153	66.778	1.699	0.608	0.507	12.853	14.679	8.417	0.081	4.126
A6S	male	30.282	6.319	45.819	1.382	4.349	4.462	0.159	17.961	7.882	30.689	6.614	1.903	2.469	5.504	0.702	9.739	0.34	1.857	4.417	2.355	2.627	131.478	50.666	2.174	0.476	0.068	7.565	0.045	11.46	0.065	4.928
A6T	male	41.873	7.04	54.304	7.894	5.677	37.132	4.802	17.172	12.594	7.671	11.699	0.834	2.991	3.194	0.57	14.059	3.011	1.261	0.834	0.183	0.631	94.814	66.105	2.258	0.671	0.671	8.321	2.279	7.528	0.101	4.243
A6V	female	39.198	7.733	49.686	3.887	3.537	24.802	4.524	34.365	10.365	16.884	8.925	1.172	2.674	3.044	0.391	15.198	0.103	0.781	3.126	0.72	2.674	102.026	56.041	2.797	0.967	0.617	10.796	5.512	10.303	0.082	4.456
A6W	male	26.885	5.906	46.63	4.114	3.291	4.642	3.261	7.698	11.107	13.839	9.755	0.911	1.44	2.027	0.176	12.341	1.939	0.646	0.529	0.088	0.47	95.787	55.327	3.585	0.764	0.353	7.728	6.787	7.874	0.16	4.712
A6X	male	28.74	5.387	44.195	3.705	3.73	8.824	3.364	8.727	9.214	14.626	10.043	1.048	1.584	2.632	0.244	13.285	1.633	0.878	0.707	0.293	0.683	94.947	54.165	2.243	0.439	0.39	10.652	6.533	7.094	0.14	4.695
A6Y	male	46.22	8.172	25.123	2.997	3.784	3.995	1.544	15.043	4.722	22.126	11.018	1.695	3.36	1.574	0.424	12.622	0.726	0.908	1.574	0.333	0.151	119.317	52.727	2.785	0.666	0.061	5.539	1.756	9.716	0.144	4.931
A73	female	72.619	12.781	30.109	2.925	4.427	23.599	14.524	46.436	10.798	5.529	9.496	0.581	2.204	2.244	0.821	11.158	0.801	0.341	0.721	0.321	0.901	73.14	59.397	1.943	0.781	1.342	11.099	20.714	5.249	0.092	4.189
A74	male	20.19	3.831	102.982	2.921	5.122	76.612	6.37	36.147	23.28	1.757	13.989	0.275	4.741	0.614	1.82	13.904	0.233	0.063	0.317	0.063	0	66.03	77.078	0.931	2.624	0.381	8.084	50.793	7.28	0.038	3.553
A77	male	22.542	9.198	49.186	5.664	7.522	8.36	0.906	18.374	7.091	17.853	13.276	1.36	1.518	2.039	0.227	14.092	0.657	0.521	1.677	0.249	0.317	109.88	48.551	1.994	0.453	0.34	6.956	3.648	7.137	0.109	4.658
A79	male	30.2	5.578	27.693	4.546	3.71	0.098	0	4.349	7.101	26.219	11.746	2.679	1.007	2.58	0.049	14.645	1.229	0.59	4.448	0.295	2.187	121.584	41.257	3.096	0.614	0.098	9.068	0.025	8.895	0.111	5.042
A7A	male	68.07	5.748	31.484	3.716	3.878	18.835	12.811	38.778	10.456	7.34	13.226	0.346	1.662	3.693	0.392	7.871	0.092	0.392	1.27	0.346	0.554	71.348	57.845	2.17	0.508	1.8	9.187	13.711	3.947	0.086	4.271
A7C	male	47.793	9.018	31.831	2.563	3.635	10.929	2.587	34.907	11.022	16.498	8.459	0.816	2.493	4.917	0.489	14.447	0.233	1.678	3.286	1.911	0.606	109.801	53.153	2.913	0.769	0.303	9.484	1.794	6.851	0.117	4.536
A7H	female	62.936	17.131	26.627	3.538	4.236	5.097	1.583	49.902	10.404	14.082	9.52	0.745	2.118	2.561	0.372	17.154	1.49	1.839	1.49	0.372	0.675	101.713	56.838	1.466	0.256	0.256	7.89	1.815	9.147	0.11	4.526
A7J	male	73.931	8.123	28.322	4.812	6.406	13.395	14.897	56.429	12.261	8.858	12.414	0.582	3.28	1.318	0.552	13.579	1.625	0.674	0.46	0.184	0.429	86.406	58.513	1.103	0.644	1.195	12.169	15.356	7.111	0.109	4.244
A7L	male	42.772	7.046	23.416	2.685	3.717	2.234	0.365	20.795	5.285	24.941	14.393	0.988	1.869	3.223	0.516	17.208	3.545	1.762	2.922	1.031	0.773	115.899	45.114	2.32	0.516	0.107	6.982	3.158	7.089	0.118	4.907
AB3	male	17.487	5.244	63.838	2.478	3.44	17.27	7.793	13.229	9.814	22.562	10.319	0.938	2.79	2.598	0.289	12.604	2.478	1.179	0.938	0.361	1.419	96.382	50.873	1.66	1.058	0.505	6.711	14.721	9.886	0.153	4.751
AB4	female	47.336	6.762	27.439	6.568	5.254	3.211	1.63	20.822	10.362	8.562	7.225	1.459	2.384	1.484	0.195	8.392	0.462	0.535	3.187	0.803	0.438	114.4	49.501	1.946	0.632	0.268	4.305	0.632	11.044	0.135	4.706
AB6	male	21.847	6.394	39.354	3.35	2.336	2.619	0.661	9.555	9.697	32.087	10.711	0.755	2.949	3.232	0.236	14.982	0.849	1.298	2.996	0.637	0.684	116.763	45.936	2.1	0.637	0.094	14.132	0.661	8.022	0.118	4.915
AB9	female	69.488	14.12	29.722	3.087	4.343	21.221	9.221	54.133	10.991	8.583	12.638	0.947	1.564	3.499	0.679	15.725	0.453	0.947	1.523	0.412	0.679	79.182	69.611	1.77	0.494	1.441	12.082	16.919	3.787	0.082	4.326
ABA	male	41.899	7.83	14.552	5.132	2.963	4.12	0.193	13.589	6.192	31.273	9.252	1.807	2.072	3.277	0.12	18.697	2.024	1.879	0.265	0.048	0.964	122.636	40.718	1.687	0.313	0.072	11.276	0.217	7.734	0.104	5.059
ABB	female	8.032	2.722	73.98	1.584	2.945	3.614	3.503	4.529	8.746	6.291	10.396	3.993	0.736	1.517	0.178	12.114	1.807	0.513	1.495	0.089	0.268	95.04	56.11	2.343	0.312	0.067	9.505	0.223	16.576	0.085	4.655
ABL	male	46.675	7.147	31.152	2.644	6.702	32.435	5.812	38.717	8.168	15.864	8.22	0.916	1.571	2.801	0.262	11.99	1.571	1.073	1.597	0.733	0.733	108.848	56.832	2.67	0.812	0.288	9.32	0.445	11.414	0.119	4.492
ABM	male	15.584	3.995	60.422	1.581	2.039	16.479	0.312	24.323	11.111	28.401	7.157	1.332	2.642	7.137	0.479	11.027	0.749	2.06	2.185	1.29	0.999	117.619	42.3	2.33	0.166	0.021	12.921	0.104	10.923	0.07	4.775
ABP	male	14.918	6.461	42.757	1.189	3.634	2.333	0.628	17.61	8.322	30.89	7.784	1.66	1.548	4.083	0.045	13.886	0.067	1.211	3.365	1.324	0.628	134.102	37.104	2.849	0.112	0.404	17.901	0.179	10.857	0.068	4.581
ABR	male	73.661	11.987	11.705	2.303	5.359	0.635	0.259	35.068	8.79	8.203	11.258	1.223	2.233	3.008	0.165	13.914	1.269	1.293	1.575	0.376	0.705	107.108	67.245	4.701	0.799	0.141	7.216	0.306	6.111	0.091	4.469
ABU	male	66.268	11.484	18.042	3.029	4.583	24.995	1.896	13.88	9.298	30.79	8.797	1.475	3.74	6.453	0.29	16.514	1.027	2.16	3.134	0.579	0.421	102.168	53.889	2.186	0.764	0.026	13.248	0.184	5.61	0.1	4.747
ABV	male	25.711	6.059	67.018	1.797	3.847	38.105	7.741	20.135	12.74	25.02	8.34	1.014	2.419	6.266	0.346	13.57	1.313	2.05	3.778	0.737	1.866	104.133	48.841	1.866	0.276	0.991	12.487	1.866	8.524	0.092	4.382
ABW	female	74.928	10.487	21.439	3.936	4.547	10.732	5.329	56.74	9.754	9.094	9.656	0.684	2.371	2.078	0.391	11.832	0.269	0.416	1.809	0.856	1.345	84.389	62.191	2.176	0.391	0.929	8.532	10.879	5.989	0.125	4.429
ABX	female	95.103	12.863	24.749	4.295	5.124	12.247	9.993	67.229	18.2	0.999	14.989	0.106	3.381	1.489	0.617	8.887	0.978	0.723	0.425	0.106	0.383	68.484	63.253	1.191	0.85	0.744	12.013	33.317	2.977	0.044	3.834
AC2	male	56.222	12.211	32.29	3.619	5.37	16.25	12.001	39.108	9.059	18.562	10.39	1.074	1.051	3.525	0.584	17.208	0.117	1.518	2.778	0.42	0.397	85.407	57.623	1.214	0.49	1.868	11.954	15.363	6.024	0.093	4.49
AC3	female	85.65	15.679	16.827	2.984	4.362	10.009	7.828	83.836	11.777	5.165	11.455	0.459	2.181	3.466	0.597	17.745	0.574	0.712	1.125	0.023	0.574	81.747	69.03	2.801	0.735	0.803	16.46	16.299	4.522	0.088	4.159
AC4	female	72.835	9.855	34.071	4.458	4.458	15.323	15.51	56.621	12.53	4.341	15.98	0.211	2.558	3.215	0.915	14.431	1.15	0.587	0.727	0.211	1.525	67.673	71.615	2.675	1.103	1.291	11.592	18.913	5.397	0.067	4.118
AC5	female	71.522	8.946	30.588	5.49	5.67	19.112	14.842	44.617	12.063	3.321	11.612	0.362	2.417	1.695	1.175	16.604	0.384	0.407	1.152	0.633	0.994	73.081	73.262	1.536	0.881	1.175	11.521	28.622	4.541	0.075	4.035
AC6	male	66.294	9.558	21.14	4.158	5.595	58.848	6.357	24.71	8.099	11.147	13.019	0.631	2.068	2.025	0.414	13.498	1.851	0.457	0.871	0.479	0.893	101.563	59.74	2.395	0.653	0.675	8.709	1.219	8.425	0.118	4.339
AC7	female	72.199	15.256	20.134	4.388	5.989	44.321	5.55	42.798	12.184	6.144	12.571	0.491	4.208	3.95	0.774	15.488	0.181	0.8	1.42	0.568	1.497	83.402	68.405	2.788	1.033	0.645	15.643	3.691	4.595	0.09	4.133
ACA	male	52.396	10.026	22.464	2.058	4.352	10.585	1.441	25.051	7.174	20.7	8.321	1.853	2.499	4.44	0.47	13.908	1.117	1.529	1.235	0.382	0.764	118.759	44.663	2.47	0.588	0.147	11.556	0.441	7.527	0.143	4.719
ACB	female	72.649	11.686	32.426	4.701	6.056	19.579	16.252	62.027	12.556	4.566	16.232	0.503	2.244	3.077	0.697	12.866	0.484	0.522	0.445	0.077	0.503	74.177	73.694	2.206	0.6	1.49	12.421	24.764	4.16	0.069	4.092
ACE	male	46.862	6.648	42.961	4.12	5.34	24.368	17.001	31.3	10.397	12.773	9.525	0.436	2.049	1.526	0.632	14.102	0.567	0.48	0.894	0.218	0.676	77.988	66.283	2.332	0.305	1.024	11.574	25.131	4.446	0.1	4.328
ACG	male	14.932	8.029	65.216	3.092	5.632	14.596	3.547	34.801	11.241	14.932	6.591	0.959	2.421	3.355	0.479	13.973	0.935	1.031	1.007	0.575	0.336	112.935	51.794	2.756	0.527	0.839	13.469	0.312	5.728	0.082	4.283
ACH	male	52.599	8.381	13.029	1.541	3.203	2.553	0.241	10.067	9.296	37.209	7.442	1.879	3.902	6.117	0.048	15.895	0.145	1.734	4.166	1.156	0.434	121.333	40.87	2.24	0.65	0.048	7.562	0.361	8.526	0.096	5.044
ACJ	male	12.917	4.598	49.966	2.141	2.165	1.046	0	6.982	8.806	35.978	11.968	1.241	5.327	7.347	0.243	19.169	0.122	1.776	3.795	0.511	1.046	115.379	42.522	2.384	0.17	0.024	19.291	0.268	6.617	0.074	4.887
ACK	female	55.016	7.611	48.632	2.701	5.094	44.622	16.552	31.385	13.217	2.864	17.206	0.102	1.719	1.268	0.757	13.237	0.389	0.225	0.348	0.143	0.389	72.488	55.445	0.9	0.164	1.555	11.908	30.239	6.711	0.097	4.051
ACS	male	62.571	7.231	14.149	2.754	4.097	6	2.709	25.745	10.388	19.23	9.649	1.209	2.172	3.067	0.358	14.731	0.806	1.254	2.664	0.963	0.582	106.427	48.714	2.686	0.582	0.269	8.216	1.41	7.858	0.145	4.784
ACV	male	78.303	8.62	20.562	3.816	4.206	7.607	6.698	50.393	12.748	7.036	17.473	0.442	2.596	2.44	0.701	13.397	0.312	0.571	0.883	0.363	0.286	76.745	56.235	1.714	0.701	1.636	10.931	11.475	3.868	0.099	4.275
ACW	female	76.665	8.888	10.407	8.056	4.645	3.096	3.785	74.629	7.082	6.308	13.819	0.544	1.061	2.208	0.717	14.937	2.695	1.089	0.917	0.459	1.147	109.837	54.044	2.294	0.745	0.803	8.773	2.867	8.257	0.112	4.365
AD1	female	54.981	12.264	35.548	3.891	5.668	25.338	14.219	46.429	12.284	6.873	9.124	0.394	2.35	2.429	0.829	14.95	0.276	0.336	0.454	0.158	0.987	68.41	65.605	2.014	0.415	1.896	17.854	6.991	5.885	0.076	4.184
AD2	male	49.396	9.966	22.99	2.421	4.053	4.817	0.51	21.996	7.137	29.694	9.099	1.809	2.549	5.557	0.229	16.822	0.433	2.065	4.741	0.943	1.835	113.855	39.022	2.319	0.484	0.178	9.813	0.535	7.519	0.099	4.988
AD7	male	64.911	10.464	11.005	5.34	5.881	2.778	0.469	34.602	4.294	8.696	11.438	1.226	1.119	2.417	0.036	12.484	0.289	0.686	1.588	0.686	0.072	113.513	54.808	2.454	0.397	0.649	4.799	1.227	4.005	0.124	4.499
AD9	female	62.525	11.127	46.998	4.001	5.275	24.265	18.931	41.823	12.103	10.451	11.964	0.498	1.692	1.414	0.737	13.775	0.677	0.458	0.816	0.239	0.617	69.373	64.874	1.891	0.776	1.732	13.734	21.061	4.618	0.088	4.344
ADA	male	47.487	10.106	32.526	4.634	5.186	29.061	7.194	39.057	8.01	12.07	13.813	0.618	1.721	4.038	0.508	13.637	0.861	0.971	2.008	0.662	0.441	97.202	65.934	2.427	0.993	0.309	12.578	2.78	8.319	0.11	4.351
ADB	male	36.914	9.153	34.55	2.238	4.225	4.677	2.313	22.707	8.097	22.908	7.669	1.181	2.238	2.842	0.352	13.176	0.352	1.458	3.696	0.78	1.257	113.81	44.659	3.043	0.654	0.302	7.191	2.942	7.167	0.134	4.874
ADC	male	46.8	5.893	13.503	2.661	4.551	2.039	0.298	22.231	5.322	32.252	7.659	1.442	1.343	3.407	0.249	13.925	0.274	1.044	2.959	0.945	0.671	133.088	40.036	1.989	0.398	0.224	7.56	0.174	9.251	0.123	4.965
ADD	male	43.67	9.647	11.118	3.353	5.905	2.617	0.368	13.389	5.775	32.444	10.447	1.968	1.384	5.256	0.216	10.923	0.087	1.947	2.098	0.93	0.26	134.038	54.29	4.434	0.865	0.281	5.905	1.125	7.808	0.098	4.944
ADE	female	21.622	12.934	66.368	2.58	4.769	17.931	2.417	32.302	14.632	15.351	12.803	1.894	3.201	7.839	0.817	24.3	2.613	2.548	3.821	0.392	2.352	95.045	68.361	1.208	1.241	0.163	20.479	3.331	8.884	0.083	4.407
ADF	female	22.365	5.294	53.496	2.38	2.841	12.19	0.826	24.963	15.031	16.415	12.166	1.967	1.627	4.006	0.461	20.665	2.914	1.336	1.578	0.243	1.068	89.653	68.405	2.453	0.243	0.024	18.431	2.283	13.016	0.082	4.512
ADG	female	35.81	7.275	74.139	2.442	3.599	67.635	11.26	28.278	13.599	6.401	13.676	0.592	1.697	5.604	1.08	17.686	0.566	1.414	1.285	0.36	2.622	77.069	60.026	1.954	0.668	0.72	11.645	23.47	8.123	0.078	4.093
ADH	male	20.803	6.177	35.707	1.714	4.145	5.539	0.12	9.246	6.257	26.741	6.934	2.032	1.793	4.104	0.279	8.927	0.319	1.275	3.228	0.399	0.917	138.764	48.699	2.829	0.677	0	14.865	0.12	9.405	0.11	4.739
ADL	female	69.419	9.691	14.804	11.159	3.423	9.247	3.223	28.474	11.625	13.915	9.625	1.289	1.867	4.423	0.889	15.449	1.4	1.089	0.845	0.311	0.956	96.403	58.593	2.112	1.089	0.622	9.736	3.379	5.29	0.111	4.582
ADM	male	64.082	9.487	22.079	7.46	6.296	34.909	3.816	19.32	5.52	6.555	11.363	0.69	2.199	1.725	0.668	9.336	1.143	0.496	1.1	0.129	0.108	100.026	55.544	1.552	0.172	1.035	8.56	6.447	6.986	0.117	4.407
ADP	male	46.21	8.562	44.136	1.929	6.657	31.667	13.048	22.285	12.614	13.144	8.007	1.158	2.918	3.473	0.796	12.927	1.616	1.592	1.302	0.603	1.351	96.351	61.501	1.954	0.579	0.603	11.384	3.497	5.981	0.098	4.428
ADR	female	51.979	10.84	44.036	3.901	5.794	27.029	3.014	44.363	10.536	9.041	11.377	0.561	2.43	3.201	0.584	17.498	1.262	1.051	2.056	0.304	1.682	91.109	63.472	1.495	0.421	0.444	9.625	10.816	6.845	0.099	4.343
ADS	female	70.946	13.797	29.993	2.759	5.957	19.032	8.82	67.258	13.771	8.149	12.276	0.619	2.837	3.249	1.264	20.219	0.361	0.877	1.625	0.671	0.593	81.391	65.504	3.456	0.361	0.645	18.749	0.335	7.066	0.085	4.155
ADW	male	60.942	5.36	18.748	1.961	1.802	1.46	0.958	28.874	8.097	33.413	7.618	0.821	1.072	4.812	0.456	17.402	0.046	1.346	4.288	0.844	1.688	110.822	42.24	1.939	0.296	0.068	8.941	0.547	12.499	0.099	4.974
ADX	male	7.871	2.238	56.96	3.118	1.685	4.175	0.151	6.564	8.123	28.568	10.336	1.207	0.428	1.987	0.151	10.135	2.892	0.679	0.528	0.126	0.277	111.027	34.779	1.182	0.05	0.05	14.711	0.251	13.529	0.121	4.827
ADY	male	75.756	12.142	25.519	5.334	4.466	45.25	11.058	29.183	11.318	6.613	14.765	0.455	1.865	1.734	0.954	12.987	0.39	0.499	0.52	0.065	0.715	77.924	68.752	2.038	0.867	0.585	13.335	21.812	5.008	0.087	4.185
AE0	male	67.921	11.286	33.127	3.213	4.413	44.352	11.957	43.233	13.523	8.297	12.384	0.427	2.278	2.013	0.651	13.055	0.142	0.264	0.752	0.285	0.712	76.157	60.742	2.44	1.2	1.546	12.894	16.695	5.003	0.099	4.286
AE4	female	52.696	7.42	12.014	2.968	4.358	1.625	0.259	31.142	8.386	20.282	7.609	1.319	2.356	3.086	0.306	13.168	0.024	1.72	3.274	0.966	0.824	124.402	54.298	2.968	0.518	0.306	7.656	0.212	9.917	0.109	4.749
AE6	male	59.656	7.715	12.055	2.135	3.628	3.697	0.482	20.873	6.843	25.35	6.774	1.056	2.755	4.546	0.184	11.068	0.436	0.574	3.192	0.689	0.964	114.834	40.827	2.572	0.321	0.161	7.073	0.161	8.22	0.111	4.987
AE7	male	10.034	3.85	67.855	2.117	2.984	11.333	1.396	8.181	10.587	26.853	9.36	1.444	4.981	7.411	1.011	13.595	1.516	1.251	2.575	0.602	2.19	110.71	48.052	3.128	0.626	0.192	17.181	0.048	4.668	0.077	4.732
AE8	male	50.538	8.793	28.467	4.241	4.397	15.965	1.776	16.743	9.815	17.72	6.972	1.133	2.043	2.931	0.333	11.635	0.222	0.777	3.864	0.755	0.799	117.975	49.983	2.176	0.533	0.377	7.595	0.533	9.593	0.136	4.72
AE9	male	48.229	6.539	9.459	1.658	3.27	0.631	0.187	23.028	2.522	19.291	7.567	2.266	1.098	3.527	0.093	17.727	0.023	0.911	1.962	0.42	0.42	149.24	27.372	1.308	0.257	0.047	3.9	0.257	13.99	0.09	4.76
AEA	female	65.354	13.11	23.806	3.62	3.392	16.828	6.098	50.254	11.186	11.708	8.414	0.75	1.533	4.109	0.652	16.599	2.022	1.5	0.457	0.196	0.62	93.367	47.58	1.989	0.424	0.522	14.251	7.338	6.653	0.134	4.477
AEB	female	71.511	6.822	38.725	3.926	4.491	22.381	17.694	50.063	14.602	5.104	12.246	0.294	2.037	1.693	0.54	13.816	0.294	0.319	0.614	0.344	0.589	68.492	70.75	1.767	1.055	1.767	11.877	23.313	5.006	0.082	4.085
AL9	male	18.228	10.526	38.511	2.953	4.493	4.621	0	11.425	7.959	42.234	6.547	2.439	2.953	3.081	0	12.323	1.155	0.642	0.77	0.128	1.412	137.869	58.665	4.878	1.027	0	6.676	0	11.297	0.188	4.993
ALA	male	35.531	6.699	33.258	2.991	3.35	15.791	0.12	12.561	11.245	32.659	8.494	0.957	3.828	3.11	0.12	12.442	0.957	0.718	5.503	0.359	1.196	123.699	46.058	2.034	0.718	0.359	12.202	0	8.135	0.2	4.772
