id	passive	n_w	n_s	cat	genre	lang
H20	36	2206	79	H	miscellaneous	BrE
H21	20	2202	97	H	miscellaneous	BrE
H22	25	2187	53	H	miscellaneous	BrE
H23	25	2235	87	H	miscellaneous	BrE
H24	23	2209	50	H	miscellaneous	BrE
H25	31	2169	55	H	miscellaneous	BrE
H26	36	2233	70	H	miscellaneous	BrE
H27	26	2220	90	H	miscellaneous	BrE
H28	23	2207	74	H	miscellaneous	BrE
H29	52	2215	92	H	miscellaneous	BrE
H30	26	2256	94	H	miscellaneous	BrE
J01	35	2132	76	J	learned	BrE
J02	28	2251	80	J	learned	BrE
J03	33	2274	84	J	learned	BrE
J04	57	2214	97	J	learned	BrE
J05	34	2213	49	J	learned	BrE
J06	36	2209	90	J	learned	BrE
J07	44	2254	81	J	learned	BrE
J08	53	2189	81	J	learned	BrE
J09	31	2267	62	J	learned	BrE
J10	49	2199	91	J	learned	BrE
J11	25	2299	73	J	learned	BrE
J12	44	2191	71	J	learned	BrE
J13	55	2220	89	J	learned	BrE
J14	43	2231	85	J	learned	BrE
J15	38	2295	59	J	learned	BrE
J16	33	2173	68	J	learned	BrE
J17	53	2279	116	J	learned	BrE
J18	26	2223	49	J	learned	BrE
J19	29	2274	82	J	learned	BrE
J20	21	2128	57	J	learned	BrE
J21	23	2309	40	J	learned	BrE
J22	20	2263	88	J	learned	BrE
J23	29	2236	71	J	learned	BrE
J24	40	2290	83	J	learned	BrE
J25	32	2214	52	J	learned	BrE
J26	24	2268	105	J	learned	BrE
J27	25	2236	75	J	learned	BrE
J28	29	2228	81	J	learned	BrE
J29	27	2316	60	J	learned	BrE
J30	19	2172	66	J	learned	BrE
J31	29	2217	57	J	learned	BrE
J32	24	2192	56	J	learned	BrE
J33	31	2248	73	J	learned	BrE
J34	31	2427	58	J	learned	BrE
J35	30	2331	59	J	learned	BrE
J36	30	2222	71	J	learned	BrE
J37	22	2350	76	J	learned	BrE
J38	51	2192	71	J	learned	BrE
J39	16	2234	60	J	learned	BrE
J40	34	2206	89	J	learned	BrE
J41	30	2222	81	J	learned	BrE
J42	25	2241	70	J	learned	BrE
J43	22	2195	54	J	learned	BrE
J44	28	2267	78	J	learned	BrE
J45	30	2265	71	J	learned	BrE
J46	20	2206	62	J	learned	BrE
J47	26	2242	75	J	learned	BrE
J48	25	2254	47	J	learned	BrE
J49	22	2192	57	J	learned	BrE
J50	25	2263	67	J	learned	BrE
J51	21	2232	52	J	learned	BrE
J52	26	2253	77	J	learned	BrE
J53	21	2319	55	J	learned	BrE
J54	21	2276	67	J	learned	BrE
J55	22	2218	80	J	learned	BrE
J56	17	2282	51	J	learned	BrE
J57	25	2240	79	J	learned	BrE
J58	24	2275	60	J	learned	BrE
J59	24	2309	81	J	learned	BrE
J60	21	2322	69	J	learned	BrE
J61	23	2284	68	J	learned	BrE
J62	25	2326	46	J	learned	BrE
J63	24	2240	51	J	learned	BrE
J64	29	2252	69	J	learned	BrE
J65	25	2283	70	J	learned	BrE
J66	22	2270	65	J	learned	BrE
J67	41	2290	105	J	learned	BrE
J68	13	2246	56	J	learned	BrE
J69	24	2309	84	J	learned	BrE
J70	51	2227	85	J	learned	BrE
J71	49	2267	89	J	learned	BrE
J72	40	2275	71	J	learned	BrE
J73	59	2251	79	J	learned	BrE
J74	34	2281	57	J	learned	BrE
J75	39	2200	76	J	learned	BrE
J76	26	2234	67	J	learned	BrE
J77	35	2228	58	J	learned	BrE
J78	47	2183	75	J	learned	BrE
J79	35	2209	72	J	learned	BrE
J80	19	2230	68	J	learned	BrE
K01	9	2306	64	K	general fiction	BrE
K02	19	2420	119	K	general fiction	BrE
K03	13	2441	121	K	general fiction	BrE
K04	16	2442	128	K	general fiction	BrE
K05	15	2389	176	K	general fiction	BrE
K06	8	2264	116	K	general fiction	BrE
K07	6	2345	155	K	general fiction	BrE
K08	8	2442	130	K	general fiction	BrE
K09	10	2451	167	K	general fiction	BrE
K10	12	2461	142	K	general fiction	BrE
K11	6	2481	177	K	general fiction	BrE
K12	16	2302	91	K	general fiction	BrE
K13	27	2396	125	K	general fiction	BrE
K14	19	2251	91	K	general fiction	BrE
K15	5	2237	125	K	general fiction	BrE
K16	13	2328	130	K	general fiction	BrE
K17	13	2507	206	K	general fiction	BrE
K18	9	2560	233	K	general fiction	BrE
K19	9	2394	107	K	general fiction	BrE
K20	21	2304	91	K	general fiction	BrE
K21	16	2282	75	K	general fiction	BrE
K22	17	2331	99	K	general fiction	BrE
K23	10	2273	81	K	general fiction	BrE
K24	20	2462	199	K	general fiction	BrE
K25	9	2490	168	K	general fiction	BrE
K26	13	2364	90	K	general fiction	BrE
K27	12	2341	153	K	general fiction	BrE
K28	12	2610	185	K	general fiction	BrE
K29	8	2224	86	K	general fiction	BrE
M01	6	2293	138	M	science fiction	BrE
M02	18	2331	85	M	science fiction	BrE
M03	10	2323	86	M	science fiction	BrE
M04	11	2586	227	M	science fiction	BrE
M05	11	2510	178	M	science fiction	BrE
M06	15	2380	167	M	science fiction	BrE
N01	13	2229	111	N	adventure	BrE
N02	8	2469	139	N	adventure	BrE
N03	15	2309	103	N	adventure	BrE
N04	11	2561	206	N	adventure	BrE
N05	17	2576	208	N	adventure	BrE
N06	8	2527	179	N	adventure	BrE
N07	8	2598	223	N	adventure	BrE
N08	12	2430	176	N	adventure	BrE
N09	16	2337	174	N	adventure	BrE
N10	17	2404	136	N	adventure	BrE
N11	14	2412	121	N	adventure	BrE
N12	6	2437	136	N	adventure	BrE
N13	7	2399	120	N	adventure	BrE
N14	7	2512	165	N	adventure	BrE
N15	11	2431	137	N	adventure	BrE
N16	5	2509	169	N	adventure	BrE
N17	10	2383	158	N	adventure	BrE
N18	18	2482	196	N	adventure	BrE
N19	12	2545	202	N	adventure	BrE
N20	5	2376	156	N	adventure	BrE
N21	7	2429	195	N	adventure	BrE
N22	7	2426	190	N	adventure	BrE
N23	18	2504	164	N	adventure	BrE
N24	6	2687	216	N	adventure	BrE
N25	7	2423	142	N	adventure	BrE
N26	9	2401	133	N	adventure	BrE
N27	9	2301	98	N	adventure	BrE
N28	8	2465	143	N	adventure	BrE
N29	13	2385	167	N	adventure	BrE
P01	13	2370	182	P	romance	BrE
P02	9	2389	131	P	romance	BrE
P03	9	2553	170	P	romance	BrE
P04	12	2369	168	P	romance	BrE
P05	14	2482	146	P	romance	BrE
P06	13	2461	163	P	romance	BrE
P07	14	2317	132	P	romance	BrE
P08	14	2423	170	P	romance	BrE
P09	10	2452	167	P	romance	BrE
P10	14	2493	194	P	romance	BrE
P11	13	2258	87	P	romance	BrE
P12	15	2401	137	P	romance	BrE
P13	7	2528	206	P	romance	BrE
P14	8	2430	145	P	romance	BrE
P15	5	2384	140	P	romance	BrE
P16	11	2426	155	P	romance	BrE
P17	13	2539	154	P	romance	BrE
P18	15	2333	100	P	romance	BrE
P19	19	2352	116	P	romance	BrE
P20	9	2451	174	P	romance	BrE
P21	12	2469	146	P	romance	BrE
P22	7	2389	105	P	romance	BrE
P23	12	2417	127	P	romance	BrE
P24	11	2533	188	P	romance	BrE
P25	10	2599	184	P	romance	BrE
P26	9	2564	249	P	romance	BrE
P27	15	2436	146	P	romance	BrE
P28	6	2420	144	P	romance	BrE
P29	14	2407	175	P	romance	BrE
