id	split.inf.S	adv.inf.S	superlative.S	past.S	wh.question.S
A85	0	3	9	132	0
A86	0	0	0	2	0
A87	0	1	11	242	3
A88	0	0	15	362	2
A89	0	1	23	270	4
A8A	0	0	0	4	0
A8B	0	2	2	44	0
A8C	0	1	10	256	2
A8D	0	0	10	136	0
A8E	0	0	6	32	0
A8F	0	3	21	352	2
A8G	0	0	7	57	0
A8H	0	0	15	180	0
A8J	0	0	9	208	0
A8K	0	0	34	534	1
A8L	0	0	1	16	0
A8M	0	2	3	78	0
A8N	0	5	11	326	1
A8P	0	0	5	45	0
A8R	0	1	13	49	0
A8S	0	0	3	15	0
A8T	0	0	0	5	1
A8U	0	1	12	138	0
A8V	0	0	0	5	0
A8W	0	3	13	196	1
A8X	1	4	22	580	2
A8Y	0	2	2	156	0
A90	0	1	16	324	0
A91	0	0	1	116	2
A92	1	1	9	65	0
A93	0	0	1	56	1
A94	0	1	18	121	0
A95	1	2	11	229	0
A96	0	4	42	477	0
A97	0	1	2	11	0
A98	1	2	3	135	2
A99	0	0	12	193	1
A9A	0	0	7	36	2
A9B	0	0	0	2	0
A9C	0	1	5	73	0
A9D	0	3	41	273	0
A9E	1	4	25	401	0
A9F	2	1	14	475	1
A9G	0	0	0	2	0
A9H	0	2	30	484	2
A9J	0	1	3	35	1
A9K	0	0	4	10	0
A9L	0	1	6	35	0
A9M	1	3	8	256	0
A9N	0	1	11	239	0
A9P	0	0	2	18	0
A9R	0	1	12	378	0
A9S	0	0	2	14	0
A9T	0	2	8	153	4
A9U	0	1	14	144	0
A9V	1	2	4	146	1
A9W	3	4	15	487	1
A9X	0	0	1	13	0
A9Y	0	0	0	16	0
AA0	0	1	15	230	0
AA1	0	3	13	343	4
AA2	0	0	4	119	0
AA3	0	2	6	217	0
AA4	1	0	5	191	0
AA5	0	8	11	501	3
AA6	0	0	0	17	1
AA7	0	1	4	239	2
AA8	0	1	25	398	2
AA9	2	4	22	344	2
AAA	0	0	4	146	0
AAB	1	1	12	279	0
AAC	1	0	23	393	0
AAD	0	0	4	14	0
AAE	0	2	16	208	0
AAF	0	5	14	347	5
AAG	0	1	4	71	2
AAH	0	0	6	113	0
AAJ	1	1	12	91	0
AAK	1	1	11	218	1
AAL	1	3	16	590	1
AAM	0	0	4	19	0
AAN	0	2	11	166	0
AAP	1	2	9	126	1
AAR	0	0	5	29	0
AAS	1	3	21	197	0
AAT	0	0	8	141	1
AAU	0	0	12	204	1
AAV	0	3	26	250	7
AAW	0	0	21	293	1
AAX	0	1	9	123	0
AAY	0	1	25	48	0
AB3	2	5	35	442	9
AB4	0	3	76	1018	1
AB5	4	5	20	1506	1
AB6	0	4	50	544	3
AB9	0	11	21	1637	9
ABA	1	5	48	964	0
ABB	3	9	98	169	1
ABC	5	10	64	544	0
ABD	0	6	102	808	5
ABE	0	5	86	873	8
ABF	0	10	93	945	15
ABG	0	8	82	1023	3
ABH	0	11	105	898	9
ABJ	0	18	126	1317	6
ABK	0	7	71	880	5
ABL	0	7	33	901	5
ABM	0	12	18	468	7
ABP	0	4	25	368	0
ABR	0	14	71	1186	2
ABS	0	12	72	1228	13
ABU	0	5	62	1407	1
ABV	0	2	20	662	27
ABW	0	2	44	1763	8
ABX	0	0	7	3310	17
AC0	0	0	4	107	1
AC2	0	7	27	1519	13
AC3	0	6	23	2241	7
AC4	0	4	15	1925	24
AC5	0	2	16	1970	20
AC6	0	10	27	1523	21
AC7	0	6	20	1313	13
AC9	0	1	40	441	0
ACA	0	5	29	913	2
ACB	0	5	5	2391	14
ACE	0	6	25	1354	19
ACG	0	7	31	387	5
ACH	6	4	39	1142	5
ACJ	0	11	39	274	11
ACK	0	3	9	1682	25
ACL	0	10	31	506	5
ACM	2	2	22	558	7
ACN	2	6	64	724	8
ACP	3	6	58	680	9
ACR	2	5	90	754	9
ACS	0	6	45	1518	4
ACV	0	1	18	2073	23
ACW	0	9	38	1468	4
ACX	2	5	76	266	2
ACY	1	1	32	131	1
AD0	3	7	22	83	10
AD1	0	11	17	1784	18
AD2	1	6	13	954	1
AD7	0	7	61	786	1
AD9	2	6	20	2060	26
ADA	0	2	51	1325	23
ADB	0	5	58	833	2
ADC	0	7	36	1097	1
ADD	0	7	46	989	1
ADE	0	6	20	333	9
ADF	11	4	60	442	4
ADG	1	3	17	623	14
ADH	0	4	32	311	2
ADK	0	8	51	563	5
ADL	1	11	36	1418	1
ADM	1	4	21	1777	6
ADP	0	3	58	1119	13
ADR	3	6	37	1201	5
ADS	0	10	32	1191	15
ADW	0	8	15	1149	5
ADX	1	5	31	210	3
ADY	0	7	20	2091	6
AE0	0	4	10	2124	18
AE4	0	7	55	1097	0
AE6	0	4	59	1318	0
AE7	0	6	44	268	28
AE8	0	11	39	1291	2
AE9	0	7	15	1081	1
AEA	0	5	13	1122	19
AEB	0	5	28	1956	9
AH9	0	0	0	9	0
AHA	0	1	45	516	3
AHB	0	1	23	262	1
AHC	0	3	73	654	2
AHD	0	0	8	75	0
AHE	0	0	1	22	0
AHF	0	3	39	655	1
AHG	0	5	43	560	10
AHH	0	0	0	0	0
AHJ	0	2	33	284	0
AHK	0	3	60	900	0
AHL	0	0	6	39	1
AHM	0	0	2	75	0
AHN	0	5	63	819	4
AHP	0	0	6	61	0
AHR	0	1	13	145	4
AHS	0	0	1	4	0
AHT	0	0	18	221	0
AHU	1	6	46	952	2
AHV	0	1	3	19	0
AHW	0	0	1	16	1
AHX	0	2	55	709	1
AHY	0	0	10	48	0
AJ0	0	1	6	135	0
AJ1	0	0	0	6	0
AJ2	0	2	20	254	1
AJ3	1	5	20	378	0
AJ4	0	0	2	23	0
AJ5	0	0	5	46	3
AJ6	0	4	33	589	1
AJ7	0	1	2	13	0
AJ8	0	2	15	320	0
AJ9	1	3	17	265	0
AJA	0	2	35	489	0
AJB	0	0	6	52	0
AJC	0	0	0	16	0
AJD	0	6	35	784	3
AJE	0	1	0	18	0
AJF	0	1	6	96	2
AJG	0	0	1	5	0
AJH	1	2	18	214	1
AJJ	1	2	20	405	0
AJK	0	0	2	37	0
AJL	0	1	1	58	1
AJM	0	10	26	597	14
AJN	0	0	15	162	0
AJP	0	0	8	214	0
AJR	0	2	14	302	0
AJS	0	0	0	23	0
AJT	0	1	2	81	0
AJU	1	3	36	802	0
AJV	0	0	30	282	3
AJW	0	1	2	11	0
AJX	0	3	23	297	1
AJY	1	6	65	704	3
AK0	0	0	0	12	0
AK1	0	0	0	17	0
AK2	0	7	30	811	3
AK3	0	0	0	9	0
AK4	0	1	45	606	4
AK6	0	8	57	833	5
AK7	0	0	0	7	0
AK8	0	1	7	67	1
AK9	1	9	58	1006	8
AKA	0	0	1	5	0
AKB	0	0	11	132	1
AKC	0	0	0	10	0
AKD	1	5	35	276	0
AKE	0	6	41	850	5
AKF	0	0	6	37	0
AKG	0	0	0	11	0
AKH	0	4	25	488	1
AKJ	0	1	13	222	0
AKK	0	0	0	11	0
AKL	0	1	17	298	0
AKM	0	8	40	515	0
AKN	0	0	0	25	0
AKP	0	0	1	49	0
AKR	0	5	23	529	1
AKS	0	0	15	100	2
AKT	0	0	0	23	0
AKU	0	1	25	281	0
AKV	0	2	33	422	0
AKW	0	0	0	17	0
AKX	0	0	6	56	0
AKY	0	4	19	558	0
AL0	0	1	8	87	0
AL1	0	0	1	1	0
AL2	0	1	14	184	0
AL3	1	7	67	622	3
AL4	0	0	0	4	0
AL5	0	0	3	44	0
AL6	0	5	29	590	1
AL7	0	0	11	17	0
AL8	0	6	34	1033	0
AL9	0	1	9	97	0
ALA	0	0	11	160	0
ALB	2	3	7	145	2
ALC	0	1	53	1060	0
ALE	0	2	3	67	0
ALF	0	1	7	24	0
ALG	0	0	4	8	0
ALH	0	1	33	1193	13
ALJ	0	2	12	1943	8
ALK	1	3	16	715	3
ALL	0	1	29	1800	11
ALM	3	3	24	483	1
ALN	0	4	16	352	0
ALP	4	4	9	469	4
ALS	0	0	2	192	0
ALT	2	5	22	515	0
ALU	0	13	65	950	0
ALV	1	4	49	530	1
ALW	2	3	49	577	1
ALX	0	3	14	712	1
ALY	2	6	13	980	0
AM0	1	2	92	48	7
AM1	0	1	5	61	1
AM2	0	0	20	28	0
AM4	0	4	38	1027	1
AM5	3	5	35	113	8
AM6	0	11	26	312	1
AM7	1	5	24	67	13
AM8	0	5	61	108	3
AM9	0	6	18	45	0
AMA	0	4	24	20	0
AMB	1	1	36	1844	5
AMC	0	7	35	1426	4
AMD	5	2	70	49	0
AMG	0	4	30	245	10
AMH	2	1	30	87	3
AMK	1	9	60	491	8
AML	0	1	49	294	0
AMM	1	3	115	420	2
AMN	0	4	18	367	2
AMR	0	0	4	178	0
AMS	0	11	40	231	11
AMT	0	10	25	254	16
AMU	0	7	15	2166	7
AMW	1	0	36	143	0
AMX	0	1	8	12	0
AMY	0	3	26	1058	0
AN0	5	6	32	1016	3
AN1	3	2	29	213	2
AN2	2	7	38	240	11
AN3	4	11	56	440	3
AN4	0	11	38	1010	8
AN5	0	8	18	362	2
AN7	2	7	18	2644	11
AN8	1	5	26	994	10
AN9	7	10	71	1356	7
ANA	4	2	34	270	3
ANB	1	3	71	622	0
ANC	1	4	56	1226	0
AND	12	10	54	131	28
ANF	0	8	16	1348	1
ANH	0	15	25	108	5
ANJ	0	7	22	329	1
ANK	1	13	29	1841	1
ANL	1	8	30	2052	24
ANM	1	3	21	449	21
ANP	0	3	30	445	0
ANR	0	12	16	1077	2
ANS	0	4	12	62	0
ANT	1	10	42	1088	4
ANU	0	6	30	1441	9
ANX	1	4	85	591	3
ANY	0	7	27	1158	13
AP0	2	8	39	1270	5
AP1	1	2	7	131	1
AP5	0	0	46	184	5
AP6	0	0	1	5	1
AP7	1	4	54	1063	2
AP8	0	0	14	311	0
APC	0	5	55	1070	10
APD	1	7	42	1060	2
APE	0	11	35	718	0
APH	0	5	19	448	0
APJ	0	0	0	44	0
APK	2	0	15	338	3
APL	1	1	20	200	4
APM	0	8	20	1669	20
APN	0	5	48	228	3
APP	1	1	14	993	2
APR	0	7	16	1347	17
APS	0	10	10	248	0
APT	0	2	78	780	0
APU	0	2	39	1520	12
APV	0	2	43	74	0
APW	1	7	16	1916	29
APX	2	5	28	369	5
AR0	0	11	84	1269	5
AR2	1	4	13	908	5
AR3	2	11	40	878	2
AR4	0	0	16	341	0
AR5	1	5	53	449	0
AR7	2	1	37	466	5
AR8	0	12	23	1450	1
AR9	1	11	65	613	7
ARA	1	0	15	16	2
ARB	0	3	35	1208	11
ARC	0	2	40	1120	2
ARD	1	11	17	171	0
ARE	3	1	24	254	5
ARF	0	5	40	1205	1
ARG	1	16	27	464	17
ARH	0	6	53	300	1
ARJ	1	7	52	859	13
ARK	0	3	18	1435	14
ARM	0	0	18	162	1
ARP	0	3	21	388	2
ARR	0	6	20	341	22
ARS	0	8	67	92	3
ART	6	6	73	1315	12
ARW	2	6	23	534	14
ARX	0	2	36	276	1
ARY	0	3	7	2	0
AS0	0	14	16	328	0
AS1	0	4	23	123	7
AS3	1	14	32	617	17
AS4	0	7	41	720	2
AS5	0	1	7	178	0
AS6	0	6	30	486	3
AS7	1	2	73	1094	2
ASA	2	0	51	1679	2
ASB	0	18	28	894	1
ASC	0	7	31	1088	4
ASD	0	0	25	418	33
ASE	0	1	28	1536	7
ASF	0	7	62	1123	0
ASH	1	4	35	204	4
ASJ	1	3	48	744	2
ASK	1	13	29	393	5
ASL	3	3	14	212	9
ASN	0	2	27	2005	10
ASR	0	7	77	542	0
ASS	0	5	20	2045	36
ASU	0	8	44	164	0
ASV	0	3	80	1837	4
ASW	1	11	44	1193	0
ASY	0	15	38	425	8
AT1	4	2	48	1372	1
AT3	1	7	30	1942	6
AT4	1	4	27	2203	18
AT6	2	4	79	78	1
AT7	0	7	23	1321	29
AT8	0	5	74	305	2
AT9	0	1	2	37	12
ATA	1	5	30	556	9
ATE	0	4	29	2170	11
ATG	0	2	7	331	1
AYJ	1	14	40	94	10
AYK	0	13	27	167	4
AYM	0	0	23	101	8
AYP	3	4	55	191	21
AYR	3	0	15	42	1
AYX	0	0	15	8	0
B01	4	5	42	357	9
B02	6	3	20	220	0
B03	1	6	58	1327	4
B04	0	16	38	276	10
B05	0	1	2	108	1
B06	4	4	38	292	2
B07	1	9	62	178	0
B08	0	7	23	279	2
B09	0	2	25	905	1
B0A	0	3	87	831	0
B0B	0	9	31	1929	5
B0G	2	5	24	757	1
B0H	3	6	48	1108	3
B0J	0	0	4	22	0
B0K	0	1	54	659	1
B0L	0	11	65	1462	0
B0M	1	3	39	555	4
B0N	1	1	26	372	1
B0P	1	12	54	245	0
B0R	0	9	43	945	1
B0S	0	1	11	74	0
B0U	0	3	35	2085	3
B0W	1	14	14	699	3
B0X	4	3	31	298	2
B0Y	0	4	17	565	1
B10	0	10	38	234	7
B11	1	3	42	1368	0
B12	1	11	39	612	0
B13	0	1	25	729	0
B14	1	8	29	139	1
B15	1	13	21	178	13
B16	1	5	33	285	7
B17	3	0	26	235	7
B19	1	9	35	1527	14
B1A	0	0	3	4	0
B1C	0	1	5	232	13
B1D	0	4	55	1229	0
B1E	0	5	45	176	0
B1F	0	1	74	489	10
B1G	0	5	31	178	2
B1H	0	9	35	578	152
B1J	0	3	34	638	15
B1K	0	0	6	17	0
B1L	0	3	81	1295	0
B1M	0	1	8	39	5
B1N	1	3	27	1192	8
B1P	1	2	32	524	0
B1R	3	0	33	76	8
B1S	0	0	0	7	0
B1T	0	8	41	745	0
B1U	0	9	55	737	4
B1W	0	0	26	266	17
B1X	0	7	18	2520	9
B1Y	0	3	21	1067	3
B20	0	5	30	1829	20
B21	0	3	18	107	47
B22	2	4	30	1481	0
B23	0	10	31	277	16
B24	0	5	14	1777	9
B25	0	7	38	289	10
B26	0	1	11	45	1
B27	0	0	6	21	1
B28	0	10	36	308	12
B29	1	0	48	297	6
B2A	1	5	43	225	5
B2B	0	0	3	15	0
B2C	2	1	59	264	0
B2D	0	4	27	208	0
B2E	1	3	31	1397	7
B2F	1	14	37	109	8
B2G	1	3	36	643	9
B2H	0	3	43	836	0
B2J	1	2	31	373	0
B2K	1	6	4	61	0
B2L	1	13	19	411	5
B2M	2	5	14	453	2
B2N	0	0	0	103	0
B2P	0	9	25	601	10
B2S	1	2	34	1307	0
B2T	3	6	43	189	3
B2U	0	3	25	117	31
B2V	0	0	4	91	0
B2W	1	9	48	992	0
B2X	0	2	12	239	1
B2Y	0	1	27	559	1
B30	0	7	28	581	5
B31	0	3	120	427	0
B32	4	10	25	213	4
B33	0	8	33	78	20
B34	1	4	51	1721	2
B35	0	0	24	47	1
B38	1	1	15	670	34
B39	0	0	2	13	1
B3A	0	0	1	6	0
B3B	0	1	9	8	0
B3C	0	7	27	25	1
B3D	1	9	37	310	4
B3F	2	3	31	1280	3
B3G	2	3	23	194	3
B3H	0	12	47	699	0
B3J	0	4	21	2501	12
B3K	0	1	58	218	3
B71	0	8	33	538	1
B72	0	9	57	482	6
B73	2	8	66	722	5
B74	1	7	52	450	5
B75	0	8	47	551	11
B76	0	5	39	596	5
B77	1	7	47	556	10
B78	1	6	65	765	5
B79	0	2	17	137	1
B7A	0	2	16	166	1
B7B	0	5	21	153	2
B7C	1	7	53	552	6
B7D	0	6	54	773	5
B7E	0	4	24	195	1
B7F	0	6	14	187	1
B7G	1	7	73	529	9
B7H	0	8	56	514	10
B7J	2	8	68	641	7
B7K	0	4	46	716	6
B7L	0	7	54	669	2
B7M	0	6	36	515	8
B7N	1	6	41	670	6
BLW	0	12	28	252	6
BLX	0	8	83	213	1
BLY	0	12	26	346	7
BM0	0	3	23	311	2
BM1	2	2	39	260	3
BM2	1	10	44	311	0
BM4	2	8	57	1273	3
BM5	0	6	64	456	10
BM6	0	3	53	1348	0
BM9	1	4	39	1045	0
BMA	1	8	27	684	8
BMB	0	5	52	629	7
BMC	5	11	135	596	5
BMD	0	1	62	704	1
BME	0	14	35	162	10
BMF	1	4	33	544	5
BMG	0	4	52	333	38
BMH	0	5	10	107	0
BMJ	0	0	10	125	0
BMK	0	4	32	357	0
BML	0	6	35	204	4
BMM	0	2	63	1953	4
BMN	0	3	19	1965	15
BMP	2	6	18	265	6
BMR	1	8	32	1746	15
BMS	0	0	5	1698	51
BMT	1	4	59	614	1
BMU	0	5	21	1775	14
BMV	0	15	43	1007	1
BMW	3	6	38	1758	19
BMX	0	4	17	2061	21
BMY	3	6	31	285	15
BN1	2	4	27	1522	17
BN2	1	9	23	1258	7
BN3	0	2	49	1568	11
BN4	2	6	67	263	5
BN5	1	2	14	202	0
BN6	1	5	43	1320	3
BN7	0	3	21	61	26
BN8	0	8	30	348	6
BN9	0	6	48	831	7
BNA	0	7	49	104	59
BNB	0	9	45	1084	0
BNC	0	0	22	1887	3
BND	3	5	33	165	19
BNE	2	12	26	387	3
BNF	0	5	33	497	12
BNG	0	3	36	332	14
BNH	1	1	36	268	2
BNJ	0	3	51	227	1
BNK	1	2	23	509	5
BNL	4	5	46	120	1
BNM	5	8	18	297	1
BNN	0	8	58	1789	3
BNP	1	1	22	330	4
BNS	0	2	27	433	17
BNT	2	5	39	484	76
BNU	0	3	18	1683	1
BNV	4	9	40	722	8
BNW	0	1	12	85	2
BNX	4	2	32	29	3
BNY	4	7	49	231	3
BP0	0	5	22	2000	10
BP1	1	8	26	1732	2
BP2	7	1	11	138	0
BP3	1	0	12	14	0
BP4	0	2	43	705	2
BP5	2	6	21	254	0
BP6	1	0	4	15	0
BP7	0	2	25	2099	9
BP8	0	5	8	722	18
BP9	0	6	14	1768	10
BPA	1	6	27	2265	8
BPB	1	4	29	208	3
BPC	0	0	48	129	0
BPD	1	2	7	1826	12
BPE	0	3	15	110	2
BPF	2	6	50	286	4
BPG	0	0	33	166	2
BPH	1	7	38	1187	3
BPJ	2	3	30	251	0
BPK	0	3	30	1029	0
C85	1	4	9	2171	15
C86	0	1	15	3006	6
C87	2	4	47	329	14
C88	0	6	43	852	2
C89	1	3	31	248	3
C8A	1	2	36	631	6
C8B	2	2	34	437	9
C8D	3	8	19	2029	21
C8E	0	6	24	2048	28
C8F	1	2	46	394	2
C8G	0	1	6	130	8
C8H	0	4	5	215	0
C8J	0	2	2	215	0
C8K	0	1	3	135	6
C8L	1	13	27	647	11
C8M	5	4	102	474	1
C8N	1	2	12	277	9
C8P	0	1	24	193	0
C8R	0	12	49	356	1
C8S	0	4	45	1814	10
C8T	0	14	24	1578	9
C8U	0	6	24	608	7
C8V	0	9	33	340	39
C8X	0	0	3	105	8
C8Y	0	13	52	81	1
C90	1	19	43	1148	1
C91	6	9	17	121	0
C92	7	2	33	141	0
C93	2	2	69	816	1
C94	0	5	37	149	4
C95	11	8	84	422	20
C96	5	7	55	288	10
C97	8	10	74	264	10
C98	0	6	13	2060	8
C9A	7	1	35	793	1
C9B	0	10	25	158	2
C9C	0	7	39	69	0
C9D	0	0	1	309	0
C9E	1	5	60	573	9
C9F	1	7	38	179	1
C9H	5	1	38	509	10
C9J	9	10	60	662	13
C9K	9	6	87	705	9
C9L	5	5	60	839	23
C9M	2	3	71	805	15
C9N	9	5	57	759	5
C9P	4	2	19	133	6
C9R	0	2	13	317	30
C9S	2	9	25	753	8
C9U	1	5	43	1204	10
C9V	0	6	22	433	8
C9W	0	13	34	639	8
C9X	0	4	32	176	2
C9Y	3	7	12	266	9
CA0	0	4	33	1882	10
CA1	0	8	43	247	4
CA2	2	2	15	229	1
CA3	1	2	13	1408	33
CA4	1	5	27	62	1
CA5	3	3	18	471	53
CA6	0	3	32	1147	3
CA7	0	7	70	755	0
CA8	0	7	13	1290	0
CA9	1	3	26	1345	9
CAA	0	0	14	30	0
CAB	2	13	11	2781	13
CAC	4	12	33	1043	4
CAD	2	8	58	788	18
CAE	4	8	52	528	16
CAF	0	1	48	674	7
CAG	1	8	40	772	13
CAH	0	11	48	775	12
CAJ	0	4	41	744	8
CAK	0	4	24	507	8
CAL	0	8	49	520	6
CAM	0	1	12	1711	16
CAN	1	8	26	414	1
CAP	0	5	22	724	11
CAR	1	13	41	1432	8
CAS	1	7	32	422	9
CAT	2	1	20	378	5
CAU	3	8	33	615	2
CAV	0	1	1	114	3
CAW	0	5	30	777	0
CAX	0	0	0	73	0
CAY	1	5	24	46	0
CB0	0	2	6	481	17
CB1	0	17	50	150	5
CB2	3	3	45	753	5
CB3	1	3	37	688	10
CB4	2	1	49	366	26
CB5	0	5	30	2149	24
CB6	0	12	73	1222	0
CB8	0	6	54	795	15
CB9	2	3	39	253	2
CBA	0	4	36	1467	0
CBB	0	3	23	552	1
CBC	4	12	311	4037	60
CBD	0	3	11	482	0
CBE	0	5	37	1632	1
CBF	13	21	217	8499	11
CBG	11	28	322	5918	5
CBH	0	4	7	191	0
CBJ	0	6	50	873	3
CBK	0	4	19	1508	0
CBL	0	2	14	24	0
CBM	0	3	18	354	0
CBN	1	8	38	1931	18
CBP	2	6	55	52	8
CBR	0	12	14	114	13
CBT	5	12	69	921	10
