id	stop.to	time	click	noun	nominalization	downtoner
AK0	0	0	0	29	10	2
AK1	0	1	0	36	14	2
AK2	0	46	0	1280	526	65
AK3	0	0	0	25	7	2
AK4	0	58	0	1204	338	68
AK6	2	77	0	1780	401	94
AK7	0	0	0	22	10	0
AK8	0	1	0	136	54	2
AK9	0	82	0	1873	689	83
AKA	0	0	0	35	10	1
AKB	0	10	0	333	99	12
AKC	0	0	0	23	3	0
AKD	0	32	0	939	367	31
AKE	0	81	0	1548	317	81
AKF	0	0	0	103	46	4
AKG	0	0	0	33	13	2
AKH	0	30	0	923	358	42
AKJ	0	22	0	502	135	25
AKK	0	4	0	23	7	1
AKL	0	25	0	634	289	42
AKM	0	60	0	1344	297	70
AKN	0	0	0	55	26	1
AKP	0	0	0	114	64	3
AKR	0	17	0	937	374	27
AKS	0	10	0	336	89	16
AKT	0	0	0	42	8	1
AKU	0	19	0	680	255	24
AKV	0	26	0	834	168	29
AKW	0	1	0	31	9	0
AKX	0	4	0	151	63	10
AKY	0	31	0	1005	380	25
AL0	0	9	0	223	56	8
AL1	0	0	0	10	2	1
AL2	0	20	0	409	205	18
AL3	1	76	0	1678	414	89
AL4	0	0	0	11	5	3
AL5	0	6	0	128	35	7
AL6	0	25	0	985	378	29
AL7	0	1	0	375	170	5
AL8	0	49	0	1271	919	97
AL9	0	6	0	280	174	31
ALA	0	19	0	336	153	17
ALB	0	19	0	344	232	20
ALC	0	110	0	1406	536	94
ALE	0	9	0	264	180	7
ALF	0	10	0	486	341	22
ALG	0	3	0	177	123	12
ALH	1	77	1	2277	229	58
ALJ	0	43	1	1982	176	70
ALK	0	80	0	818	268	47
ALL	0	39	3	2159	332	66
ALM	0	53	0	1326	820	54
ALN	0	32	0	871	533	42
ALP	0	33	0	1031	566	65
ALS	0	12	0	260	22	9
ALT	0	34	0	635	209	22
ALU	0	71	0	1258	533	61
ALV	0	52	0	2209	1052	51
ALW	0	65	0	2826	1495	87
ALX	0	18	0	956	178	21
ALY	0	68	0	1052	431	46
AM0	0	62	0	1721	549	115
AM1	0	3	0	159	42	7
AM2	0	12	0	586	103	18
AM4	0	81	0	1757	889	95
AM5	0	47	0	1603	372	67
AM6	0	49	0	1282	648	76
AM7	0	42	0	1352	954	51
AM8	0	41	0	1814	968	46
AM9	0	19	0	1014	626	27
AMA	0	16	0	749	427	8
AMB	0	120	0	2003	158	72
AMC	0	87	0	1763	524	113
AMD	0	48	0	2804	571	46
AMG	0	51	0	1716	1017	71
AMH	0	24	0	663	352	22
AMK	0	44	0	1598	921	104
AML	0	35	0	1304	549	63
AMM	0	53	0	1910	482	127
AMN	0	38	0	768	316	49
AMR	0	18	0	381	141	13
AMS	0	62	0	1777	508	111
AMT	0	31	0	1420	694	61
AMU	0	44	0	2470	297	80
AMW	0	55	0	1589	579	29
AMX	0	4	0	169	54	8
AMY	0	73	0	1396	448	82
AN0	0	72	0	1397	647	58
AN1	0	35	0	612	302	44
AN2	0	40	0	1793	327	63
AN3	0	56	0	1576	1048	69
AN4	0	85	0	3194	866	136
AN5	0	35	0	1379	983	58
AN7	0	77	2	2581	165	82
AN8	0	67	1	1824	403	91
AN9	0	99	0	1808	936	85
ANA	0	43	0	1273	621	62
ANB	1	77	0	1312	410	94
ANC	0	112	0	1877	423	65
AND	0	101	0	1659	783	53
ANF	0	81	0	1650	316	94
ANH	0	18	0	1529	1115	94
ANJ	0	35	0	612	191	37
ANK	0	89	0	1998	345	67
ANL	2	82	0	2824	420	123
ANM	0	81	0	1507	342	53
ANP	0	37	0	906	246	27
ANR	0	67	0	1240	593	116
ANS	0	17	0	1147	689	24
ANT	0	68	0	1613	1030	103
ANU	0	49	0	1728	497	99
ANX	0	83	0	2748	990	110
ANY	1	78	1	2314	492	81
AP0	0	113	0	1370	380	83
AP1	0	35	0	1234	526	20
AP5	0	22	0	990	449	56
AP6	0	2	0	116	47	3
AP7	0	65	0	1613	399	123
AP8	0	16	0	679	111	7
APC	1	63	0	1989	308	63
APD	0	31	0	1378	844	106
APE	0	48	0	1402	830	95
APH	0	16	0	1546	1112	93
APJ	0	8	0	220	75	1
APK	0	53	0	828	272	31
APL	0	34	0	571	163	21
APM	0	67	0	2080	299	87
APN	0	39	0	1347	940	84
APP	0	47	0	1165	681	50
APR	0	42	0	1789	279	61
APS	0	60	0	1275	848	92
APT	0	36	0	1889	414	31
APU	0	52	2	1933	328	67
APV	0	62	0	2136	1026	64
APW	1	61	0	2417	139	63
APX	0	32	0	1460	637	49
AR0	0	47	0	1720	1043	83
AR2	2	100	0	1047	175	65
AR3	0	121	0	1456	396	114
AR4	0	12	0	562	214	16
AR5	0	53	0	1430	276	77
AR7	0	81	0	1607	371	71
AR8	3	89	0	1667	478	85
AR9	0	55	0	1822	785	99
ARA	0	13	0	690	159	10
ARB	1	59	2	2335	343	88
ARC	0	59	0	1357	719	71
ARD	0	63	0	783	462	51
ARE	0	61	0	1077	259	35
ARF	0	98	0	1602	690	74
ARG	0	47	0	1961	523	81
ARH	0	69	0	1723	919	101
ARJ	2	125	1	3062	639	125
ARK	1	46	0	1998	281	45
ARM	0	25	0	622	88	12
ARP	0	20	0	778	131	28
ARR	0	49	0	1707	536	104
ARS	0	50	0	1410	472	68
ART	0	78	0	2106	554	95
ARW	0	61	0	1620	536	65
ARX	0	31	0	663	253	37
ARY	0	23	0	398	284	18
AS0	0	53	0	1285	532	42
AS1	0	33	0	1278	508	59
AS3	0	77	0	1506	296	113
AS4	0	42	0	1318	413	60
AS5	0	29	0	235	111	12
AS6	0	25	0	1125	709	48
AS7	0	87	0	1710	304	71
ASA	1	96	0	1802	197	78
ASB	0	69	0	1729	994	100
ASC	0	123	0	1339	374	86
ASD	0	81	0	1870	242	63
ASE	0	57	1	1835	202	57
ASF	0	356	0	1490	659	91
ASH	0	71	0	1178	242	36
ASJ	0	36	0	1182	293	49
ASK	0	37	0	1721	916	119
ASL	0	35	0	1381	664	82
ASN	1	98	0	2097	323	105
ASR	0	75	0	1417	567	154
ASS	0	60	1	2222	255	90
ASU	0	27	0	1076	304	59
ASV	0	75	0	2236	278	96
ASW	0	104	0	1567	373	87
ASY	0	74	0	1464	860	100
AT1	0	86	0	1942	378	85
AT3	4	74	0	2209	273	126
AT4	3	99	1	2784	293	98
AT6	1	32	0	1997	427	114
AT7	1	81	0	1998	142	106
AT8	0	40	0	1376	794	96
AT9	0	29	0	381	152	3
ATA	1	50	0	1397	655	58
ATE	0	90	0	2288	211	98
ATG	0	32	0	786	464	67
AYJ	0	143	0	2172	975	108
AYK	1	145	0	1733	465	94
AYM	0	44	0	1196	300	33
AYP	0	114	0	3002	1286	70
AYR	2	16	0	491	196	9
AYX	0	14	0	369	110	18
B01	0	40	0	1799	1074	94
B02	0	15	0	1158	697	70
B03	0	94	1	2899	853	94
B04	0	44	0	1594	789	74
B05	0	21	0	500	234	11
B06	0	87	0	1810	495	70
B07	0	72	0	1720	1071	68
B08	0	83	0	1835	905	69
B09	0	46	0	1409	475	46
B0A	0	69	1	1552	416	68
B0B	4	87	0	2043	108	114
B0G	0	50	0	974	215	20
B0H	0	91	0	1608	697	68
B0J	0	0	0	59	25	10
B0K	0	53	0	1489	354	107
B0L	0	98	0	1576	500	83
B0M	0	39	0	2418	1205	70
B0N	0	87	0	1675	876	60
B0P	0	147	1	1560	277	126
B0R	0	58	0	1190	383	121
B0S	0	23	0	638	447	21
B0U	0	114	2	2327	313	89
B0W	0	99	0	1117	589	99
B0X	0	30	0	1522	915	39
B0Y	0	36	0	2551	483	32
B10	0	120	0	1933	693	83
B11	1	62	1	1581	481	62
B12	0	38	0	1608	1048	114
B13	0	37	0	908	215	16
B14	0	42	0	1657	996	66
B15	0	31	1	1199	761	51
B16	0	78	0	1673	701	75
B17	0	45	0	1483	675	55
B19	1	104	0	1989	389	107
B1A	0	2	0	64	7	2
B1C	0	24	0	1925	86	35
B1D	0	64	0	1430	812	114
B1E	0	23	0	1287	931	73
B1F	0	58	0	1694	494	87
B1G	0	42	0	1534	991	71
B1H	0	45	0	2517	438	73
B1J	0	62	0	2040	599	67
B1K	0	2	0	380	286	6
B1L	0	76	0	1853	444	83
B1M	0	13	0	784	233	30
B1N	2	69	1	1738	332	73
B1P	0	75	0	1434	673	73
B1R	1	51	0	2377	661	52
B1S	0	2	0	41	2	1
B1T	0	22	0	902	656	70
B1U	0	27	0	1677	1179	110
B1W	0	52	0	1897	1029	45
B1X	2	79	1	2847	255	71
B1Y	0	87	0	1339	231	59
B20	0	108	1	2421	360	97
B21	3	64	0	1330	403	32
B22	0	106	0	1652	305	157
B23	0	68	0	2058	1154	53
B24	0	128	1	2425	536	51
B25	0	68	0	1397	649	107
B26	0	54	0	1699	348	37
B27	0	26	0	411	175	4
B28	0	81	0	1553	850	49
B29	1	45	0	1724	515	33
B2A	0	30	0	1820	1173	58
B2B	0	2	0	86	61	4
B2C	0	24	0	1475	726	87
B2D	0	43	0	962	637	39
B2E	0	49	0	1421	202	57
B2F	0	79	0	1859	607	38
B2G	0	59	0	1625	485	82
B2H	0	69	0	1393	300	97
B2J	0	54	0	1688	983	70
B2K	0	6	0	1134	887	50
B2L	0	30	0	1228	917	76
B2M	0	49	0	1119	856	28
B2N	0	1	0	82	3	0
B2P	0	38	0	1623	860	127
B2S	0	50	0	1707	604	58
B2T	0	64	0	1504	1119	61
B2U	0	39	0	2302	488	41
B2V	0	3	0	121	8	2
B2W	0	77	0	1270	538	72
B2X	0	29	0	813	448	36
B2Y	0	42	0	912	298	56
B30	0	70	0	1636	747	41
B31	0	22	0	1832	507	119
B32	0	121	0	2209	441	46
B33	0	94	0	2021	922	56
B34	0	98	0	1922	333	89
B35	0	43	0	468	84	11
B38	0	37	2	2294	125	26
B39	0	0	0	113	53	2
B3A	0	33	0	484	305	2
B3B	0	8	0	677	455	10
B3C	0	32	0	2604	1556	20
B3D	0	46	0	1621	1228	59
B3F	0	126	0	1305	291	101
B3G	0	101	0	1431	618	42
B3H	0	50	0	1071	332	52
B3J	1	124	1	2570	284	90
B3K	0	75	0	2730	699	50
B71	0	64	0	2068	849	106
B72	0	59	0	2084	866	103
B73	0	77	0	2204	861	103
B74	0	82	0	1799	705	77
B75	0	80	0	2079	771	105
B76	0	54	0	1881	742	112
B77	0	57	1	2133	869	84
B78	0	92	0	2281	916	121
B79	0	25	0	579	292	28
B7A	0	14	0	476	270	42
B7B	0	27	0	611	314	33
B7C	0	73	0	2172	975	101
B7D	0	46	0	1673	607	107
B7E	0	23	0	618	246	37
B7F	0	16	0	740	338	44
B7G	0	70	0	2413	1031	101
B7H	0	71	0	2045	832	79
B7J	0	85	0	2194	825	114
B7K	0	71	0	1841	717	81
B7L	0	97	0	2414	935	101
B7M	0	73	0	1993	867	93
B7N	0	65	0	1980	761	108
BLW	0	137	0	2091	526	70
BLX	0	53	0	1820	437	127
BLY	1	78	0	1607	911	93
BM0	3	60	0	1052	346	64
BM1	0	54	0	1765	609	69
BM2	0	130	0	1334	786	97
BM4	1	90	0	2794	809	79
BM5	0	48	0	1778	422	58
BM6	1	87	0	1633	481	88
BM9	0	69	0	1207	447	56
BMA	0	40	0	1459	1027	124
BMB	0	79	0	2370	853	78
BMC	2	141	0	3036	1144	262
BMD	1	51	1	2051	389	63
BME	0	88	0	1547	1047	84
BMF	0	59	0	1542	419	54
BMG	1	57	1	1652	488	115
BMH	0	32	0	478	355	30
BMJ	0	17	0	474	314	15
BMK	0	24	0	2112	1145	55
BML	0	63	0	1619	751	73
BMM	0	160	1	2105	359	67
BMN	2	49	1	2038	229	97
BMP	0	22	0	919	571	59
BMR	2	90	0	1938	384	88
BMS	2	73	0	2520	117	93
BMT	1	78	0	1596	566	69
BMU	1	100	1	2163	173	89
BMV	0	72	0	1288	560	93
BMW	1	87	2	1923	251	130
BMX	2	84	0	2008	178	86
BMY	0	59	0	1818	659	114
BN1	1	71	1	2113	325	104
BN2	0	52	0	1376	769	128
BN3	0	86	0	2163	371	69
BN4	1	38	0	1887	776	73
BN5	0	18	0	959	154	46
BN6	0	111	0	1660	280	59
BN7	0	57	0	1756	454	61
BN8	0	24	0	1113	860	60
BN9	0	94	0	1774	518	86
BNA	0	100	0	1883	754	38
BNB	0	49	0	1258	405	110
BNC	0	63	0	2094	102	118
BND	0	33	0	1583	558	52
BNE	1	32	0	1102	729	92
BNF	0	86	0	1843	784	53
BNG	0	52	0	2063	427	32
BNH	0	34	0	1001	353	19
BNJ	0	34	0	1498	361	22
BNK	0	60	0	1227	507	30
