id	cat	n_w	n_s
F45	F	2265	99
F46	F	2291	106
F47	F	2259	98
F48	F	2220	52
G01	G	2277	88
G02	G	2292	82
G03	G	2386	113
G04	G	2355	139
G05	G	2371	80
G06	G	2398	105
G07	G	2323	76
G08	G	2318	73
G09	G	2274	101
G10	G	2278	62
G11	G	2223	87
G12	G	2320	139
G13	G	2299	96
G14	G	2294	72
G15	G	2494	70
G16	G	2230	68
G17	G	2458	103
G18	G	2306	102
G19	G	2259	97
G20	G	2287	72
G21	G	2249	89
G22	G	2288	83
G23	G	2294	119
G24	G	2216	69
G25	G	2252	102
G26	G	2200	74
G27	G	2354	82
G28	G	2213	60
G29	G	2235	70
G30	G	2337	114
G31	G	2292	52
G32	G	2315	92
G33	G	2326	68
G34	G	2350	109
G35	G	2275	84
G36	G	2411	132
G37	G	2275	101
G38	G	2330	67
G39	G	2448	93
G40	G	2337	113
G41	G	2272	106
G42	G	2200	84
G43	G	2293	74
G44	G	2249	68
G45	G	2376	89
G46	G	2233	85
G47	G	2432	131
G48	G	2227	102
G49	G	2419	64
G50	G	2314	89
G51	G	2279	106
G52	G	2272	77
G53	G	2302	91
G54	G	2355	108
G55	G	2270	106
G56	G	2291	75
G57	G	2335	79
G58	G	2300	75
G59	G	2318	46
G60	G	2260	112
G61	G	2273	80
G62	G	2275	72
G63	G	2221	103
G64	G	2357	61
G65	G	2236	84
G66	G	2277	66
G67	G	2390	80
G68	G	2362	72
G69	G	2429	46
G70	G	2251	79
G71	G	2275	60
G72	G	2237	77
G73	G	2331	86
G74	G	2368	82
G75	G	2299	124
H01	H	2362	56
H02	H	2325	68
H03	H	2191	64
H04	H	2296	89
H05	H	2223	71
H06	H	2394	65
H07	H	2374	80
H08	H	2302	58
H09	H	2331	14
H10	H	2285	69
H11	H	2227	73
H12	H	2336	20
H13	H	2376	88
H14	H	2396	51
H15	H	2315	128
H16	H	2374	60
H17	H	2557	96
H18	H	2228	80
H19	H	2172	81
H20	H	2359	60
H21	H	2297	77
H22	H	2498	25
H23	H	2234	45
H24	H	2476	69
H25	H	2283	56
H26	H	2221	69
H27	H	2255	76
H28	H	2297	81
H29	H	2249	56
H30	H	2213	87
J01	J	2201	62
J02	J	2171	89
J03	J	2229	80
J04	J	2321	96
J05	J	2255	79
J06	J	2140	64
J07	J	2371	89
J08	J	2202	108
J09	J	2271	75
J10	J	2258	91
J11	J	2263	77
J12	J	2356	88
J13	J	2283	65
J14	J	2280	86
J15	J	2311	106
J16	J	2224	72
J17	J	2292	77
J18	J	2359	93
J19	J	2321	90
J20	J	2378	87
J21	J	2304	72
J22	J	2169	69
J23	J	2317	88
J24	J	2231	63
J25	J	2245	75
J26	J	2282	86
J27	J	2245	91
J28	J	2253	74
J29	J	2235	77
J30	J	2248	87
J31	J	2311	46
J32	J	2158	88
J33	J	2250	88
J34	J	2205	102
J35	J	2356	64
J36	J	2263	72
J37	J	2190	79
J38	J	2181	87
J39	J	2333	87
J40	J	2161	57
J41	J	2252	68
J42	J	2279	75
J43	J	2239	84
J44	J	2248	64
J45	J	2199	80
J46	J	2265	80
J47	J	2210	54
J48	J	2246	85
J49	J	2183	72
J50	J	2318	56
J51	J	2227	81
J52	J	2238	87
J53	J	2309	59
J54	J	2225	69
J55	J	2231	80
J56	J	2276	85
J57	J	2231	71
J58	J	2305	74
J59	J	2240	55
J60	J	2274	71
J61	J	2338	84
J62	J	2207	77
J63	J	2303	82
J64	J	2290	90
J65	J	2357	59
J66	J	2285	110
J67	J	2193	63
J68	J	2408	55
J69	J	2255	69
J70	J	2160	98
J71	J	2297	113
J72	J	2353	85
J73	J	2409	94
J74	J	2282	81
J75	J	2231	65
J76	J	2306	71
J77	J	2457	79
J78	J	2336	87
J79	J	2285	77
J80	J	2256	96
K01	K	2448	158
K02	K	2326	132
K03	K	2318	132
K04	K	2308	125
K05	K	2353	170
K06	K	2495	188
K07	K	2465	201
K08	K	2363	140
K09	K	2277	75
K10	K	2381	152
K11	K	2382	148
K12	K	2419	124
K13	K	2356	131
K14	K	2338	121
K15	K	2347	125
K16	K	2314	115
K17	K	2385	184
K18	K	2277	150
K19	K	2343	112
K20	K	2380	129
K21	K	2352	205
K22	K	2413	128
K23	K	2329	106
K24	K	2503	213
K25	K	2226	59
K26	K	2411	126
K27	K	2337	85
K28	K	2503	168
K29	K	2250	81
L01	L	2405	142
L02	L	2422	145
L03	L	2408	180
L04	L	2302	168
L05	L	2419	146
L06	L	2304	138
L07	L	2359	140
L08	L	2513	125
L09	L	2399	146
L10	L	2424	175
L11	L	2366	147
L12	L	2461	185
L13	L	2451	164
L14	L	2424	171
L15	L	2382	135
L16	L	2399	156
L17	L	2370	114
L18	L	2341	132
L19	L	2344	145
L20	L	2487	171
L21	L	2407	204
L22	L	2373	133
L23	L	2361	152
L24	L	2503	159
M01	M	2460	152
M02	M	2403	139
M03	M	2358	127
M04	M	2473	189
M05	M	2374	119
M06	M	2365	147
N01	N	2508	169
N02	N	2408	160
N03	N	2394	212
N04	N	2376	166
N05	N	2474	188
N06	N	2270	120
N07	N	2452	198
N08	N	2269	105
N09	N	2495	167
N10	N	2495	192
N11	N	2352	121
N12	N	2492	179
N13	N	2445	119
N14	N	2392	164
N15	N	2349	176
N16	N	2406	120
N17	N	2560	179
N18	N	2260	113
N19	N	2452	134
N20	N	2366	153
N21	N	2334	128
N22	N	2326	140
N23	N	2363	127
N24	N	2526	170
N25	N	2416	182
N26	N	2389	128
N27	N	2475	121
N28	N	2293	119
N29	N	2572	188
P01	P	2330	125
P02	P	2355	85
P03	P	2450	135
P04	P	2576	127
P05	P	2326	119
P06	P	2569	171
P07	P	2384	141
P08	P	2306	171
P09	P	2201	68
P10	P	2400	112
P11	P	2356	114
P12	P	2472	168
P13	P	2327	105
P14	P	2536	214
P15	P	2517	151
P16	P	2546	193
P17	P	2319	108
P18	P	2466	169
P19	P	2491	164
P20	P	2435	175
P21	P	2523	115
P22	P	2481	173
P23	P	2564	164
P24	P	2564	225
P25	P	2328	96
P26	P	2361	104
P27	P	2476	203
P28	P	2343	149
P29	P	2474	143
R01	R	2349	108
R02	R	2388	95
R03	R	2565	84
R04	R	2289	115
R05	R	2479	140
R06	R	2492	117
R07	R	2457	166
R08	R	2393	65
R09	R	2345	85
