id	cat	n_w	n_s
J55	J	2218	80
J56	J	2282	51
J57	J	2240	79
J58	J	2275	60
J59	J	2309	81
J60	J	2322	69
J61	J	2284	68
J62	J	2326	46
J63	J	2240	51
J64	J	2252	69
J65	J	2283	70
J66	J	2270	65
J67	J	2290	105
J68	J	2246	56
J69	J	2309	84
J70	J	2227	85
J71	J	2267	89
J72	J	2275	71
J73	J	2251	79
J74	J	2281	57
J75	J	2200	76
J76	J	2234	67
J77	J	2228	58
J78	J	2183	75
J79	J	2209	72
J80	J	2230	68
K01	K	2306	64
K02	K	2420	119
K03	K	2441	121
K04	K	2442	128
K05	K	2389	176
K06	K	2264	116
K07	K	2345	155
K08	K	2442	130
K09	K	2451	167
K10	K	2461	142
K11	K	2481	177
K12	K	2302	91
K13	K	2396	125
K14	K	2251	91
K15	K	2237	125
K16	K	2328	130
K17	K	2507	206
K18	K	2560	233
K19	K	2394	107
K20	K	2304	91
K21	K	2282	75
K22	K	2331	99
K23	K	2273	81
K24	K	2462	199
K25	K	2490	168
K26	K	2364	90
K27	K	2341	153
K28	K	2610	185
K29	K	2224	86
L01	L	2423	168
L02	L	2320	124
L03	L	2383	129
L04	L	2385	130
L05	L	2479	173
L06	L	2430	162
L07	L	2502	162
L08	L	2318	137
L09	L	2279	91
L10	L	2486	177
L11	L	2670	252
L12	L	2281	155
L13	L	2353	175
L14	L	2490	141
L15	L	2233	96
L16	L	2431	178
L17	L	2463	154
L18	L	2376	136
L19	L	2395	153
L20	L	2331	109
L21	L	2492	178
L22	L	2532	237
L23	L	2363	113
L24	L	2282	67
M01	M	2293	138
M02	M	2331	85
M03	M	2323	86
M04	M	2586	227
M05	M	2510	178
M06	M	2380	167
N01	N	2229	111
N02	N	2469	139
N03	N	2309	103
N04	N	2561	206
N05	N	2576	208
N06	N	2527	179
N07	N	2598	223
N08	N	2430	176
N09	N	2337	174
N10	N	2404	136
N11	N	2412	121
N12	N	2437	136
N13	N	2399	120
N14	N	2512	165
N15	N	2431	137
N16	N	2509	169
N17	N	2383	158
N18	N	2482	196
N19	N	2545	202
N20	N	2376	156
N21	N	2429	195
N22	N	2426	190
N23	N	2504	164
N24	N	2687	216
N25	N	2423	142
N26	N	2401	133
N27	N	2301	98
N28	N	2465	143
N29	N	2385	167
P01	P	2370	182
P02	P	2389	131
P03	P	2553	170
P04	P	2369	168
P05	P	2482	146
P06	P	2461	163
P07	P	2317	132
P08	P	2423	170
P09	P	2452	167
P10	P	2493	194
P11	P	2258	87
P12	P	2401	137
P13	P	2528	206
P14	P	2430	145
P15	P	2384	140
P16	P	2426	155
P17	P	2539	154
P18	P	2333	100
P19	P	2352	116
P20	P	2451	174
P21	P	2469	146
P22	P	2389	105
P23	P	2417	127
P24	P	2533	188
P25	P	2599	184
P26	P	2564	249
P27	P	2436	146
P28	P	2420	144
P29	P	2407	175
R01	R	2324	109
R02	R	2338	125
R03	R	2393	90
R04	R	2295	117
R05	R	2283	67
R06	R	2300	107
R07	R	2370	110
R08	R	2270	95
R09	R	2311	127
