to	ty	se	towl	tywl
2311	754	46	4.29857204673302	6.58222811671088
2158	477	88	4.5291936978684	6.61215932914046
2250	545	88	4.25733333333333	6.11926605504587
2205	724	102	4.83854875283447	6.89364640883978
2356	839	64	4.42869269949066	6.46126340882002
2263	807	72	4.46884666372072	6.38661710037175
2190	776	79	5.05433789954338	7.11340206185567
2181	692	87	4.98945437872536	6.60982658959538
2333	832	87	4.39177025289327	6.37379807692308
2161	701	57	4.67746413697362	6.39514978601997
2252	610	68	4.5133214920071	6.6672131147541
2279	748	75	4.78236068451075	7.1644385026738
2239	797	84	4.76775346136668	6.78293601003764
2248	630	64	4.7673487544484	6.74285714285714
2199	646	80	4.78763074124602	6.48761609907121
2265	714	80	4.53686534216336	6.65406162464986
2210	798	54	4.82488687782805	6.72055137844612
2246	718	85	4.69189670525378	6.52089136490251
2183	697	72	4.99816765918461	6.87374461979914
2318	647	56	4.61173425366695	6.70788253477589
2227	800	81	4.89717108217333	7.06
2238	551	87	3.95933869526363	5.80943738656987
2309	700	59	4.30705933304461	6.61571428571429
2225	794	69	4.58696629213483	6.5088161209068
2231	842	80	4.22545943523084	5.88004750593824
2276	809	85	4.48066783831283	6.04820766378245
2231	757	71	4.4002689376961	6.50462351387054
2305	747	74	4.45075921908894	6.46586345381526
2240	693	55	4.46830357142857	6.4978354978355
2274	903	71	4.58751099384345	6.39756367663344
2338	856	84	4.19076133447391	6.20210280373832
2207	816	77	4.41776166742184	6.59313725490196
2303	802	82	4.50412505427703	6.59102244389027
2290	872	90	4.32838427947598	6.34174311926605
2357	747	59	3.99830292745015	6.09103078982597
2285	865	110	4.41663019693654	6.52832369942197
2193	765	63	4.62745098039216	6.71111111111111
2408	902	55	4.22923588039867	6.490022172949
2255	542	69	4.60886917960089	6.31734317343173
2160	679	98	4.81296296296296	6.30780559646539
2297	769	113	4.97692642577275	6.97269180754226
2353	951	85	5.14237144071398	7.65509989484753
2409	825	94	4.9261104192611	6.96121212121212
2282	804	81	5.11042944785276	7.07213930348259
2231	570	65	4.49798296727925	6.34736842105263
2306	885	71	4.80659150043365	6.63502824858757
2457	802	79	4.52991452991453	6.31172069825436
2336	733	87	4.8728595890411	6.9181446111869
2285	509	77	4.15142231947484	6.01375245579568
2256	565	96	4.7229609929078	6.70973451327434
2448	787	158	3.81535947712418	5.83227445997459
2326	861	132	3.97592433361995	5.66666666666667
2318	822	132	3.78386540120794	5.5948905109489
2308	755	125	4.04159445407279	5.9046357615894
2353	740	170	3.7156821079473	5.54189189189189
2495	930	188	3.89699398797595	5.76451612903226
2465	755	201	3.56024340770791	5.24105960264901
2363	741	140	3.90562843842573	5.73684210526316
2277	703	75	3.7562582345191	5.49217638691323
2381	878	152	3.92608147837043	5.73348519362187
2382	744	148	3.68010075566751	5.40322580645161
2419	942	124	4.06821000413394	6.01167728237792
2356	779	131	3.8616298811545	5.74197689345315
2338	844	121	4.0551753635586	5.92298578199052
2347	800	125	3.94887089902003	5.62875
2314	956	115	4.0371650821089	5.76359832635983
2385	849	184	3.85492662473795	5.70318021201413
2277	739	150	3.76987263943786	5.54127198917456
2343	743	112	3.92915066154503	5.84656796769852
2380	894	129	3.92605042016807	5.90939597315436
2352	846	205	3.90051020408163	5.58983451536643
2413	807	128	3.77372565271446	5.66294919454771
2329	845	106	4.04336625161013	5.91005917159763
2503	584	213	3.21214542548941	4.83561643835616
2226	807	59	4.05750224618149	5.94052044609665
2411	692	126	3.58979676482787	5.23554913294798
2337	824	85	4.08258451005563	6.09587378640777
2503	738	168	3.4770275669197	5.2059620596206
2250	884	81	4.08311111111111	6.1289592760181
2405	728	142	3.59043659043659	5.54395604395604
2422	655	145	3.54665565648225	5.47786259541985
2408	742	180	3.60174418604651	5.22641509433962
2302	718	168	3.82580364900087	5.56128133704735
2419	729	146	3.71930549813973	5.47462277091907
2304	672	138	3.72612847222222	5.35863095238095
2359	798	140	3.86858838490886	5.67919799498747
2513	729	125	3.54556307202547	5.35390946502058
2399	717	146	3.7974155898291	5.41004184100418
2424	678	175	3.81311881188119	5.70648967551622
2366	784	147	3.84657650042265	5.87244897959184
2461	873	185	3.83380739536774	5.8545246277205
2451	733	164	3.59118727050184	5.33287858117326
2424	792	171	3.84818481848185	5.66414141414141
2382	820	135	4.01889168765743	5.98048780487805
2399	740	156	3.80033347228012	5.59459459459459
2370	845	114	3.98059071729958	5.77396449704142
2341	700	132	3.68816744980777	5.48571428571429
2344	790	145	3.92491467576792	5.75569620253165
2487	787	171	3.4302372336148	5.10927573062262
2407	845	204	3.82384711258828	5.66153846153846
2373	784	133	3.71175726927939	5.5
2361	747	152	3.76111817026684	5.5475234270415
2503	706	159	3.46024770275669	5.19688385269122
2460	878	152	3.85528455284553	5.80523917995444
2403	803	139	4.0033291718685	6.01120797011208
2358	752	127	3.90458015267176	5.86303191489362
2473	811	189	3.75495349777598	5.72996300863132
2374	948	119	4.38668913226622	6.55168776371308
2365	734	147	3.84862579281184	5.65122615803815
2508	659	169	3.38835725677831	5.11532625189681
2408	711	160	3.57308970099668	5.13361462728551
2394	743	212	3.76733500417711	5.44414535666218
2376	796	166	3.746632996633	5.40577889447236
2474	678	188	3.50889248181083	5.29941002949853
2270	764	120	3.94008810572687	6.02094240837696
2452	827	198	3.76468189233279	5.53688029020556
2269	863	105	4.18818862935214	6.06836616454229
2495	810	167	3.64849699398798	5.74567901234568
2495	762	192	3.63607214428858	5.35958005249344
2352	841	121	3.97746598639456	5.74316290130797
2492	730	179	3.59911717495987	5.43972602739726
2445	850	119	3.76646216768916	5.57882352941176
2392	877	164	3.88503344481605	5.70011402508552
2349	757	176	3.87186036611324	5.59048877146631
2406	879	120	3.98379052369077	5.86916951080774
2560	762	179	3.4609375	5.46456692913386
2260	722	113	3.67964601769912	5.57340720221607
2452	825	134	3.77079934747145	5.54666666666667
2366	836	153	3.80769230769231	5.5633971291866
2334	892	128	3.926735218509	5.69730941704036
2326	720	140	3.79535683576956	5.41666666666667
2363	802	127	3.82014388489209	5.68204488778055
2526	739	170	3.51741884402217	5.46143437077131
2416	835	182	3.93170529801325	5.82395209580838
2389	828	128	3.93386354123064	5.70893719806763
2475	704	121	3.63474747474747	5.33522727272727
2293	925	119	4.2067160924553	5.99567567567568
2572	804	188	3.55326594090202	5.48507462686567
2330	812	125	3.92875536480687	5.62192118226601
2355	747	85	3.85095541401274	5.63319946452477
2450	824	135	3.6534693877551	5.37378640776699
2576	889	127	3.85287267080745	5.65354330708661
2326	829	119	4.00343938091144	5.93606755126659
2569	849	171	3.71195017516543	5.78563015312132
2384	779	141	3.96770134228188	5.89473684210526
2306	701	171	3.73113616652212	5.48930099857347
2201	695	68	3.75147660154475	5.31654676258993
2400	821	112	3.79208333333333	5.89768574908648
2356	758	114	3.69142614601019	5.67941952506596
2472	703	168	3.51941747572816	5.5049786628734
2327	795	105	3.89944134078212	5.6377358490566
2536	823	214	3.5583596214511	5.53098420413123
2517	761	151	3.65236392530791	5.68199737187911
2546	862	193	3.55341712490181	5.31206496519722
2319	724	108	3.96205260888314	5.7085635359116
2466	694	169	3.49148418491484	5.22046109510086
2491	698	164	3.43155359293456	5.34813753581662
2435	748	175	3.45954825462012	5.40508021390374
2523	861	115	3.97820055489497	5.75493612078978
2481	715	173	3.53244659411528	5.43356643356643
2564	806	164	3.70826833073323	5.62158808933003
2564	592	225	3.50507020280811	5.11148648648649
2328	730	96	3.89475945017182	5.79315068493151
2361	591	104	3.60948750529437	5.49576988155668
2476	777	203	3.66478190630048	5.45688545688546
2343	813	149	3.92317541613316	5.72816728167282
2474	937	143	4.09135004042037	6.20277481323372
2349	882	108	4.01319710515113	5.91043083900227
2388	844	95	4.05820770519263	6.05331753554502
2565	1029	84	4.06159844054581	6.23906705539359
2289	767	115	3.8431629532547	5.60365058670143
2479	876	140	3.93061718434853	6
2492	835	117	3.7223113964687	5.87904191616766
2457	715	166	3.76149776149776	5.67832167832168
2393	1070	65	4.41203510238195	6.64392523364486
2345	1073	85	4.10063965884861	6.07548928238583
