id	title	n_words	n_tokens	n_w	n_c	n_s	audience_age	audience_sex	author_age	author_domicile	author_sex	author_type	availability	circulation	context	derived_type	difficulty	domain	genre	interaction_type	medium	mode	publication_date	publication_place	region	respondent_age	respondent_class	respondent_sex	sampling_type	text_type
A0L	Jay loves Lucy. Sample containing about 40572 words from a book (domain: imaginative)	41322	51423	41642	9781	3902	adult	mixed	25-34	UK	female	sole	cleared	medium	---	fiction	medium	imaginative	W:fict:prose	---	book	written	1985-1993	UK_south	---	---	---	---	whole	written_books_periodicals
A0M	Winning karate competition. Sample containing about 23736 words from a book (domain: leisure)	23628	26340	23935	2405	1407	adult	male	unknown	unknown	male	sole	cleared	medium	---	misc_published	medium	leisure	W:misc	---	book	written	1985-1993	UK_south	---	---	---	---	whole	written_books_periodicals
A0N	King Cameron. Sample containing about 39784 words from a book (domain: imaginative)	39334	46943	39659	7284	2688	adult	mixed	45-59	UK	male	sole	cleared	medium	---	fiction	medium	imaginative	W:fict:prose	---	book	written	1985-1993	UK_north	---	---	---	---	beginning	written_books_periodicals
A0P	Leonard Cohen: prophet of the heart. Sample containing about 41603 words from a book (domain: arts)	41415	49460	41886	7574	1888	adult	mixed	unknown	UK	mixed	multiple	cleared	medium	---	prose	medium	arts	W:biography	---	book	written	1985-1993	UK_south	---	---	---	---	beginning	written_books_periodicals
A0R	Nudists may be encountered. Sample containing about 32309 words from a book (domain: imaginative)	32667	39884	32981	6903	3101	adult	mixed	35-44	UK	female	sole	cleared	low	---	fiction	medium	imaginative	W:fict:prose	---	book	written	1985-1993	UK_south	---	---	---	---	beginning	written_books_periodicals
A0S	[Official leaflets]. Sample containing about 1515 words of miscellanea (domain: commerce)	1467	1675	1490	185	185	adult	mixed	unknown	unknown	unknown	unknown	unclaimed	high	---	misc_published	low	commerce_finance	W:misc	---	misc_published	written	1985-1993	UK	---	---	---	---	unknown	written_misc
A0T	The pursuit of mind. Sample containing about 39428 words from a book (domain: belief and thought)	38904	44523	39539	4984	1517	adult	mixed	unknown	unknown	male	multiple	cleared	low	---	academic	high	belief_thought	W:ac:humanities_arts	---	book	written	1985-1993	UK_north	---	---	---	---	beginning	written_books_periodicals
A0U	So very English. Sample containing about 35634 words from a book (domain: imaginative)	36174	42614	36491	6123	2639	adult	mixed	unknown	unknown	unknown	multiple	cleared	medium	---	fiction	high	imaginative	W:fict:prose	---	book	written	1985-1993	UK_south	---	---	---	---	end	written_books_periodicals
A0V	Tennis World. Sample containing about 19953 words from a periodical (domain: leisure)	19949	22728	20159	2569	1206	adult	mixed	unknown	unknown	unknown	multiple	cleared	low	---	misc_published	low	leisure	W:pop_lore	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
A0W	Fitness with weights. Sample containing about 10589 words from a book (domain: leisure)	10517	11713	10594	1119	670	adult	mixed	unknown	unknown	male	sole	cleared	medium	---	misc_published	low	leisure	W:misc	---	book	written	1985-1993	UK_south	---	---	---	---	whole	written_books_periodicals
A0X	Woodworker. Sample containing about 31862 words from a periodical (domain: leisure)	31803	35877	32056	3821	1805	adult	mixed	unknown	unknown	unknown	multiple	cleared	medium	---	misc_published	medium	leisure	W:pop_lore	---	periodical	written	1985-1993	UK_south	---	---	---	---	whole	written_books_periodicals
A0Y	[Age Concern fact sheets]. Sample containing about 18464 words of miscellanea (domain: social science)	18325	20968	18481	2487	1210	adult	mixed	unknown	unknown	unknown	corporate	cleared	high	---	prose	low	social_science	W:non_ac:soc_science	---	misc_published	written	unknown	UK_south	---	---	---	---	unknown	written_misc
A10	[Age Concern newsletter and information]. Sample containing about 23199 words of miscellanea (domain: social science)	22952	26021	23142	2879	1428	adult	mixed	unknown	unknown	unknown	corporate	cleared	low	---	prose	low	social_science	W:non_ac:soc_science	---	misc_published	written	unknown	UK_south	---	---	---	---	unknown	written_misc
A11	BR in the eighties. Sample containing about 40836 words from a book (domain: world affairs)	40529	45227	40951	4276	1655	adult	mixed	unknown	unknown	unknown	multiple	cleared	medium	---	misc_published	medium	world_affairs	W:misc	---	book	written	1985-1993	UK_south	---	---	---	---	beginning	written_books_periodicals
A12	A ballet-maker's handbook. Sample containing about 46386 words from a book (domain: arts)	46216	51139	46737	4402	1976	adult	mixed	unknown	unknown	female	sole	cleared	high	---	prose	medium	arts	W:non_ac:humanities_arts	---	book	written	1985-1993	UK_south	---	---	---	---	end	written_books_periodicals
A13	[CAMRA information leaflets]. Sample containing about 4455 words of miscellanea (domain: leisure)	4421	4946	4460	486	296	adult	mixed	unknown	unknown	unknown	corporate	cleared	low	---	misc_published	low	leisure	W:misc	---	misc_published	written	unknown	unknown	---	---	---	---	unknown	written_misc
A14	What's brewing. Sample containing about 22108 words of miscellanea (domain: leisure)	22227	25217	22428	2789	1190	adult	male	unknown	unknown	unknown	multiple	cleared	low	---	misc_published	medium	leisure	W:misc	---	misc_published	written	1985-1993	unknown	---	---	---	---	unknown	written_misc
A15	Climber and Hill Walker. Sample containing about 30080 words from a periodical (domain: leisure)	30086	34169	30305	3864	1584	adult	mixed	unknown	unknown	unknown	multiple	cleared	low	---	misc_published	medium	leisure	W:pop_lore	---	periodical	written	1985-1993	UK_north	---	---	---	---	unknown	written_books_periodicals
A16	Do It Yourself Magazine. Sample containing about 32288 words from a periodical (domain: leisure)	32077	36171	32343	3828	1895	adult	mixed	unknown	unknown	unknown	multiple	unclaimed	medium	---	misc_published	medium	leisure	W:instructional	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
A17	Dogs Today. Sample containing about 23352 words from a periodical (domain: leisure)	23511	27014	23716	3298	1708	adult	mixed	unknown	unknown	unknown	multiple	cleared	medium	---	misc_published	low	leisure	W:pop_lore	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
A18	Dostoevsky. Sample containing about 34134 words from a book (domain: arts)	34351	40251	34711	5540	1525	adult	mixed	unknown	UK	male	sole	cleared	medium	---	academic	high	arts	W:ac:humanities_arts	---	book	written	1975-1984	UK_south	---	---	---	---	middle	written_books_periodicals
A19	Electronics and Wireless World. Sample containing about 39977 words from a periodical (domain: applied science)	39646	44747	40006	4741	2285	adult	mixed	unknown	unknown	unknown	multiple	cleared	low	---	prose	high	applied_science	W:non_ac:tech_engin	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
A1A	Exploding English. Sample containing about 40696 words from a book (domain: arts)	40516	46958	40960	5998	1540	adult	mixed	60+	UK	male	sole	cleared	high	---	academic	high	arts	W:ac:humanities_arts	---	book	written	1985-1993	UK_south	---	---	---	---	middle	written_books_periodicals
A1B	Studies in Ezra Pound. Sample containing about 47238 words from a book (domain: arts)	47057	55072	47616	7456	2112	adult	mixed	60+	unknown	male	sole	cleared	medium	---	academic	high	arts	W:ac:humanities_arts	---	book	written	1985-1993	UK_south	---	---	---	---	middle	written_books_periodicals
A1D	Independent, electronic edition of 1989-10-02: Arts section. Sample containing about 4142 words from a periodical (domain: arts)	4172	4705	4191	514	166	adult	mixed	unknown	unknown	unknown	multiple	cleared	high	---	newspaper	medium	arts	W:newsp:brdsht_nat:arts	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
A1E	Independent, electronic edition of 1989-10-02: Business section. Sample containing about 9537 words from a periodical (domain: commerce)	9504	10805	9627	1178	467	adult	mixed	unknown	unknown	unknown	multiple	cleared	high	---	newspaper	medium	commerce_finance	W:newsp:brdsht_nat:commerce	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
A1F	Independent, electronic edition of 1989-10-02: Editorials. Sample containing about 8717 words from a periodical (domain: world affairs)	8738	9913	8821	1092	441	adult	mixed	unknown	unknown	unknown	multiple	cleared	high	---	newspaper	medium	world_affairs	W:newsp:brdsht_nat:editorial	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
A1G	Independent, electronic edition of 1989-10-02: Foreign news pages. Sample containing about 9909 words from a periodical (domain: world affairs)	9927	11224	9991	1233	488	adult	mixed	unknown	unknown	unknown	multiple	cleared	high	---	newspaper	medium	world_affairs	W:newsp:brdsht_nat:report	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
A1H	Independent, electronic edition of 1989-10-02: Gazette section. Sample containing about 3007 words from a periodical (domain: world affairs)	3016	3425	3038	387	144	adult	mixed	unknown	unknown	unknown	multiple	cleared	high	---	newspaper	medium	world_affairs	W:newsp:brdsht_nat:misc	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
A1J	Independent, electronic edition of 1989-10-02: Home news pages. Sample containing about 13407 words from a periodical (domain: world affairs)	13404	15259	13541	1718	654	adult	mixed	unknown	unknown	unknown	multiple	cleared	high	---	newspaper	medium	world_affairs	W:newsp:brdsht_nat:report	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
A1K	Independent, electronic edition of 1989-10-02: Listings section. Sample containing about 1842 words from a periodical (domain: arts)	1846	2147	1863	284	94	adult	mixed	unknown	unknown	unknown	multiple	cleared	high	---	newspaper	medium	arts	W:newsp:brdsht_nat:arts	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
A1L	Independent, electronic edition of 1989-10-02: Living section. Sample containing about 1788 words from a periodical (domain: leisure)	1795	2057	1815	242	91	adult	mixed	unknown	unknown	unknown	multiple	cleared	high	---	newspaper	medium	leisure	W:newsp:brdsht_nat:social	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
A1M	Independent, electronic edition of 1989-10-02: Science pages. Sample containing about 4808 words from a periodical (domain: natural sciences)	4784	5399	4838	561	237	adult	mixed	unknown	unknown	unknown	multiple	cleared	high	---	newspaper	medium	natural_science	W:newsp:brdsht_nat:science	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
A1N	Independent, electronic edition of 1989-10-02: Sport section. Sample containing about 14330 words from a periodical (domain: leisure)	14421	16393	14550	1843	728	adult	mixed	unknown	unknown	unknown	multiple	cleared	high	---	newspaper	medium	leisure	W:newsp:brdsht_nat:sports	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
A1P	Independent, electronic edition of 1989-10-02: Frontpages. Sample containing about 2488 words from a periodical (domain: world affairs)	2493	2819	2519	300	103	adult	mixed	unknown	unknown	unknown	multiple	cleared	high	---	newspaper	medium	world_affairs	W:newsp:brdsht_nat:misc	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
A1R	Independent, electronic edition of 1989-10-03: Arts section. Sample containing about 1548 words from a periodical (domain: arts)	1541	1761	1555	206	61	adult	mixed	unknown	unknown	unknown	multiple	cleared	high	---	newspaper	medium	arts	W:newsp:brdsht_nat:arts	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
A1S	Independent, electronic edition of 1989-10-03: Business section. Sample containing about 11118 words from a periodical (domain: commerce)	11058	12366	11222	1144	554	adult	mixed	unknown	unknown	unknown	multiple	cleared	high	---	newspaper	medium	commerce_finance	W:newsp:brdsht_nat:commerce	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
A1T	Independent, electronic edition of 1989-10-03: Editorials. Sample containing about 8816 words from a periodical (domain: world affairs)	8820	10092	8890	1202	427	adult	mixed	unknown	unknown	unknown	multiple	cleared	high	---	newspaper	medium	world_affairs	W:newsp:brdsht_nat:editorial	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
A1U	Independent, electronic edition of 1989-10-03: Focus section. Sample containing about 4059 words from a periodical (domain: social science)	4041	4636	4076	560	205	adult	mixed	unknown	unknown	unknown	multiple	cleared	high	---	newspaper	medium	social_science	W:newsp:brdsht_nat:misc	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
A1V	Independent, electronic edition of 1989-10-03: Foreign news pages. Sample containing about 22274 words from a periodical (domain: world affairs)	22302	25429	22498	2931	1036	adult	mixed	unknown	unknown	unknown	multiple	cleared	high	---	newspaper	medium	world_affairs	W:newsp:brdsht_nat:report	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
A1W	Independent, electronic edition of 1989-10-03: Gazette section. Sample containing about 3840 words from a periodical (domain: world affairs)	3858	4288	3869	419	174	adult	mixed	unknown	unknown	unknown	multiple	cleared	high	---	newspaper	medium	world_affairs	W:newsp:brdsht_nat:misc	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
A1X	Independent, electronic edition of 1989-10-03: Health pages. Sample containing about 3223 words from a periodical (domain: applied science)	3206	3722	3235	487	189	adult	mixed	unknown	unknown	unknown	multiple	cleared	high	---	newspaper	medium	applied_science	W:newsp:brdsht_nat:social	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
A1Y	Independent, electronic edition of 1989-10-03: Home news pages. Sample containing about 15112 words from a periodical (domain: world affairs)	15152	17225	15272	1953	742	adult	mixed	unknown	unknown	unknown	multiple	cleared	high	---	newspaper	medium	world_affairs	W:newsp:brdsht_nat:report	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
A20	Independent, electronic edition of 1989-10-03: Listings section. Sample containing about 1615 words from a periodical (domain: arts)	1623	1926	1636	290	86	adult	mixed	unknown	unknown	unknown	multiple	cleared	high	---	newspaper	medium	arts	W:newsp:brdsht_nat:arts	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
A21	Independent, electronic edition of 1989-10-03: Business section. Sample containing about 1352 words from a periodical (domain: commerce)	1346	1548	1360	188	68	adult	mixed	unknown	unknown	unknown	multiple	cleared	high	---	newspaper	medium	commerce_finance	W:newsp:brdsht_nat:commerce	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
A22	Independent, electronic edition of 1989-10-03: Sport pages. Sample containing about 8163 words from a periodical (domain: leisure)	8225	9400	8307	1093	402	adult	mixed	unknown	unknown	unknown	multiple	cleared	high	---	newspaper	medium	leisure	W:newsp:brdsht_nat:sports	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
A23	Independent, electronic edition of 1989-10-03: Frontpages. Sample containing about 2420 words from a periodical (domain: world affairs)	2437	2758	2450	308	117	adult	mixed	unknown	unknown	unknown	multiple	cleared	high	---	newspaper	medium	world_affairs	W:newsp:brdsht_nat:misc	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
A24	Independent, electronic edition of 1989-10-04: Living section. Sample containing about 3247 words from a periodical (domain: arts)	3242	3659	3275	384	156	adult	mixed	unknown	unknown	unknown	multiple	cleared	high	---	newspaper	medium	arts	W:newsp:brdsht_nat:arts	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
A25	Independent, electronic edition of 1989-10-04: Arts section. Sample containing about 3383 words from a periodical (domain: arts)	3396	3883	3418	465	142	adult	mixed	unknown	unknown	unknown	multiple	cleared	high	---	newspaper	medium	arts	W:newsp:brdsht_nat:arts	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
A26	Independent, electronic edition of 1989-10-04: Business section. Sample containing about 10899 words from a periodical (domain: commerce)	10836	12119	10970	1149	546	adult	mixed	unknown	unknown	unknown	multiple	cleared	high	---	newspaper	medium	commerce_finance	W:newsp:brdsht_nat:commerce	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
A27	Independent, electronic edition of 1989-10-04: Editorials. Sample containing about 8475 words from a periodical (domain: world affairs)	8441	9609	8548	1061	402	adult	mixed	unknown	unknown	unknown	multiple	cleared	high	---	newspaper	medium	world_affairs	W:newsp:brdsht_nat:editorial	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
A28	Independent, electronic edition of 1989-10-04: Foreign news pages. Sample containing about 11135 words from a periodical (domain: world affairs)	11166	12665	11240	1425	549	adult	mixed	unknown	unknown	unknown	multiple	cleared	high	---	newspaper	medium	world_affairs	W:newsp:brdsht_nat:report	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
A29	Independent, electronic edition of 1989-10-04: Gazette section. Sample containing about 3349 words from a periodical (domain: social science)	3353	3832	3392	440	133	adult	mixed	unknown	unknown	unknown	multiple	cleared	high	---	newspaper	medium	social_science	W:newsp:brdsht_nat:misc	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
A2A	Independent, electronic edition of 1989-10-04: Home news pages. Sample containing about 15224 words from a periodical (domain: world affairs)	15269	17380	15389	1991	731	adult	mixed	unknown	unknown	unknown	multiple	cleared	high	---	newspaper	medium	world_affairs	W:newsp:brdsht_nat:report	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
A2B	Independent, electronic edition of 1989-10-04: Listings section. Sample containing about 2012 words from a periodical (domain: arts	2009	2238	2020	218	91	adult	mixed	unknown	unknown	unknown	multiple	cleared	high	---	newspaper	medium	arts	W:newsp:brdsht_nat:arts	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
A2C	Independent, electronic edition of 1989-10-04: Living section. Sample containing about 3299 words from a periodical (domain: leisure)	3309	3748	3334	414	165	adult	mixed	unknown	unknown	unknown	multiple	cleared	high	---	newspaper	medium	leisure	W:newsp:brdsht_nat:social	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
A2D	Independent, electronic edition of 1989-10-04: Media section. Sample containing about 2632 words from a periodical (domain: arts)	2653	3041	2668	373	136	adult	mixed	unknown	unknown	unknown	multiple	cleared	high	---	newspaper	medium	arts	W:newsp:brdsht_nat:arts	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
A2E	Independent, electronic edition of 1989-10-04: Sport pages. Sample containing about 12646 words from a periodical (domain: leisure)	12756	14448	12843	1605	611	adult	mixed	unknown	unknown	unknown	multiple	cleared	high	---	newspaper	medium	leisure	W:newsp:brdsht_nat:sports	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
A2F	Independent, electronic edition of 1989-10-04: Frontpages. Sample containing about 3151 words from a periodical (domain: world affairs)	3149	3592	3177	415	138	adult	mixed	unknown	unknown	unknown	multiple	cleared	high	---	newspaper	medium	world_affairs	W:newsp:brdsht_nat:misc	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
A2G	Independent, electronic edition of 1989-10-05: Arts section. Sample containing about 6149 words from a periodical (domain: arts)	6216	7182	6257	925	265	adult	mixed	unknown	unknown	unknown	multiple	cleared	high	---	newspaper	medium	arts	W:newsp:brdsht_nat:arts	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
A2H	Independent, electronic edition of 1989-10-05: Business section. Sample containing about 11826 words from a periodical (domain: commerce)	11761	13258	11923	1335	621	adult	mixed	unknown	unknown	unknown	multiple	cleared	high	---	newspaper	medium	commerce_finance	W:newsp:brdsht_nat:commerce	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
A2J	Independent, electronic edition of 1989-10-05: Editorials. Sample containing about 8443 words from a periodical (domain: world affairs)	8443	9623	8526	1097	452	adult	mixed	unknown	unknown	unknown	multiple	cleared	high	---	newspaper	medium	world_affairs	W:newsp:brdsht_nat:editorial	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
A2K	Independent, electronic edition of 1989-10-05: Education section. Sample containing about 2948 words from a periodical (domain: social science)	2971	3387	2991	396	153	adult	mixed	unknown	unknown	unknown	multiple	cleared	high	---	newspaper	medium	social_science	W:newsp:brdsht_nat:misc	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
A2L	Independent, electronic edition of 1989-10-05: Focus section. Sample containing about 4197 words from a periodical (domain: social science)	4167	4763	4216	547	256	adult	mixed	unknown	unknown	unknown	multiple	cleared	high	---	newspaper	medium	social_science	W:newsp:brdsht_nat:misc	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
A2M	Independent, electronic edition of 1989-10-05: Foreign news pages. Sample containing about 9594 words from a periodical (domain: world affairs)	9621	10890	9701	1189	460	adult	mixed	unknown	unknown	unknown	multiple	cleared	high	---	newspaper	medium	world_affairs	W:newsp:brdsht_nat:report	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
A2N	Independent, electronic edition of 1989-10-05: Gazette section. Sample containing about 2906 words from a periodical (domain: world affairs)	2909	3276	2933	343	128	adult	mixed	unknown	unknown	unknown	multiple	cleared	high	---	newspaper	medium	world_affairs	W:newsp:brdsht_nat:misc	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
A2P	Independent, electronic edition of 1989-10-05: Home news pages. Sample containing about 15591 words from a periodical (domain: world news)	15627	17788	15771	2017	764	adult	mixed	unknown	unknown	unknown	multiple	cleared	high	---	newspaper	medium	world_affairs	W:newsp:brdsht_nat:report	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
A2R	Independent, electronic edition of 1989-10-05: Listings section. Sample containing about 2818 words from a periodical (domain: arts)	2861	3347	2877	470	110	adult	mixed	unknown	unknown	unknown	multiple	cleared	high	---	newspaper	medium	arts	W:newsp:brdsht_nat:arts	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
A2S	Independent, electronic edition of 1989-10-05: Sport pages. Sample containing about 14275 words from a periodical (domain: leisure)	14420	16232	14540	1692	683	adult	mixed	unknown	unknown	unknown	multiple	cleared	high	---	newspaper	medium	leisure	W:newsp:brdsht_nat:sports	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
A2T	Independent, electronic edition of 1989-10-05: Frontpages. Sample containing about 2831 words from a periodical (domain: world affairs)	2853	3186	2877	309	131	adult	mixed	unknown	unknown	unknown	multiple	cleared	high	---	newspaper	medium	world_affairs	W:newsp:brdsht_nat:misc	---	periodical	written	1985-1993	UK_south	---	---	---	---	unknown	written_books_periodicals
